university_id,academic reputation rank,academic reputation score
1,76.0,74.9
2,192.0,42.6
3,214.0,38.8
4,,
5,314.0,26.3
6,352.0,24.2
7,,
8,25.0,98.0
9,,
10,342.0,24.7
11,,
12,,
13,328.0,25.3
14,378.0,22.0
15,,
16,,
17,,
18,480.0,17.6
19,317.0,26.1
20,501.0,13.8
21,112.0,61.4
22,,
23,,
24,,
25,,
26,,
27,205.0,40.6
28,501.0,11.7
29,,
30,133.0,55.1
31,,
32,255.0,33.3
33,426.0,19.7
34,,
35,501.0,8.6
36,,
37,,
38,,
39,401.0,20.4
40,159.0,49.5
41,,
42,,
43,474.0,17.8
44,,
45,,
46,341.0,24.7
47,497.0,16.6
48,,
49,405.0,20.3
50,93.0,68.7
51,320.0,25.9
52,111.0,61.5
53,78.0,74.1
54,,
55,,
56,,
57,,
58,185.0,43.3
59,266.0,31.5
60,357.0,23.7
61,,
62,,
63,501.0,15.8
64,139.0,54.1
65,,
66,,
67,,
68,459.0,18.3
69,501.0,10.2
70,,
71,,
72,257.0,33.0
73,,
74,280.0,30.0
75,,
76,254.0,33.4
77,286.0,29.0
78,,
79,,
80,,
81,,
82,,
83,309.0,27.1
84,,
85,501.0,8.8
86,501.0,9.3
87,264.0,31.8
88,403.0,20.3
89,287.0,29.0
90,63.0,82.5
91,,
92,206.0,40.0
93,,
94,,
95,90.0,69.2
96,,
97,,
98,46.0,89.0
99,,
100,239.0,34.7
101,,
102,,
103,162.0,49.0
104,389.0,21.3
105,7.0,100.0
106,240.0,34.6
107,,
108,,
109,,
110,,
111,,
112,,
113,,
114,,
115,501.0,15.9
116,325.0,25.5
117,494.0,16.8
118,,
119,,
120,326.0,25.4
121,,
122,,
123,313.0,26.4
124,276.0,30.6
125,,
126,268.0,31.3
127,127.0,58.1
128,,
129,69.0,79.6
130,,
131,439.0,19.3
132,228.0,36.6
133,186.0,43.2
134,,
135,,
136,,
137,154.0,50.6
138,176.0,44.3
139,188.0,43.0
140,,
141,,
142,39.0,91.8
143,441.0,19.1
144,501.0,7.0
145,377.0,22.2
146,,
147,501.0,14.7
148,,
149,,
150,170.0,46.0
151,501.0,13.5
152,109.0,62.0
153,,
154,434.0,19.4
155,428.0,19.6
156,,
157,183.0,43.4
158,,
159,,
160,,
161,73.0,75.5
162,,
163,150.0,51.3
164,367.0,22.7
165,466.0,18.1
166,,
167,,
168,,
169,,
170,,
171,,
172,,
173,,
174,,
175,364.0,23.1
