university_id,citations per faculty rank,citations per faculty score
1,135.0,59.7
2,265.0,45.7
3,479.0,26.4
4,449.0,28.9
5,397.0,33.6
6,253.0,46.3
7,,
8,210.0,50.2
9,,
10,,
11,447.0,29.0
12,,
13,222.0,49.6
14,555.0,20.8
15,,
16,,
17,,
18,,
19,601.0,2.2
20,20.0,92.7
21,295.0,42.8
22,,
23,,
24,,
25,158.0,56.7
26,326.0,39.6
27,73.0,71.3
28,337.0,38.7
29,,
30,444.0,29.1
31,,
32,171.0,54.7
33,94.0,67.8
34,,
35,601.0,15.4
36,569.0,19.8
37,,
38,,
39,,
40,143.0,58.3
41,,
42,,
43,36.0,85.0
44,,
45,,
46,,
47,,
48,,
49,,
50,163.0,56.1
51,237.0,48.1
52,22.0,91.2
53,241.0,47.7
54,395.0,33.7
55,,
56,261.0,45.8
57,,
58,179.0,53.3
59,152.0,57.5
60,,
61,,
62,,
63,63.0,75.4
64,457.0,28.2
65,,
66,,
67,,
68,601.0,7.9
69,561.0,20.4
70,,
71,,
72,311.0,41.2
73,,
74,,
75,,
76,182.0,53.0
77,362.0,36.6
78,,
79,206.0,50.8
80,292.0,43.1
81,,
82,49.0,78.3
83,601.0,13.1
84,504.0,23.9
85,557.0,20.7
86,76.0,70.7
87,79.0,70.2
88,77.0,70.6
89,132.0,60.1
90,64.0,75.4
91,174.0,54.1
92,180.0,53.1
93,571.0,19.7
94,,
95,595.0,18.7
96,,
97,,
98,46.0,79.6
99,,
100,582.0,19.3
101,,
102,,
103,498.0,24.3
104,546.0,21.4
105,120.0,62.5
106,526.0,22.5
107,,
108,,
109,,
110,477.0,26.5
111,,
112,,
113,,
114,,
115,601.0,16.0
116,,
117,,
118,,
119,282.0,44.0
120,597.0,18.6
121,,
122,,
123,456.0,28.2
124,601.0,9.4
125,417.0,32.1
126,75.0,71.0
127,129.0,60.5
128,,
129,254.0,46.3
130,,
131,267.0,45.5
132,601.0,1.9
133,229.0,48.5
134,,
135,,
136,,
137,290.0,43.2
138,92.0,67.8
139,11.0,98.7
140,,
141,,
142,169.0,54.8
143,601.0,1.7
144,107.0,64.3
145,370.0,36.2
146,367.0,36.3
147,439.0,30.3
148,160.0,56.6
149,,
150,131.0,60.2
151,601.0,8.1
152,173.0,54.3
153,,
154,47.0,79.3
155,309.0,41.4
156,554.0,20.8
157,601.0,11.8
158,,
159,,
160,225.0,48.8
161,421.0,31.6
162,340.0,38.5
163,601.0,12.7
164,489.0,25.4
165,69.0,73.7
166,462.0,27.8
167,,
168,,
169,,
170,,
171,385.0,34.8
172,,
173,,
174,,
175,,
176,465.0,27.5
177,204.0,51.0
178,,
179,566.0,19.9
180,,
181,,
182,284.0,43.6
183,,
184,,
185,,
186,,
187,348.0,38.0
188,387.0,34.7
189,,
190,437.0,30.6
191,,
192,403.0,33.3
193,518.0,23.0
194,,
195,,
196,68.0,74.0
197,190.0,52.5
198,,
199,601.0,10.8
200,600.0,18.5
201,316.0,40.2
202,88.0,68.6
203,,
204,,
205,543.0,21.5
206,,
207,,
208,601.0,12.5
209,104.0,64.7
210,592.0,18.9
211,,
212,189.0,52.6
213,484.0,25.7
214,,
215,,
216,,
217,,
218,,
219,32.0,87.1
220,288.0,43.3
221,,
222,,
223,531.0,22.3
224,497.0,24.3
225,,
226,,
227,83.0,69.6
228,433.0,31.0
229,327.0,39.6
230,,
231,601.0,7.6
232,,
233,117.0,62.6
234,589.0,19.1
235,,
236,250.0,46.4
237,,
238,548.0,21.3
239,140.0,59.0
240,164.0,55.9
241,27.0,88.3
242,221.0,49.7
243,601.0,5.9
244,,
245,391.0,33.9
246,,
247,,
248,590.0,19.0
249,26.0,88.6
250,,
251,172.0,54.3
252,,
253,,
254,482.0,25.8
255,144.0,58.3
256,,
257,175.0,53.7
258,,
259,9.0,99.1
260,601.0,12.8
261,581.0,19.3
262,,
263,529.0,22.4
264,584.0,19.3
265,394.0,33.7
266,,
267,,
268,351.0,37.4
269,,
270,,
271,,
272,601.0,7.8
273,601.0,10.1
274,,
275,136.0,59.7
276,,
277,,
278,,
279,,
280,,
281,,
282,,
283,,
284,386.0,34.8
285,103.0,64.9
286,,
287,355.0,37.1
288,368.0,36.3
289,420.0,31.9
290,302.0,42.1
291,285.0,43.5
292,334.0,38.8
293,,
294,579.0,19.4
295,85.0,69.2
296,4.0,100.0
297,481.0,26.4
298,,
299,454.0,28.7
300,483.0,25.8
301,,
302,508.0,23.5
303,113.0,63.6
304,,
305,121.0,62.3
306,,
307,527.0,22.4
308,573.0,19.6
309,323.0,39.8
310,191.0,52.5
311,270.0,45.2
312,,
313,35.0,85.7
314,,
315,,
316,,
317,424.0,31.4
318,564.0,20.1
319,,
320,118.0,62.6
321,468.0,27.2
322,124.0,61.4
323,601.0,4.0
324,338.0,38.6
325,376.0,35.5
326,364.0,36.5
327,,
328,,
329,371.0,36.1
330,507.0,23.6
331,59.0,76.1
332,536.0,22.0
333,,
334,401.0,33.5
335,,
336,601.0,6.9
337,186.0,52.8
338,207.0,50.8
339,50.0,77.8
340,601.0,16.5
341,54.0,77.5
342,,
343,65.0,74.8
344,,
345,,
346,45.0,79.8
347,520.0,22.6
348,,
349,,
