university_id,employer reputation rank,employer reputation score
1,90.0,75.3
2,225.0,41.4
3,392.0,24.2
4,,
5,303.0,32.2
6,368.0,26.2
7,485.0,18.4
8,31.0,95.4
9,,
10,156.0,53.0
11,,
12,375.0,25.8
13,360.0,26.9
14,501.0,14.2
15,,
16,,
17,,
18,293.0,33.1
19,298.0,32.8
20,468.0,19.0
21,134.0,58.6
22,495.0,18.0
23,,
24,,
25,,
26,,
27,314.0,31.0
28,501.0,8.9
29,,
30,151.0,53.6
31,,
32,501.0,10.1
33,476.0,18.7
34,399.0,23.4
35,501.0,6.5
36,,
37,,
38,,
39,,
40,138.0,58.1
41,,
42,,
43,136.0,58.1
44,,
45,,
46,,
47,361.0,26.9
48,,
49,464.0,19.3
50,285.0,33.9
51,501.0,7.0
52,297.0,32.8
53,65.0,84.6
54,,
55,,
56,,
57,,
58,501.0,15.5
59,444.0,20.2
60,241.0,39.2
61,114.0,63.2
62,261.0,36.6
63,501.0,5.1
64,91.0,75.0
65,386.0,24.8
66,,
67,,
68,501.0,10.5
69,501.0,5.3
70,,
71,,
72,262.0,36.6
73,,
74,374.0,25.9
75,,
76,282.0,34.3
77,295.0,33.0
78,,
79,,
80,,
81,,
82,,
83,140.0,57.0
84,,
85,174.0,49.9
86,501.0,3.2
87,501.0,16.7
88,119.0,62.2
89,276.0,35.0
90,48.0,90.9
91,,
92,417.0,22.2
93,497.0,18.0
94,,
95,217.0,42.7
96,,
97,,
98,80.0,78.2
99,,
100,249.0,37.8
101,,
102,263.0,36.6
103,498.0,17.9
104,501.0,10.3
105,12.0,99.6
106,501.0,17.6
107,,
108,,
109,,
110,378.0,25.7
111,,
112,,
113,480.0,18.6
114,,
115,501.0,14.7
116,219.0,42.3
117,456.0,19.7
118,,
119,,
120,250.0,37.8
121,,
122,,
123,171.0,50.2
124,200.0,46.0
125,,
126,281.0,34.5
127,146.0,55.1
128,,
129,197.0,46.4
130,,
131,428.0,21.4
132,117.0,62.7
133,203.0,45.6
134,310.0,31.5
135,,
136,,
137,348.0,28.1
138,107.0,64.5
139,147.0,54.6
140,,
141,,
142,59.0,87.5
143,268.0,35.9
144,501.0,15.4
145,,
146,499.0,17.9
147,287.0,33.8
148,,
149,,
150,121.0,61.1
151,501.0,5.0
152,153.0,53.4
153,,
154,330.0,29.5
155,501.0,16.1
156,,
157,253.0,37.6
158,449.0,19.9
159,216.0,42.9
160,,
161,20.0,97.5
162,,
163,443.0,20.2
164,277.0,34.8
165,501.0,4.3
166,441.0,20.3
167,472.0,18.9
168,,
169,,
170,,
171,,
172,,
173,,
174,,
175,231.0,40.8
176,,
177,229.0,40.8
178,347.0,28.1
179,429.0,21.4
180,,
181,179.0,49.3
182,419.0,22.1
183,,
184,,
185,,
186,,
187,257.0,37.4
188,,
189,,
190,,
191,,
192,,
193,,
194,,
195,192.0,46.8
196,11.0,99.6
197,352.0,27.7
198,,
199,501.0,4.6
200,,
201,129.0,60.3
202,9.0,99.8
203,,
204,,
205,120.0,61.1
206,,
207,,
208,152.0,53.5
209,350.0,27.9
210,432.0,21.3
211,,
212,501.0,10.2
213,,
214,,
215,,
216,,
217,462.0,19.3
218,,
219,463.0,19.3
220,,
221,,
222,,
223,159.0,52.8
