university_id,international faculty rank,international faculty score
1,601.0,15.9
2,170.0,89.5
3,389.0,42.9
4,,
5,484.0,28.8
6,601.0,8.0
7,434.0,34.3
8,98.0,98.2
9,438.0,33.6
10,,
11,,
12,,
13,509.0,25.1
14,445.0,32.8
15,,
16,,
17,,
18,,
19,601.0,8.1
20,601.0,1.1
21,194.0,85.3
22,2.0,100.0
23,,
24,,
25,,
26,,
27,142.0,93.7
28,233.0,76.6
29,,
30,172.0,88.8
31,,
32,332.0,53.7
33,327.0,55.3
34,196.0,84.9
35,601.0,4.3
36,538.0,23.0
37,248.0,72.4
38,88.0,98.8
39,,
40,564.0,19.4
41,,
42,,
43,452.0,32.5
44,,
45,,
46,,
47,,
48,,
49,471.0,29.9
50,238.0,75.1
51,601.0,6.6
52,14.0,100.0
53,262.0,68.7
54,,
55,,
56,,
57,,
58,225.0,80.0
59,278.0,64.6
60,,
61,407.0,39.8
62,,
63,364.0,47.4
64,410.0,38.2
65,335.0,52.4
66,,
67,,
68,46.0,100.0
69,601.0,16.2
70,119.0,97.0
71,,
72,212.0,82.9
73,,
74,,
75,,
76,147.0,93.2
77,65.0,99.8
78,475.0,29.5
79,,
80,,
81,,
82,,
83,281.0,64.4
84,369.0,46.3
85,461.0,31.8
86,228.0,78.7
87,307.0,59.0
88,334.0,53.4
89,601.0,1.5
90,282.0,64.0
91,,
92,378.0,45.5
93,306.0,59.1
94,,
95,99.0,98.1
96,,
97,,
98,30.0,100.0
99,,
100,,
101,,
102,,
103,348.0,49.9
104,41.0,100.0
105,601.0,10.7
106,601.0,15.5
107,,
108,,
109,,
110,,
111,343.0,50.2
112,481.0,29.2
113,,
114,,
115,448.0,32.7
116,,
117,578.0,18.3
118,,
119,,
120,601.0,16.2
121,,
122,,
123,144.0,93.5
124,397.0,41.4
125,390.0,42.7
126,159.0,91.8
127,459.0,32.0
128,227.0,79.3
129,601.0,12.1
130,,
131,137.0,94.8
132,601.0,4.6
133,108.0,97.8
134,,
135,,
136,8.0,100.0
137,153.0,92.0
138,601.0,2.3
139,436.0,33.8
140,476.0,29.4
141,,
142,568.0,19.1
143,601.0,4.6
144,362.0,47.6
145,,
146,,
147,226.0,79.6
148,,
149,,
150,93.0,98.4
151,,
152,467.0,30.9
153,,
154,601.0,5.5
155,120.0,96.8
156,,
157,569.0,19.0
158,583.0,18.0
159,249.0,72.2
160,,
161,280.0,64.5
162,483.0,29.0
163,601.0,5.9
164,372.0,46.0
165,601.0,4.0
166,36.0,100.0
167,,
168,,
169,,
170,,
171,526.0,24.2
172,213.0,82.9
173,,
174,,
175,,
176,406.0,39.9
177,45.0,100.0
178,311.0,58.1
179,359.0,48.3
180,21.0,100.0
181,,
182,,
183,,
184,,
185,,
186,,
187,77.0,99.6
188,573.0,18.7
189,261.0,68.9
190,,
191,,
192,587.0,17.9
193,398.0,41.3
194,465.0,31.2
195,,
196,28.0,100.0
197,270.0,66.3
198,,
199,601.0,6.2
200,,
201,165.0,90.6
202,47.0,100.0
203,,
204,,
205,427.0,35.7
206,,
207,242.0,73.2
208,601.0,3.4
209,63.0,99.9
210,601.0,9.0
211,16.0,100.0
212,9.0,100.0
213,,
214,,
215,581.0,18.3
216,,
217,,
218,,
219,326.0,55.3
220,440.0,33.5
221,,
222,,
223,312.0,58.1
224,498.0,27.1
225,,
226,,
227,38.0,100.0
228,601.0,12.1
229,268.0,67.1
230,,
231,486.0,28.4
232,,
233,56.0,100.0
234,480.0,29.3
235,391.0,42.7
236,380.0,45.0
237,,
238,384.0,43.8
239,579.0,18.3
240,368.0,46.4
241,27.0,100.0
242,601.0,5.0
243,601.0,10.9
244,492.0,27.6
245,72.0,99.6
246,582.0,18.3
247,6.0,100.0
248,,
249,143.0,93.7
250,,
251,601.0,9.9
252,,
253,,
254,414.0,37.3
255,601.0,1.5
256,499.0,27.1
257,577.0,18.6
258,,
259,195.0,85.2
260,11.0,100.0
261,81.0,99.4
262,,
263,,
264,375.0,45.8
265,,
266,596.0,17.0
267,,
268,287.0,63.5
269,355.0,48.6
270,181.0,87.3
271,554.0,20.7
272,84.0,99.3
273,601.0,15.7
274,,
275,530.0,24.1
276,330.0,54.2
277,3.0,100.0
278,,
279,331.0,53.7
280,,
281,,
282,,
283,324.0,55.8
284,,
285,258.0,69.7
286,532.0,23.6
287,109.0,97.8
288,,
289,601.0,9.7
290,,
291,31.0,100.0
292,,
293,,
294,469.0,30.6
295,54.0,100.0
296,601.0,15.8
297,34.0,100.0
298,,
299,198.0,84.7
300,601.0,15.1
301,400.0,41.0
302,243.0,72.8
303,,
304,,
305,,
306,,
307,560.0,20.0
308,529.0,24.1
309,543.0,22.3
310,265.0,67.6
311,,
312,333.0,53.7
313,29.0,100.0
314,235.0,76.3
315,,
316,,
317,273.0,65.5
318,601.0,2.8
319,473.0,29.6
320,490.0,27.6
321,61.0,100.0
322,286.0,63.6
323,422.0,36.3
324,357.0,48.4
325,601.0,6.6
326,236.0,76.3
327,,
328,,
329,601.0,15.6
330,,
331,132.0,95.6
332,,
333,,
334,511.0,24.9
335,,
336,601.0,11.0
337,193.0,85.3
338,,
339,37.0,100.0
340,601.0,14.7
341,164.0,90.7
342,,
343,,
344,310.0,58.2
345,,
346,601.0,9.6
347,,
348,,
349,,
350,,
351,,
352,,
353,370.0,46.2
354,,
355,365.0,47.3
356,157.0,91.8
357,,
358,203.0,83.9
359,66.0,99.8
360,,
361,503.0,25.8
362,,
363,417.0,37.0
364,507.0,25.3
365,,
366,,
367,,
368,485.0,28.7
369,489.0,27.6
370,376.0,45.6
371,275.0,65.3
372,,
373,,
374,,
375,591.0,17.4
376,,
377,601.0,16.4
378,,
379,,
380,125.0,96.4
381,601.0,14.7
382,,
383,299.0,60.4
