university_id,faculty student rank,faculty student score
1,478,32.5
2,282,54.4
3,467,33.0
4,527,29.1
5,248,61.1
6,237,62.5
7,601,18.8
8,119,83.5
9,601,7.7
10,497,31.0
11,601,11.2
12,601,12.2
13,601,3.6
14,281,54.5
15,601,5.5
16,136,80.2
17,601,4.5
18,601,9.1
19,65,94.1
20,601,10.3
21,210,66.8
22,601,17.7
23,601,10.6
24,601,17.4
25,589,24.4
26,601,22.1
27,402,39.2
28,558,26.7
29,302,51.9
30,167,74.1
31,601,3.7
32,50,97.2
33,103,86.3
34,518,29.7
35,4,100.0
36,601,6.7
37,601,15.6
38,601,8.4
39,601,12.2
40,414,37.8
41,601,6.1
42,601,3.1
43,601,2.2
44,410,38.2
45,601,9.4
46,601,18.9
47,601,12.5
48,548,27.5
49,601,13.4
50,517,29.7
51,601,23.5
52,87,89.7
53,155,76.5
54,601,13.0
55,601,20.3
56,601,14.1
57,601,21.2
58,24,99.9
59,601,14.3
60,601,20.4
61,601,3.6
62,601,19.5
63,601,4.4
64,363,43.3
65,601,9.7
66,601,17.4
67,509,30.2
68,52,96.8
69,165,74.5
70,601,8.6
71,226,64.5
72,575,25.4
73,601,23.4
74,601,14.9
75,268,57.3
76,597,23.8
77,369,42.5
78,198,68.6
79,601,18.2
80,601,10.4
81,601,3.4
82,601,2.7
83,601,13.9
84,601,9.9
85,56,95.9
86,601,5.5
87,455,34.3
88,601,5.8
89,601,18.3
90,276,55.2
91,583,24.9
92,47,97.9
93,601,23.3
94,596,23.8
95,601,22.6
96,351,44.7
97,437,35.8
98,576,25.4
99,601,20.1
100,601,5.5
101,601,12.6
102,435,35.9
103,219,65.1
104,507,30.4
105,70,92.4
106,200,68.5
107,546,27.7
108,331,47.4
109,601,15.8
110,601,3.5
111,601,8.4
112,601,8.1
113,601,13.4
114,569,25.8
115,145,78.6
116,491,31.4
117,601,8.7
118,601,3.6
119,601,14.6
120,108,85.5
121,601,22.6
122,601,5.1
123,601,20.4
124,280,54.8
125,601,6.3
126,601,20.1
127,424,37.1
128,601,6.1
129,601,3.8
130,262,58.6
131,601,10.2
132,572,25.6
133,601,8.7
134,601,14.0
135,601,3.2
136,601,17.8
137,239,62.2
138,499,30.9
139,18,100.0
140,601,14.2
141,601,17.1
142,385,40.8
143,44,98.0
144,601,17.1
145,601,6.6
146,601,2.5
147,601,3.5
148,601,1.6
149,317,48.8
150,203,67.6
151,112,85.0
152,382,41.0
153,418,37.6
154,179,71.8
155,601,11.1
156,592,24.2
157,309,49.9
158,601,17.9
159,601,14.6
160,601,14.1
161,21,99.9
162,601,18.2
163,601,17.9
164,601,3.0
165,601,12.8
166,601,15.1
167,452,34.6
168,601,8.7
169,601,18.3
170,543,27.7
171,601,17.9
172,529,29.0
173,601,11.9
174,601,17.6
175,601,16.4
176,601,21.5
177,140,79.2
178,391,40.0
179,400,39.4
180,350,44.7
181,601,13.7
182,601,3.9
183,601,19.2
184,601,13.0
185,601,7.4
186,601,4.6
187,601,9.7
188,601,7.2
189,601,12.7
190,601,21.6
191,585,24.8
192,601,8.9
193,601,16.5
194,601,16.7
195,601,2.9
196,348,45.0
197,406,38.9
198,528,29.0
199,49,97.4
200,601,18.7
201,421,37.3
202,27,99.8
203,395,39.6
204,201,68.3
205,101,86.6
206,601,5.9
207,601,16.6
208,601,19.3
209,470,32.9
210,69,92.9
211,464,33.4
212,76,91.3
213,601,18.9
214,601,18.6
215,601,8.4
216,601,15.5
217,601,5.1
218,225,64.5
219,601,10.7
220,601,2.9
221,601,15.0
222,601,2.4
223,169,73.9
224,139,79.3
225,601,8.8
226,493,31.4
227,601,20.9
228,88,89.6
229,601,19.9
230,22,99.9
231,601,22.3
232,601,8.1
233,236,62.6
234,427,37.0
235,601,11.0
236,601,20.4
237,601,15.4
238,272,56.2
239,485,31.9
240,601,5.1
241,312,49.7
242,460,33.7
243,135,80.3
244,601,12.2
245,601,11.6
246,601,5.8
247,601,6.7
248,304,51.2
249,246,61.3
250,471,32.8
251,463,33.6
252,601,8.2
253,601,2.3
254,54,96.6
255,601,6.1
256,601,1.7
257,117,83.9
258,601,20.8
259,37,99.1
260,205,67.5
261,601,20.9
262,208,66.9
263,562,26.4
264,306,50.5
265,601,9.8
266,600,23.7
267,381,41.2
268,25,99.8
269,601,6.2
270,601,7.1
271,356,44.0
272,67,93.4
273,187,70.6
274,601,4.8
275,431,36.9
276,601,11.5
277,601,8.8
278,450,34.6
279,565,26.1
280,601,3.0
281,601,3.2
282,519,29.6
283,601,15.4
284,601,3.0
285,120,83.5
286,601,15.6
287,601,21.6
288,601,14.2
289,243,61.9
290,601,11.3
291,601,16.0
292,601,6.2
293,407,38.8
294,601,6.7
295,10,100.0
296,432,36.4
297,601,5.7
298,454,34.4
299,601,15.7
300,217,65.5
301,601,13.8
302,479,32.3
303,601,11.5
304,601,13.2
305,601,6.3
306,316,48.9
307,84,90.3
308,601,4.1
309,601,9.9
310,601,13.9
311,601,5.2
312,601,9.9
313,601,20.4
314,601,10.2
315,601,7.4
316,601,4.6
317,180,71.7
318,7,100.0
319,258,59.3
320,97,87.6
321,601,5.7
322,601,10.8
323,264,57.8
324,41,98.5
325,601,16.1
326,601,22.7
327,601,6.6
328,601,3.2
329,449,34.7
330,601,17.0
331,601,5.5
332,344,45.6
333,598,23.7
334,468,32.9
335,601,6.2
336,93,89.1
337,1,100.0
338,601,8.4
339,354,44.4
340,83,90.3
341,601,8.1
342,601,23.0
343,601,1.5
344,601,21.6
345,601,2.6
346,325,48.2
347,601,7.3
348,601,5.1
349,601,8.6
350,601,9.8
351,582,25.0
352,570,25.7
353,340,46.1
354,601,19.0
355,371,42.5
356,195,69.2
357,601,8.8
358,601,14.8
359,378,41.8
360,601,16.1
361,601,10.4
362,601,6.4
363,422,37.3
364,40,98.6
365,601,4.8
366,182,71.5
367,114,84.9
368,601,19.9
369,601,4.3
370,601,11.2
371,279,55.0
372,601,11.2
373,601,3.5
374,601,14.4
375,375,42.0
376,601,12.2
377,62,94.6
378,601,10.2
379,601,7.2
380,601,6.4
381,557,26.7
382,253,60.6
383,146,78.2
384,553,27.0
385,358,44.0
386,552,27.2
387,263,58.1
388,601,15.9
389,601,5.1
390,601,15.1
391,184,71.0
392,443,35.2
393,601,2.4
394,601,19.9
395,81,90.6
396,266,57.7
397,601,3.8
398,330,47.5
399,595,23.9
400,487,31.6
401,601,9.5
402,601,15.2
403,274,55.8
404,601,20.8
405,166,74.3
406,601,4.1
407,601,9.1
408,601,3.5
409,82,90.6
410,556,26.8
411,384,40.9
412,601,6.1
413,285,54.1
414,601,14.8
415,601,19.5
416,466,33.2
417,571,25.7
418,307,50.4
419,561,26.5
420,445,35.0
421,544,27.7
422,357,44.0
423,601,7.5
424,183,71.1
425,601,18.2
426,425,37.1
427,601,11.4
428,495,31.2
429,401,39.4
430,601,9.4
431,560,26.6
432,394,39.7
433,601,4.4
434,601,5.9
435,505,30.5
436,601,22.3
437,601,5.3
438,472,32.8
439,601,17.3
440,601,20.8
441,601,6.9
442,370,42.5
443,601,18.9
444,315,49.0
445,601,5.4
446,601,23.4
447,362,43.3
448,338,46.1
449,601,21.1
450,102,86.5
451,601,13.5
452,601,11.0
453,399,39.4
454,601,10.6
455,420,37.4
456,601,6.5
457,271,56.3
458,601,6.2
459,211,66.7
460,601,5.6
461,372,42.4
462,85,90.2
463,555,26.8
464,601,8.2
465,506,30.5
466,601,5.6
467,283,54.3
468,601,21.2
469,2,100.0
470,601,11.0
471,601,15.2
472,532,28.6
473,601,15.9
474,92,89.3
475,366,43.2
476,522,29.4
477,601,17.1
478,66,93.4
479,601,18.4
480,133,80.9
481,327,47.7
482,360,43.5
483,601,6.8
484,601,5.6
485,601,23.4
486,411,37.9
487,601,10.3
488,601,14.6
489,480,32.3
490,590,24.3
491,379,41.8
492,601,8.5
493,601,12.1
494,601,10.0
495,601,4.7
496,287,53.6
497,256,59.6
498,110,85.4
499,601,3.9
500,601,14.6
501,601,16.1
502,191,69.8
503,601,9.7
504,601,5.9
505,601,3.2
506,100,86.6
507,164,75.2
508,601,10.2
509,601,5.1
510,511,30.1
511,601,14.2
512,462,33.6
513,601,22.4
514,601,15.2
515,601,2.1
516,601,14.8
517,601,18.8
518,601,13.0
519,199,68.5
520,601,16.9
521,601,12.6
522,601,20.3
523,601,10.0
524,601,10.0
525,31,99.7
526,601,8.9
527,383,40.9
528,601,19.0
529,131,81.1
530,601,12.6
531,601,3.2
532,601,13.6
533,601,14.3
534,601,22.4
535,355,44.3
536,80,90.8
537,397,39.6
538,186,70.7
539,228,64.3
540,361,43.4
541,601,1.7
542,426,37.1
543,601,5.7
544,45,97.9
545,601,13.0
546,444,35.0
547,14,100.0
548,442,35.3
549,91,89.5
550,601,5.3
551,601,7.8
552,601,8.3
553,417,37.8
554,601,9.8
555,601,8.1
556,601,5.9
557,301,51.9
558,601,18.7
559,241,62.1
560,601,6.9
561,321,48.6
562,601,8.5
563,601,17.3
564,601,11.3
565,601,18.9
566,601,13.1
567,28,99.8
568,601,13.6
569,601,6.6
570,419,37.4
571,601,3.3
572,531,28.7
573,601,14.9
574,196,68.9
575,601,4.9
576,513,29.8
577,273,56.1
578,601,7.7
579,288,53.5
580,245,61.4
581,601,4.1
582,601,23.2
583,474,32.7
584,190,69.9
585,235,62.6
586,601,8.1
587,601,3.5
588,20,100.0
589,278,55.1
590,545,27.7
591,601,13.0
592,390,40.1
593,488,31.6
594,61,94.6
595,5,100.0
596,197,68.7
597,601,20.8
598,115,84.8
599,213,66.5
600,601,16.2
601,601,4.8
602,43,98.3
603,601,6.4
604,601,7.5
605,113,85.0
606,323,48.3
607,601,4.2
608,566,26.0
609,601,7.8
610,19,100.0
611,277,55.2
612,173,73.2
613,601,11.9
614,601,4.9
615,601,4.9
616,564,26.3
617,601,23.3
618,601,4.6
619,250,60.9
620,23,99.9
621,601,5.5
622,563,26.4
623,601,10.1
624,36,99.2
625,601,6.2
626,538,28.3
627,57,95.5
628,255,59.8
629,601,4.9
630,601,9.2
631,601,17.4
632,601,12.0
633,405,39.0
634,207,67.5
635,601,6.0
636,601,9.5
637,601,9.6
638,188,70.3
639,168,73.9
640,549,27.4
641,322,48.6
642,260,58.8
643,233,63.3
644,58,95.0
645,224,64.8
646,318,48.8
647,593,24.1
648,368,43.0
649,601,6.7
650,334,47.0
651,601,4.8
652,601,5.5
653,3,100.0
654,601,17.2
655,601,20.1
656,601,3.0
657,134,80.4
658,162,75.4
659,116,84.5
660,601,4.8
661,398,39.5
662,535,28.4
663,601,4.7
664,601,7.3
665,601,6.5
666,601,5.0
667,601,8.3
668,601,6.4
669,601,22.4
670,96,88.0
671,601,5.1
672,601,11.0
673,601,8.1
674,601,20.3
675,601,2.3
676,601,21.7
677,601,11.2
678,601,15.7
679,601,20.4
680,447,34.8
681,141,79.2
682,601,14.5
683,261,58.7
684,601,21.9
685,539,28.2
686,601,4.6
687,601,8.7
688,601,6.2
689,333,47.2
690,16,100.0
691,520,29.5
692,533,28.5
693,514,29.8
694,86,89.9
695,601,8.0
696,433,36.2
697,601,12.1
698,601,12.4
699,95,88.3
700,324,48.3
701,601,13.7
702,223,64.8
703,364,43.3
704,601,12.1
705,601,4.1
706,55,96.0
707,150,77.3
708,171,73.3
709,389,40.3
710,601,5.5
711,601,21.0
712,601,9.3
713,72,91.7
714,319,48.7
715,601,15.0
716,586,24.6
717,601,4.7
718,489,31.5
719,601,2.2
720,428,37.0
721,227,64.4
722,601,6.9
723,300,52.1
724,601,6.1
725,332,47.4
726,601,10.4
727,98,87.2
728,601,11.6
729,308,49.9
730,601,14.4
731,38,99.0
732,601,10.8
733,601,10.1
734,601,15.4
735,567,26.0
736,328,47.6
737,601,16.8
738,601,5.0
739,429,37.0
740,601,8.8
741,125,82.9
742,48,97.5
743,216,65.6
744,73,91.7
745,34,99.4
746,601,17.7
747,601,13.3
748,222,64.9
749,601,18.2
750,64,94.5
751,517,29.7
752,494,31.3
753,483,32.0
754,238,62.5
755,601,11.2
756,601,1.4
757,601,5.9
758,601,10.6
759,601,9.8
760,326,48.2
761,515,29.8
762,347,45.3
763,111,85.4
764,510,30.1
765,289,53.5
766,353,44.6
767,601,22.2
768,601,9.3
769,601,5.9
770,601,12.8
771,601,3.3
772,601,7.7
773,26,99.8
774,477,32.5
775,601,13.9
776,601,4.1
777,601,5.0
778,578,25.3
779,601,23.5
780,601,8.3
781,601,18.7
782,601,9.2
783,601,11.4
784,257,59.4
785,305,51.2
786,373,42.3
787,601,3.6
788,542,27.9
789,601,9.5
790,129,81.5
791,601,23.4
792,90,89.5
793,601,6.3
794,599,23.7
795,601,5.5
796,259,59.0
797,601,14.9
798,601,4.9
799,498,30.9
800,345,45.6
801,121,83.4
802,17,100.0
803,601,2.2
804,601,4.4
805,601,5.0
806,601,16.6
807,541,28.0
808,601,12.2
809,451,34.6
810,502,30.7
811,601,6.4
812,177,72.8
813,601,5.0
814,601,21.0
815,601,5.7
816,412,37.9
817,601,13.8
818,29,99.8
819,128,82.5
820,601,23.2
821,601,6.9
822,503,30.7
823,298,52.4
824,459,34.1
825,587,24.5
826,554,26.9
827,601,11.0
828,601,11.7
829,299,52.1
830,601,15.7
831,482,32.1
832,601,5.3
833,13,100.0
834,296,52.6
835,601,10.6
836,161,75.6
837,293,52.8
838,601,1.6
839,232,63.6
840,42,98.4
841,601,17.3
842,185,71.0
843,176,73.1
844,157,76.4
845,601,5.1
846,601,11.6
847,60,94.7
848,240,62.2
849,601,2.6
850,601,21.5
851,601,6.7
852,601,19.9
853,601,6.0
854,601,11.1
855,601,15.7
856,601,5.2
857,601,6.9
858,484,31.9
859,601,5.7
860,39,99.0
861,537,28.3
862,601,12.7
863,11,100.0
864,160,76.0
865,601,4.8
866,163,75.4
867,230,64.3
868,194,69.2
869,349,44.8
870,601,1.1
871,221,64.9
872,601,15.3
873,568,25.9
874,15,100.0
875,526,29.1
876,601,22.7
877,601,17.8
878,189,70.2
879,294,52.7
880,481,32.1
881,601,11.7
882,393,39.7
883,601,13.1
884,601,6.0
885,601,4.9
886,601,1.4
887,320,48.7
888,601,10.1
889,601,1.6
890,601,21.0
891,365,43.3
892,601,14.3
893,601,15.0
894,601,6.3
895,601,22.6
896,601,10.0
897,601,8.7
898,601,4.2
899,601,6.5
900,148,78.1
901,68,93.1
902,601,17.2
903,403,39.1
904,601,7.2
905,220,65.1
906,601,13.8
907,172,73.2
908,174,73.2
909,193,69.4
910,601,5.5
911,313,49.3
912,601,14.3
913,601,5.2
914,501,30.8
915,601,14.0
916,601,1.0
917,601,6.9
918,127,82.8
919,601,4.3
920,601,1.9
921,601,3.9
922,35,99.3
923,601,1.6
924,249,61.0
925,601,14.4
926,601,9.8
927,388,40.3
928,79,91.0
929,204,67.6
930,601,7.8
931,461,33.6
932,601,12.8
933,601,6.3
934,295,52.7
935,601,4.0
936,291,53.1
937,122,83.2
938,525,29.1
939,601,4.4
940,453,34.4
941,601,18.9
942,496,31.0
943,33,99.6
944,530,29.0
945,601,4.8
946,601,17.2
947,601,14.8
948,456,34.3
949,77,91.2
950,254,60.5
951,601,7.8
952,601,6.9
953,436,35.8
954,413,37.8
955,601,7.3
956,601,14.6
957,601,9.5
958,601,17.5
959,601,5.5
960,601,4.8
961,75,91.5
962,601,18.0
963,156,76.4
964,490,31.5
965,512,30.0
966,601,9.8
967,147,78.1
968,218,65.4
969,206,67.5
970,601,6.9
971,601,7.8
972,337,46.3
973,89,89.5
974,551,27.3
975,247,61.1
976,601,10.7
977,601,15.1
978,601,10.1
979,601,6.4
980,486,31.7
981,601,3.2
982,94,88.4
983,12,100.0
984,152,77.2
985,601,23.6
986,601,5.9
987,36,99.3
988,601,18.1
989,577,25.4
