university_id,academic reputation rank,academic reputation score
259,1,100.0
295,2,100.0
595,3,100.0
1136,4,100.0
983,5,100.0
617,6,100.0
105,7,100.0
355,8,100.0
337,9,99.9
596,10,99.9
547,11,99.6
909,13,99.5
731,14,99.4
285,15,99.4
627,16,99.2
990,17,98.9
657,18,98.7
706,19,98.7
462,20,98.6
409,21,98.6
202,22,98.4
249,23,98.4
257,24,98.3
8,25,98.0
763,26,97.9
879,27,97.6
227,28,96.8
469,29,96.7
874,30,96.2
254,31,95.9
1089,32,95.2
729,33,94.6
339,34,94.6
957,35,93.6
934,36,92.8
708,37,92.5
142,38,92.3
549,39,91.1
585,40,91.0
402,41,90.4
630,42,90.3
455,43,90.2
383,44,90.2
517,45,90.1
534,46,89.6
801,47,88.9
775,48,88.9
233,49,88.8
98,50,88.2
1057,51,87.6
843,52,87.5
833,53,86.9
554,54,86.4
1062,55,85.4
1099,56,84.8
750,57,84.5
922,58,84.4
341,59,84.4
702,60,84.2
794,61,83.8
868,62,83.4
90,63,83.4
931,64,83.1
1024,65,82.4
1028,66,80.9
1063,67,80.6
525,68,80.1
567,69,79.5
973,70,77.6
129,71,77.5
53,72,76.9
808,73,76.7
1110,74,76.5
1,75,75.9
161,76,75.8
634,77,74.7
320,78,74.6
497,79,74.4
802,80,73.5
723,81,73.1
371,82,72.7
196,83,72.4
359,84,71.9
228,85,71.6
840,86,71.4
325,87,71.3
670,88,71.2
422,89,70.6
834,90,70.5
95,91,70.2
647,92,69.3
421,93,68.2
821,94,67.8
1100,95,67.8
858,96,67.7
519,97,67.2
177,98,67.1
50,99,66.9
480,100,66.3
240,101,66.1
570,102,66.1
557,103,65.5
518,104,65.3
197,105,65.1
1125,106,63.9
358,107,63.3
832,108,62.8
152,109,62.0
683,110,61.9
1138,111,61.8
1079,112,61.5
498,113,61.5
451,114,61.0
568,115,60.8
21,116,60.4
761,117,60.3
510,118,59.6
52,119,59.4
1098,120,59.3
1129,121,59.2
1132,122,59.1
1118,123,58.9
231,124,58.8
527,125,58.5
313,125,58.5
953,127,58.3
1042,128,58.1
219,129,57.8
1049,130,56.7
30,131,56.6
127,132,56.2
1059,133,56.1
1027,134,56.0
1093,135,55.7
64,136,55.7
974,137,55.6
