university_id,employer reputation rank,employer reputation score
259,1,100.0
295,2,100.0
595,3,100.0
983,4,100.0
1136,5,100.0
337,6,100.0
617,7,100.0
355,8,99.9
202,9,99.8
105,10,99.6
196,11,99.2
596,12,99.2
731,13,98.9
254,14,98.6
547,16,98.4
909,17,98.2
285,18,98.2
624,19,98.1
1089,19,98.0
706,20,97.8
750,21,97.6
534,22,97.6
409,23,97.6
990,24,97.3
8,25,97.3
257,27,96.5
161,28,95.9
227,29,95.4
657,30,95.3
231,31,95.2
708,32,94.4
402,32,94.4
879,34,94.2
1125,35,94.2
761,36,94.1
249,37,93.9
874,38,93.8
627,39,93.5
383,40,93.4
899,41,93.3
729,42,93.2
462,43,93.0
228,44,92.6
808,45,92.3
53,46,91.7
670,47,91.5
320,48,91.1
723,49,90.8
973,50,90.4
790,51,90.4
469,52,89.9
1099,53,89.1
953,54,88.6
359,55,87.9
1018,56,87.7
142,57,87.4
775,58,87.2
90,59,86.7
801,60,86.2
957,61,86.1
549,62,85.0
634,63,84.3
1067,64,83.6
843,65,83.1
833,66,81.8
240,67,81.0
703,68,80.8
1063,69,80.6
98,70,80.2
1024,71,79.7
774,72,79.6
422,73,79.5
821,74,79.4
339,75,79.3
604,76,79.2
467,77,78.9
465,78,78.5
572,79,78.2
934,80,77.5
567,81,76.5
371,82,75.0
358,83,74.9
922,84,74.7
557,85,74.6
1143,86,74.3
1132,87,74.2
497,88,74.0
840,89,73.8
641,90,73.4
1,91,73.2
763,92,73.1
526,93,71.8
517,94,71.3
138,95,70.8
970,96,70.4
513,97,69.8
498,98,68.8
64,99,68.6
1040,100,67.7
858,101,67.4
132,102,66.1
574,103,65.7
1058,104,65.7
61,105,65.7
1079,106,65.0
150,108,64.7
683,109,64.2
139,110,64.1
502,110,64.1
331,112,63.9
735,113,63.8
630,114,63.5
554,115,63.5
225,116,63.1
1118,117,63.0
878,118,62.9
429,119,61.9
585,120,61.1
127,121,60.9
780,122,60.9
451,123,60.7
702,124,60.7
1059,125,60.2
628,126,60.1
1049,127,59.4
40,128,59.3
789,129,59.1
152,130,58.9
1100,131,58.4
546,132,58.2
313,133,58.1
21,134,57.9
900,135,57.7
938,136,57.5
375,137,57.5
201,138,57.5
794,139,57.3
