university_id,overall rank,overall score
983,1,100.0
595,2,99.5
1136,3,98.7
295,4,98.7
259,5,98.0
469,6,97.4
202,7,97.3
657,8,95.4
731,9,95.4
627,10,94.5
549,12,90.8
874,13,90.7
1024,14,90.2
337,15,90.2
8,16,89.9
409,17,89.0
285,18,88.8
547,19,88.7
596,20,88.6
249,21,88.3
763,22,86.3
105,23,86.2
462,24,86.2
1057,25,85.9
909,26,85.3
708,27,84.0
339,28,84.0
1089,29,84.0
922,30,82.8
1099,31,82.6
617,32,82.5
706,33,82.3
702,34,82.2
801,35,82.0
257,36,81.7
990,37,81.4
227,38,80.4
233,39,80.3
355,40,79.7
843,41,79.1
254,42,78.9
402,43,77.7
161,44,77.6
670,45,77.4
879,46,77.1
98,47,76.6
585,48,76.1
196,50,75.8
90,51,75.6
750,52,75.6
833,53,75.2
371,54,74.6
52,55,74.6
931,56,73.8
320,57,73.5
359,58,73.1
775,59,72.2
1042,60,71.3
723,61,71.2
634,62,71.0
525,63,70.8
934,64,70.1
53,65,69.8
177,66,69.1
957,67,68.4
142,68,68.2
383,69,67.9
341,70,67.2
1098,71,67.2
455,72,67.1
497,73,66.8
973,74,66.3
1063,75,66.2
868,76,66.2
628,77,65.7
567,78,65.6
802,79,65.5
228,80,65.5
139,81,65.4
953,82,65.2
840,83,65.2
554,84,65.2
794,85,65.0
1062,86,65.0
624,87,64.9
834,88,63.8
821,89,63.5
502,90,63.2
557,91,62.9
150,92,62.8
422,93,62.6
313,94,62.5
1080,95,62.3
21,96,61.6
1,97,61.5
498,98,60.5
1123,99,60.1
588,100,59.9
480,101,59.6
421,102,59.5
1048,103,59.0
1132,104,58.9
519,105,58.5
729,106,58.3
725,107,58.3
58,108,58.0
684,109,57.9
50,110,57.9
574,111,57.7
570,112,57.5
30,113,57.3
481,114,57.0
152,115,57.0
647,116,57.0
127,117,57.0
358,118,56.9
993,119,56.7
1129,120,56.2
969,121,56.1
683,122,56.0
878,123,55.9
517,124,55.9
92,125,55.8
197,126,55.4
467,127,55.3
760,128,55.2
1028,129,54.9
630,130,54.8
137,131,54.8
32,132,54.6
510,133,54.2
27,134,54.0
526,135,53.9
703,136,53.8
534,137,53.6
465,138,53.4
1059,139,53.3
241,140,53.0
450,141,52.7
598,142,52.6
240,143,52.5
223,144,52.2
1049,145,52.0
681,146,51.4
219,147,51.2
1118,148,51.0
974,149,50.6
201,150,50.5
604,151,50.5
561,152,50.4
95,153,50.4
2,154,50.4
268,155,50.3
1027,156,50.2
1143,157,49.8
451,158,49.7
648,159,49.5
64,160,49.3
745,161,48.6
33,162,48.2
790,163,48.2
1082,164,48.1
742,165,48.1
899,166,48.0
129,167,47.7
513,168,47.7
1079,169,47.6
325,170,47.6
331,171,47.5
1110,172,47.2
824,173,47.0
873,174,46.9
844,175,46.9
1040,176,46.8
823,177,46.6
594,178,46.4
774,179,46.4
546,180,46.3
40,181,46.1
1131,182,46.1
317,183,46.1
212,184,46.0
808,185,46.0
138,186,45.9
646,187,45.7
1138,188,45.7
649,189,45.6
869,190,45.5
426,191,45.5
154,192,45.1
611,193,45.1
126,194,44.9
471,195,44.8
205,196,44.8
291,197,44.8
209,198,44.6
659,199,44.5
967,200,44.2
841,201,44.1
1018,202,43.9
76,203,43.5
761,204,43.3
103,205,43.2
1133,206,43.1
780,207,42.8
527,208,42.7
777,209,42.7
568,210,42.6
363,211,42.6
825,212,42.5
133,214,42.1
236,215,42.0
858,216,41.9
1071,217,41.8
77,218,41.8
653,219,41.7
518,220,41.3
87,221,41.1
741,222,41.0
599,223,40.9
1100,224,40.8
638,225,40.7
734,226,40.4
238,227,40.3
229,228,40.3
439,229,40.3
619,230,40.3
615,231,40.2
735,232,40.1
846,233,40.0
479,234,39.8
905,235,39.8
72,236,39.7
346,237,39.6
231,238,39.6
1052,239,39.6
452,240,39.6
970,241,39.5
506,242,39.5
1068,243,39.2
707,244,39.2
1093,245,39.2
85,246,39.1
210,247,38.8
