university_id,employment outcomes rank,employment outcomes score
1,282.0,44.8
2,511.0,23.7
3,174.0,63.8
4,473.0,26.1
5,447.0,28.3
6,247.0,50.3
7,601.0,11.4
8,219.0,54.3
9,339.0,38.1
10,601.0,17.2
11,601.0,4.0
12,601.0,4.3
13,228.0,53.8
14,601.0,11.2
15,601.0,5.6
16,601.0,4.6
17,601.0,15.1
18,489.0,25.0
19,482.0,25.5
20,601.0,18.4
21,376.0,33.7
22,155.0,66.8
23,601.0,10.4
24,601.0,9.4
25,601.0,8.0
26,601.0,10.5
27,448.0,28.3
28,490.0,24.9
29,601.0,3.9
30,601.0,19.3
31,601.0,4.4
32,289.0,44.3
33,319.0,40.9
34,601.0,11.7
35,601.0,4.6
36,601.0,18.0
37,73.0,89.3
38,601.0,1.0
39,378.0,33.6
40,601.0,5.5
41,601.0,6.1
42,601.0,4.3
43,288.0,44.5
44,601.0,17.0
45,601.0,5.5
46,601.0,11.0
47,117.0,76.3
48,601.0,19.4
49,601.0,3.0
50,488.0,25.0
51,510.0,23.7
52,198.0,57.2
53,310.0,41.9
54,601.0,3.1
55,601.0,16.2
56,537.0,22.6
57,601.0,16.6
58,132.0,71.0
59,398.0,31.3
60,143.0,69.1
61,601.0,17.6
62,368.0,34.8
63,601.0,2.9
64,397.0,31.6
65,601.0,10.3
66,589.0,20.0
67,601.0,8.5
68,601.0,1.0
69,601.0,17.8
70,601.0,4.6
71,165.0,65.6
72,366.0,35.3
73,601.0,6.8
74,496.0,24.6
75,601.0,4.3
76,424.0,29.6
77,601.0,11.4
78,601.0,15.8
79,601.0,8.3
80,601.0,4.0
81,498.0,24.5
82,485.0,25.4
83,389.0,32.7
84,517.0,23.5
85,68.0,90.4
86,196.0,57.4
87,601.0,6.5
88,346.0,37.5
89,124.0,73.8
90,194.0,57.8
91,600.0,19.5
92,601.0,18.8
93,601.0,10.5
94,566.0,21.0
95,126.0,73.0
96,601.0,4.8
97,601.0,14.5
98,311.0,41.8
99,298.0,42.9
100,57.0,92.0
101,315.0,41.4
102,52.0,92.9
103,601.0,15.4
104,146.0,68.6
105,33.0,97.8
106,601.0,13.0
107,573.0,20.7
108,601.0,13.2
109,601.0,4.1
110,601.0,11.8
111,536.0,22.7
112,39.0,96.3
113,601.0,5.1
114,540.0,22.5
115,524.0,23.1
116,239.0,51.7
117,395.0,31.8
118,601.0,3.7
119,601.0,10.0
120,601.0,10.2
121,429.0,29.5
122,601.0,4.8
123,483.0,25.5
124,601.0,11.7
125,601.0,17.0
126,504.0,24.2
127,44.0,94.8
128,420.0,29.8
129,322.0,40.7
130,601.0,6.2
131,308.0,42.3
132,260.0,48.9
133,547.0,22.1
134,205.0,56.3
135,140.0,69.6
136,601.0,14.6
137,569.0,20.9
138,84.0,84.8
139,215.0,54.8
140,601.0,5.1
141,601.0,4.5
142,37.0,96.7
143,417.0,29.9
144,601.0,11.3
145,594.0,19.8
146,601.0,9.4
147,381.0,33.5
148,587.0,20.1
149,601.0,9.4
150,292.0,44.1
151,601.0,17.2
152,103.0,80.5
153,232.0,53.0
154,38.0,96.7
155,221.0,54.2
156,534.0,22.8
157,314.0,41.5
158,182.0,62.0
159,601.0,13.2
160,601.0,5.1
161,227.0,53.9
162,601.0,19.0
163,235.0,52.2
164,208.0,56.0
165,601.0,4.6
166,85.0,84.8
167,216.0,54.7
168,601.0,9.1
169,601.0,4.7
170,601.0,5.5
171,458.0,27.3
172,111.0,79.0
173,506.0,24.0
174,299.0,42.9
175,601.0,6.8
176,601.0,3.1
177,256.0,49.2
178,601.0,9.7
179,269.0,46.9
180,601.0,8.5
181,601.0,10.8
182,444.0,28.5
183,601.0,4.8
184,601.0,3.2
185,583.0,20.2
186,601.0,4.8
187,225.0,54.0
188,601.0,10.3
189,601.0,8.6
190,601.0,5.3
191,601.0,5.6
192,601.0,6.6
193,601.0,17.9
194,601.0,3.6
195,443.0,28.5
196,10.0,99.9
197,263.0,48.5
198,306.0,42.4
199,601.0,3.1
200,601.0,4.2
201,601.0,15.9
202,76.0,88.8
203,549.0,22.0
204,601.0,13.5
205,601.0,9.9
206,601.0,4.9
207,601.0,4.1
208,284.0,44.7
209,280.0,45.1
210,491.0,24.9
211,601.0,1.2
212,601.0,15.8
213,601.0,11.6
214,601.0,10.1
215,601.0,4.2
216,529.0,22.9
217,601.0,3.9
218,601.0,9.3
219,601.0,15.6
220,268.0,47.0
221,601.0,6.5
222,601.0,1.0
223,601.0,6.2
224,601.0,6.2
225,601.0,4.4
226,95.0,82.8
227,65.0,90.8
228,144.0,68.8
229,53.0,92.8
230,271.0,46.8
231,159.0,66.1
232,601.0,15.2
233,108.0,79.4
234,601.0,19.3
235,601.0,3.5
236,370.0,34.4
237,102.0,80.5
238,533.0,22.8
239,503.0,24.2
240,328.0,39.7
241,233.0,52.7
242,601.0,14.5
243,234.0,52.4
244,544.0,22.4
245,601.0,12.8
246,601.0,8.8
247,601.0,7.1
248,601.0,7.2
249,19.0,99.5
250,508.0,23.9
251,601.0,5.2
252,601.0,16.3
253,601.0,6.8
254,13.0,99.7
255,149.0,68.0
256,601.0,4.4
257,34.0,97.7
258,601.0,14.9
259,1.0,100.0
260,81.0,86.8
261,601.0,10.4
262,601.0,15.6
263,601.0,6.6
264,601.0,13.0
265,601.0,4.9
266,186.0,61.0
267,601.0,6.5
268,273.0,46.5
269,601.0,3.2
270,601.0,8.8
271,601.0,10.0
272,601.0,1.0
273,601.0,7.5
274,601.0,8.1
275,267.0,47.2
276,601.0,8.9
277,579.0,20.4
278,324.0,40.6
279,595.0,19.8
280,153.0,67.1
281,601.0,4.6
282,601.0,5.0
283,145.0,68.7
284,601.0,14.3
285,59.0,91.4
286,601.0,16.0
287,388.0,32.7
288,601.0,13.6
289,601.0,17.7
290,601.0,4.2
291,254.0,49.3
292,601.0,18.3
293,601.0,19.2
294,294.0,43.9
295,9.0,100.0
296,601.0,13.7
297,601.0,6.4
298,601.0,12.9
299,601.0,17.4
300,41.0,96.0
301,601.0,13.8
302,601.0,7.3
303,601.0,19.3
304,565.0,21.0
305,601.0,11.9
306,601.0,4.2
307,469.0,26.5
308,601.0,17.3
309,601.0,5.4
310,601.0,12.7
311,468.0,26.7
312,601.0,9.5
313,167.0,65.0
314,601.0,6.5
315,265.0,47.9
316,243.0,51.2
317,262.0,48.7
318,601.0,6.4
319,601.0,16.9
320,377.0,33.6
321,428.0,29.5
322,240.0,51.4
323,313.0,41.6
324,601.0,4.2
325,230.0,53.5
326,275.0,46.2
327,601.0,5.6
328,555.0,21.5
329,601.0,7.5
330,601.0,10.3
331,101.0,81.0
332,601.0,7.4
333,601.0,4.8
334,487.0,25.1
335,601.0,4.5
336,601.0,4.5
337,4.0,100.0
338,601.0,12.5
339,192.0,59.1
340,291.0,44.1
341,283.0,44.8
342,601.0,7.3
343,601.0,8.1
344,217.0,54.6
345,601.0,9.6
346,601.0,15.4
347,601.0,4.1
348,467.0,26.8
349,601.0,3.7
350,601.0,18.2
351,601.0,7.0
352,601.0,8.8
353,331.0,39.4
354,552.0,21.8
355,31.0,98.0
356,332.0,39.3
357,601.0,4.4
358,173.0,63.8
359,172.0,64.0
360,238.0,51.9
361,601.0,10.0
362,67.0,90.5
363,601.0,19.0
364,601.0,11.4
365,601.0,19.5
366,601.0,8.1
367,601.0,14.8
368,49.0,93.2
369,601.0,8.4
370,601.0,3.2
371,83.0,85.3
372,601.0,18.7
373,441.0,28.7
374,601.0,5.3
375,142.0,69.2
376,601.0,5.4
377,601.0,7.2
378,601.0,7.9
379,601.0,9.7
380,601.0,11.4
381,197.0,57.3
382,223.0,54.0
383,371.0,34.3
384,409.0,30.6
385,386.0,32.8
386,249.0,50.0
387,601.0,9.3
388,601.0,3.6
389,179.0,62.7
390,601.0,13.3
391,601.0,8.7
392,553.0,21.8
393,601.0,19.4
394,601.0,3.3
395,601.0,11.6
396,466.0,26.8
397,601.0,2.8
398,601.0,8.3
399,601.0,6.3
400,601.0,9.2
401,601.0,13.3
402,51.0,93.0
403,601.0,4.9
404,601.0,6.4
405,601.0,10.4
406,601.0,6.4
407,601.0,6.0
408,601.0,1.0
409,80.0,87.1
410,601.0,1.0
411,601.0,6.0
412,601.0,4.0
413,601.0,10.2
414,244.0,50.9
415,601.0,12.3
416,601.0,9.1
417,601.0,13.8
418,364.0,35.4
419,486.0,25.3
420,246.0,50.7
421,32.0,97.9
422,300.0,42.9
423,601.0,15.4
424,601.0,3.4
425,442.0,28.5
426,601.0,9.2
427,601.0,15.3
428,601.0,4.4
429,601.0,17.9
430,460.0,27.0
431,601.0,8.7
432,601.0,15.7
433,601.0,16.9
434,601.0,14.7
435,601.0,16.0
436,419.0,29.9
437,69.0,90.4
438,582.0,20.2
439,340.0,38.0
440,601.0,2.7
441,601.0,7.0
442,601.0,6.3
443,601.0,3.2
444,601.0,8.4
445,601.0,5.3
446,575.0,20.6
447,58.0,91.9
448,410.0,30.6
449,551.0,21.9
450,301.0,42.9
451,229.0,53.6
452,175.0,63.6
453,563.0,21.1
454,601.0,5.2
455,187.0,60.9
456,601.0,4.3
457,359.0,36.1
458,601.0,16.5
459,601.0,11.5
460,601.0,7.8
461,502.0,24.3
462,40.0,96.0
463,601.0,4.2
464,601.0,4.6
465,220.0,54.3
466,601.0,3.6
467,279.0,45.1
468,601.0,4.5
469,24.0,98.8
470,601.0,10.3
471,586.0,20.1
472,457.0,27.5
473,601.0,9.2
474,601.0,11.8
475,355.0,36.4
476,601.0,5.5
477,601.0,2.9
478,505.0,24.1
479,148.0,68.3
480,152.0,67.4
481,106.0,79.8
482,601.0,6.5
483,601.0,5.2
484,601.0,3.8
485,601.0,3.4
486,601.0,4.1
487,601.0,9.0
488,213.0,55.2
489,118.0,76.1
490,601.0,15.6
491,601.0,11.3
492,601.0,9.7
493,303.0,42.6
494,601.0,12.3
495,601.0,14.2
