university_id,overall rank,overall score
1,93,60.8
2,162,48.4
3,339,31.7
4,735,
5,291,35.8
6,298,35.4
7,901,
8,15,89.5
9,1015,
10,532,
11,1190,
12,1136,
13,454,26.0
14,420,27.4
15,1338,
16,523,
17,1289,
18,611,
19,309,34.3
20,371,29.9
21,96,59.5
22,657,
23,1349,
24,1013,
25,508,
26,987,
27,146,51.2
28,474,25.1
29,923,
30,117,55.9
31,1340,
32,111,56.6
33,176,46.2
34,876,
35,429,27.1
36,1102,
37,886,
38,948,
39,999,
40,177,45.9
41,1240,
42,1284,
43,550,
44,736,
45,1310,
46,643,
47,828,
48,1043,
49,617,
50,102,58.2
51,424,27.3
52,54,73.6
53,70,67.9
54,588,
55,1119,
56,711,
57,1008,
58,119,55.8
59,312,34.1
60,628,
61,783,
62,958,
63,411,27.8
64,158,49.3
65,877,
66,1292,
67,791,
68,258,38.1
69,650,
70,845,
71,670,
72,242,39.0
73,1140,
74,605,
75,779,
76,229,40.4
77,233,39.9
78,484,24.8
79,684,
80,798,
81,1285,
82,535,
83,438,26.5
84,734,
85,174,46.5
86,473,25.1
87,232,40.0
88,275,36.9
89,264,37.6
90,46,77.4
91,583,
92,124,54.6
93,802,
94,862,
95,151,50.6
96,902,
97,967,
98,51,74.8
99,1046,
100,529,
101,1369,
102,659,
103,216,42.2
104,447,26.3
105,23,85.3
106,315,34.1
107,1161,
108,863,
109,1354,
110,953,
111,1112,
112,1099,
113,1342,
114,1068,
115,374,29.9
116,518,
117,807,
118,1311,
119,662,
120,271,37.2
121,1122,
122,1231,
123,326,33.1
124,321,33.7
125,722,
126,187,45.4
127,134,53.7
128,749,
129,167,47.5
130,555,
131,356,30.7
132,364,30.2
133,222,41.5
134,955,
135,1371,
136,681,
137,145,51.4
138,175,46.5
139,71,67.7
140,1018,
141,1110,
142,77,65.7
143,288,36.0
144,388,29.2
145,576,
146,979,
147,554,
148,799,
149,880,
150,97,59.5
151,479,24.9
152,108,57.2
153,903,
154,205,42.8
155,331,32.3
156,782,
157,289,36.0
158,1123,
159,664,
160,726,
161,26,83.8
162,823,
163,333,32.1
164,600,
165,430,27.1
166,571,
167,702,
168,1287,
169,1128,
170,913,
171,1002,
172,867,
173,1306,
174,1368,
175,639,
176,646,
177,66,69.0
178,619,
179,536,
180,716,
181,693,
182,511,
183,546,
184,647,
185,1226,
186,1296,
187,287,36.2
188,1061,
189,860,
190,792,
191,1012,
192,776,
193,849,
194,954,
195,785,
196,56,72.3
197,128,54.3
198,1072,
199,441,26.4
200,935,
201,163,48.2
202,7,97.0
203,900,
204,675,
205,200,43.6
206,1295,
207,719,
208,489,24.6
209,192,44.5
210,260,37.9
211,564,
212,181,45.6
213,811,
214,934,
215,996,
216,1000,
217,1243,
218,589,
219,149,50.9
220,604,
221,1077,
222,1308,
223,123,54.7
224,372,29.9
225,466,25.4
226,621,
227,41,79.6
228,73,67.0
229,238,39.4
230,538,
231,220,41.6
232,838,
233,38,80.6
234,387,29.3
235,990,
236,228,40.7
237,1166,
238,201,43.3
239,379,29.7
240,139,52.4
241,136,53.3
242,355,30.7
243,401,28.4
244,1001,
245,465,25.4
246,1211,
247,644,
248,525,
249,20,87.2
250,752,
251,463,25.5
252,1080,
253,993,
254,39,80.3
255,422,27.3
256,1391,
257,29,82.2
258,1273,
259,5,97.6
260,297,35.4
261,635,
262,688,
263,839,
264,423,27.3
265,696,
266,778,
267,942,
268,148,51.1
269,888,
270,959,
271,369,29.9
272,341,31.6
273,467,25.3
274,1127,
275,317,33.8
276,951,
277,653,
278,984,
279,710,
280,1387,
281,1328,
282,1141,
283,765,
284,658,
285,12,91.3
286,1044,
287,377,29.8
288,971,
289,269,37.3
290,938,
291,218,42.0
292,861,
293,1059,
294,965,
295,2,98.8
296,290,36.0
297,501,
298,793,
299,540,
300,281,36.3
301,910,
302,426,27.2
303,592,
304,1016,
305,499,24.2
306,1005,
307,386,29.3
308,1188,
309,512,
310,491,24.5
311,552,
312,961,
313,90,61.7
314,744,
315,1335,
316,1261,
317,185,45.4
318,393,29.0
319,678,
320,55,72.5
321,581,
322,234,39.9
323,235,39.5
324,227,41.2
325,184,45.5
326,389,29.2
327,1363,
328,1392,
329,428,27.1
330,1164,
331,173,46.7
332,755,
333,1200,
334,436,26.6
335,915,
336,398,28.6
337,18,89.0
338,594,
339,30,82.1
340,472,25.2
341,76,66.0
342,1217,
343,493,24.5
344,836,
345,1288,
346,217,42.0
347,496,24.4
348,989,
349,853,
350,1198,
351,806,
352,946,
353,521,
354,1026,
355,44,78.7
356,272,37.2
357,1298,
358,129,54.2
359,61,70.0
360,781,
361,827,
362,1309,
363,214,42.3
364,277,36.8
365,691,
366,623,
367,629,
368,926,
369,817,
370,857,
371,52,74.6
372,1049,
373,1087,
374,1004,
375,638,
376,921,
377,337,31.9
378,574,
379,1152,
380,316,33.9
381,462,25.5
382,572,
383,67,68.9
384,307,34.4
385,303,35.0
386,729,
387,672,
388,1223,
389,1064,
390,448,26.3
391,724,
392,1096,
393,622,
394,767,
395,434,26.8
396,637,
397,1084,
398,599,
399,826,
400,810,
401,319,33.8
402,45,78.0
403,558,
404,1065,
405,547,
406,1248,
407,1254,
408,1412,
409,14,90.1
410,1126,
411,973,
412,777,
413,381,29.6
414,253,38.3
415,342,31.5
416,601,
417,445,26.3
418,680,
419,1024,
420,988,
421,98,59.1
422,86,62.8
423,376,29.8
424,714,
425,1021,
426,213,42.4
427,580,
428,975,
429,225,41.4
430,300,35.2
431,528,
432,717,
433,1041,
434,425,27.2
435,585,
436,1030,
437,1160,
438,851,
439,241,39.2
440,936,
441,1170,
442,561,
443,620,
444,537,
445,747,
446,618,
447,969,
448,470,25.3
449,787,
450,152,50.4
451,159,48.9
452,276,36.9
453,349,31.1
454,918,
455,60,70.1
456,1299,
457,636,
458,324,33.2
459,551,
460,1194,
461,330,32.5
462,25,84.4
463,927,
464,995,
465,142,51.9
466,829,
467,138,52.7
468,922,
469,6,97.0
470,1382,
471,193,44.4
472,335,31.9
473,941,
474,391,29.1
475,766,
476,1014,
477,1347,
478,247,38.8
479,278,36.7
480,103,58.2
481,116,55.9
482,485,24.8
483,962,
484,1028,
485,591,
486,898,
487,1396,
488,1180,
489,250,38.6
490,737,
491,631,
492,773,
493,814,
494,977,
495,1048,
496,786,
497,81,64.6
498,99,58.9
499,1114,
500,274,37.1
501,703,
502,89,62.1
503,453,26.1
504,1258,
505,520,
506,240,39.2
507,350,31.0
508,924,
509,1220,
510,133,53.9
511,446,26.3
512,292,35.7
513,180,45.7
514,634,
515,751,
516,879,
517,115,56.1
518,210,42.5
519,107,57.8
520,308,34.3
521,864,
522,848,
523,1039,
524,1029,
525,65,69.0
526,137,53.2
527,215,42.2
528,531,
529,346,31.2
530,882,
