university_id,international Research Network rank,international Research Network score
1,36.0,96.6
2,150.0,79.2
3,205.0,68.5
4,446.0,32.1
5,227.0,62.9
6,283.0,55.0
7,701.0,1.0
8,12.0,99.6
9,701.0,1.3
10,676.0,9.7
11,701.0,5.8
12,701.0,1.7
13,69.0,92.0
14,193.0,70.2
15,701.0,1.0
16,701.0,1.0
17,701.0,3.0
18,398.0,37.2
19,191.0,71.1
20,701.0,3.6
21,38.0,96.1
22,701.0,1.0
23,701.0,4.3
24,524.0,22.4
25,188.0,72.3
26,660.0,10.7
27,171.0,75.3
28,331.0,47.2
29,701.0,1.0
30,216.0,65.2
31,701.0,1.4
32,425.0,34.3
33,537.0,21.0
34,701.0,1.0
35,701.0,2.3
36,541.0,20.3
37,701.0,1.0
38,701.0,1.3
39,701.0,2.3
40,701.0,6.7
41,701.0,1.0
42,701.0,1.6
43,701.0,2.0
44,617.0,13.5
45,701.0,1.3
46,343.0,45.3
47,701.0,1.3
48,701.0,1.1
49,350.0,44.3
50,159.0,77.7
51,494.0,25.4
52,570.0,17.4
53,148.0,79.3
54,701.0,2.3
55,701.0,1.0
56,701.0,3.1
57,701.0,2.0
58,241.0,60.5
59,317.0,49.6
60,701.0,1.5
61,701.0,1.2
62,701.0,2.1
63,363.0,41.9
64,284.0,55.0
65,300.0,52.1
66,701.0,1.0
67,701.0,1.2
68,701.0,2.3
69,364.0,41.9
70,701.0,1.0
71,701.0,1.0
72,232.0,62.3
73,669.0,10.0
74,538.0,20.9
75,701.0,1.1
76,158.0,77.8
77,124.0,84.1
78,701.0,1.0
79,665.0,10.4
80,585.0,16.0
81,701.0,1.1
82,652.0,11.1
83,481.0,27.1
84,543.0,20.1
85,701.0,5.6
86,279.0,55.9
87,155.0,78.8
88,439.0,32.5
89,701.0,3.3
90,390.0,38.3
91,701.0,1.0
92,22.0,97.8
93,701.0,3.2
94,701.0,1.6
95,62.0,93.5
96,404.0,36.6
97,485.0,26.7
98,53.0,95.0
99,701.0,1.5
100,502.0,24.7
101,701.0,1.4
102,701.0,1.1
103,71.0,91.8
104,701.0,1.0
105,196.0,70.0
106,450.0,31.7
107,701.0,1.2
108,701.0,1.1
109,701.0,1.1
110,445.0,32.1
111,117.0,84.9
112,686.0,9.3
113,701.0,1.1
114,701.0,1.5
115,414.0,35.7
116,701.0,6.0
117,526.0,22.2
118,701.0,1.0
119,645.0,11.4
120,577.0,16.7
121,701.0,1.0
122,701.0,5.2
123,235.0,61.6
124,556.0,18.5
125,701.0,1.2
126,186.0,72.7
127,228.0,62.8
128,701.0,1.9
129,75.0,91.0
130,701.0,2.9
131,527.0,22.1
132,701.0,2.5
133,202.0,68.8
134,701.0,2.1
135,701.0,1.1
136,701.0,1.1
137,67.0,92.1
138,701.0,6.6
139,701.0,1.3
140,658.0,10.7
141,701.0,1.6
142,431.0,33.2
143,701.0,3.4
144,599.0,14.7
145,296.0,53.1
146,631.0,12.4
147,373.0,40.4
148,701.0,6.1
149,701.0,1.0
150,306.0,51.1
151,179.0,73.4
152,187.0,72.6
153,701.0,2.7
154,701.0,6.6
155,568.0,17.5
156,326.0,48.1
157,77.0,90.9
158,701.0,1.1
159,308.0,50.7
160,701.0,6.0
161,3.0,100.0
162,701.0,2.6
163,302.0,51.7
164,26.0,97.6
165,691.0,9.2
166,701.0,1.2
167,701.0,1.2
168,701.0,2.8
169,418.0,35.3
170,472.0,28.0
171,701.0,1.7
172,701.0,1.0
173,701.0,1.0
174,701.0,1.6
175,581.0,16.3
176,160.0,77.7
177,362.0,42.0
178,701.0,1.0
179,701.0,1.8
180,701.0,7.8
181,504.0,24.3
182,203.0,68.6
183,695.0,9.1
184,105.0,86.3
185,701.0,1.0
186,701.0,1.0
187,529.0,21.9
188,701.0,7.5
189,701.0,2.3
190,386.0,38.6
191,701.0,5.0
192,583.0,16.2
193,550.0,19.0
194,579.0,16.7
195,,
196,440.0,32.4
197,47.0,95.5
198,701.0,1.0
199,701.0,7.2
200,701.0,6.5
201,85.0,89.8
202,35.0,96.7
203,701.0,2.6
204,701.0,1.0
205,98.0,87.4
206,701.0,1.0
207,701.0,6.3
208,243.0,59.9
209,319.0,49.2
210,701.0,5.3
211,701.0,1.0
212,459.0,29.6
213,701.0,2.6
214,560.0,18.0
215,161.0,77.3
216,657.0,10.7
217,701.0,1.1
218,480.0,27.1
219,352.0,43.5
220,576.0,16.8
221,701.0,1.1
222,701.0,1.1
223,341.0,45.4
224,349.0,44.8
225,701.0,7.3
226,701.0,1.0
227,70.0,91.9
228,498.0,25.0
229,49.0,95.4
230,701.0,1.1
231,649.0,11.1
232,483.0,27.0
233,438.0,32.7
234,252.0,59.1
235,499.0,24.8
236,101.0,87.2
237,701.0,3.6
238,79.0,90.7
239,701.0,8.1
240,173.0,75.1
241,175.0,74.4
242,572.0,17.1
243,351.0,43.5
244,701.0,2.4
245,380.0,40.1
246,701.0,1.0
247,413.0,35.9
248,145.0,79.9
249,144.0,79.9
250,701.0,4.7
251,536.0,21.1
252,95.0,88.2
253,558.0,18.2
254,114.0,85.4
255,447.0,32.0
256,701.0,1.0
257,401.0,36.9
258,701.0,1.0
259,5.0,100.0
260,273.0,56.5
261,388.0,38.5
262,701.0,1.0
263,701.0,2.1
264,643.0,11.5
265,291.0,54.3
266,701.0,1.4
267,701.0,1.6
268,451.0,31.3
269,701.0,1.0
270,368.0,41.1
271,701.0,1.4
272,701.0,1.0
273,701.0,3.6
274,680.0,9.5
275,204.0,68.6
276,473.0,27.6
277,701.0,1.2
278,701.0,1.0
279,701.0,1.0
280,701.0,5.9
281,682.0,9.4
282,636.0,12.0
283,701.0,1.0
284,169.0,75.4
285,353.0,43.2
286,701.0,1.4
287,354.0,43.0
288,701.0,6.2
289,429.0,33.3
290,369.0,40.9
291,391.0,38.1
292,589.0,15.5
293,701.0,1.0
294,157.0,78.1
295,7.0,99.9
296,701.0,1.3
297,206.0,68.3
298,454.0,30.9
299,421.0,34.6
300,606.0,14.4
301,701.0,5.0
302,254.0,59.0
303,701.0,3.8
304,441.0,32.4
305,616.0,13.5
306,701.0,1.2
307,701.0,1.3
308,372.0,40.5
309,9.0,99.8
310,544.0,20.1
311,427.0,33.8
312,647.0,11.2
313,83.0,90.0
314,348.0,44.8
315,701.0,2.4
316,701.0,1.9
317,104.0,86.4
318,701.0,1.2
319,701.0,1.0
320,701.0,8.9
321,701.0,8.9
322,389.0,38.4
323,701.0,1.2
324,701.0,6.8
325,23.0,97.8
326,433.0,33.2
327,701.0,1.0
328,601.0,14.6
329,701.0,2.5
330,701.0,1.0
331,274.0,56.4
332,701.0,1.7
333,442.0,32.3
334,701.0,1.3
335,701.0,4.8
336,535.0,21.3
337,112.0,85.8
338,701.0,4.1
339,156.0,78.5
340,339.0,45.5
341,6.0,99.9
342,701.0,1.0
343,221.0,63.8
344,701.0,1.1
345,701.0,2.2
346,517.0,23.2
347,34.0,96.8
348,701.0,5.2
349,701.0,3.3
350,622.0,13.3
351,247.0,59.5
352,365.0,41.8
353,508.0,23.9
354,701.0,3.5
355,86.0,89.8
356,338.0,45.7
357,701.0,1.0
358,170.0,75.4
359,72.0,91.4
360,650.0,11.1
361,288.0,54.7
362,,
363,195.0,70.1
364,701.0,1.1
365,701.0,3.9
366,701.0,3.6
367,701.0,1.1
368,701.0,1.0
369,590.0,15.5
370,278.0,56.2
