university_id,international students rank,international students score
1,449.0,26.8
2,171.0,78.2
3,667.0,12.7
4,698.0,10.8
5,701.0,4.3
6,502.0,22.8
7,679.0,12.0
8,33.0,99.9
9,473.0,25.0
10,701.0,10.3
11,701.0,4.0
12,701.0,1.3
13,701.0,7.8
14,594.0,16.2
15,701.0,1.5
16,212.0,69.9
17,701.0,8.0
18,569.0,18.3
19,597.0,16.1
20,701.0,2.2
21,69.0,97.5
22,8.0,100.0
23,701.0,1.5
24,519.0,21.8
25,651.0,13.5
26,701.0,4.0
27,116.0,90.6
28,280.0,51.8
29,,
30,277.0,52.2
31,701.0,1.4
32,628.0,14.6
33,216.0,68.3
34,517.0,21.9
35,701.0,9.0
36,701.0,7.1
37,343.0,39.9
38,684.0,11.4
39,701.0,1.2
40,546.0,20.1
41,701.0,2.3
42,701.0,1.5
43,536.0,20.9
44,701.0,3.9
45,,
46,510.0,22.4
47,701.0,2.7
48,701.0,1.9
49,418.0,30.6
50,266.0,54.9
51,701.0,3.4
52,2.0,100.0
53,254.0,58.9
54,701.0,9.6
55,701.0,1.8
56,701.0,1.0
57,701.0,9.4
58,219.0,68.0
59,613.0,15.3
60,701.0,5.3
61,701.0,4.2
62,701.0,3.6
63,591.0,16.4
64,214.0,68.8
65,243.0,61.0
66,701.0,2.8
67,701.0,1.7
68,231.0,65.1
69,701.0,4.8
70,9.0,100.0
71,569.0,18.4
72,241.0,62.0
73,701.0,1.3
74,701.0,4.1
75,302.0,49.2
76,158.0,81.0
77,54.0,98.9
78,481.0,24.3
79,701.0,2.7
80,617.0,15.1
81,701.0,7.4
82,701.0,1.5
83,209.0,70.3
84,99.0,93.2
85,75.0,96.8
86,471.0,25.4
87,544.0,20.2
88,188.0,74.6
89,701.0,1.1
90,377.0,35.5
91,701.0,1.1
92,170.0,78.5
93,701.0,8.4
94,701.0,3.0
95,129.0,88.1
96,591.0,16.4
97,666.0,12.8
98,22.0,100.0
99,629.0,14.6
100,701.0,1.7
101,701.0,1.1
102,701.0,2.7
103,505.0,22.5
104,51.0,99.0
105,427.0,29.2
106,529.0,21.2
107,701.0,6.6
108,701.0,1.6
109,701.0,1.8
110,701.0,4.5
111,701.0,1.6
112,556.0,19.3
113,701.0,2.0
114,701.0,2.7
115,701.0,7.8
116,,
117,701.0,5.6
118,701.0,1.8
119,701.0,2.2
120,272.0,54.0
121,701.0,1.8
122,701.0,2.3
123,222.0,67.0
124,337.0,41.2
125,110.0,91.4
126,265.0,56.0
127,191.0,73.5
128,28.0,100.0
129,695.0,10.9
130,701.0,7.4
131,46.0,99.3
132,701.0,1.4
133,458.0,26.4
134,701.0,1.0
135,701.0,1.3
136,542.0,20.5
137,140.0,85.6
138,701.0,1.4
139,701.0,2.6
140,701.0,4.0
141,701.0,3.1
142,547.0,20.0
143,294.0,49.9
144,573.0,18.2
145,657.0,13.2
146,701.0,5.1
147,122.0,89.3
148,184.0,75.1
149,701.0,5.8
150,29.0,100.0
151,701.0,9.8
152,132.0,87.5
153,701.0,8.8
154,388.0,33.9
155,192.0,73.3
156,701.0,5.7
157,283.0,51.2
158,701.0,2.5
159,26.0,100.0
160,701.0,9.5
161,196.0,72.7
162,701.0,8.6
163,701.0,1.6
164,701.0,6.4
165,701.0,3.0
166,238.0,63.3
167,610.0,15.6
168,701.0,2.7
169,701.0,4.5
170,701.0,2.3
171,485.0,24.2
172,550.0,19.8
173,,
174,701.0,1.0
175,701.0,2.2
176,453.0,26.7
177,133.0,87.4
178,92.0,94.1
179,620.0,15.0
180,701.0,10.2
181,701.0,2.1
182,701.0,1.8
183,423.0,29.9
184,518.0,21.8
185,701.0,7.4
186,701.0,2.9
187,378.0,35.3
188,701.0,4.8
189,83.0,95.9
190,507.0,22.5
191,701.0,1.7
192,504.0,22.6
193,701.0,5.2
194,156.0,81.6
195,701.0,2.9
196,10.0,100.0
197,152.0,82.4
198,701.0,4.0
199,701.0,1.5
200,701.0,1.7
201,180.0,76.2
202,14.0,100.0
203,701.0,2.7
204,487.0,24.0
205,379.0,35.2
206,701.0,1.1
207,307.0,47.7
208,416.0,30.7
209,584.0,17.3
210,264.0,56.3
211,324.0,44.9
212,184.0,75.3
213,701.0,10.6
214,701.0,2.0
215,642.0,13.9
216,701.0,1.2
217,701.0,1.6
218,701.0,9.5
219,522.0,21.6
220,316.0,46.0
221,701.0,7.7
222,701.0,1.0
223,72.0,97.3
224,701.0,9.6
225,701.0,2.2
226,491.0,23.5
227,13.0,100.0
228,298.0,49.7
229,527.0,21.2
230,701.0,1.3
231,701.0,2.0
232,701.0,3.4
233,174.0,77.1
234,701.0,4.9
235,183.0,75.8
236,512.0,22.3
237,,
238,365.0,37.5
239,701.0,3.5
240,262.0,56.6
241,143.0,85.0
242,701.0,4.2
243,622.0,14.9
244,341.0,40.2
245,53.0,99.0
246,701.0,2.7
247,35.0,99.7
248,701.0,9.4
249,234.0,64.0
250,355.0,38.8
251,701.0,3.5
252,701.0,2.4
253,701.0,4.6
254,87.0,95.0
255,701.0,4.3
256,414.0,30.8
257,631.0,14.5
258,701.0,4.1
259,223.0,66.8
260,356.0,38.7
261,117.0,90.5
262,701.0,2.5
263,701.0,2.0
264,701.0,5.9
265,701.0,8.8
266,248.0,59.9
267,701.0,4.0
268,106.0,91.7
269,181.0,76.0
270,30.0,100.0
271,701.0,6.3
272,701.0,5.5
273,295.0,49.9
274,701.0,1.9
275,701.0,5.5
276,270.0,54.2
277,32.0,99.9
278,675.0,12.2
279,701.0,5.2
280,701.0,2.1
281,701.0,1.2
282,701.0,4.6
283,701.0,1.5
284,701.0,4.0
285,492.0,23.5
286,701.0,1.7
287,195.0,72.8
288,601.0,15.9
289,701.0,4.2
290,701.0,4.8
291,428.0,29.2
292,701.0,4.1
293,701.0,4.4
294,701.0,1.9
295,85.0,95.8
296,701.0,10.0
297,351.0,39.2
298,604.0,15.7
299,434.0,28.6
300,344.0,39.8
301,346.0,39.6
302,271.0,54.1
303,701.0,1.9
304,701.0,5.4
305,701.0,3.6
306,701.0,2.7
307,609.0,15.6
308,701.0,4.0
309,398.0,32.3
310,607.0,15.7
311,701.0,1.5
312,42.0,99.5
313,34.0,99.8
314,134.0,87.3
315,701.0,1.5
316,701.0,1.8
317,160.0,80.8
318,614.0,15.3
319,701.0,1.2
320,404.0,31.7
321,319.0,45.4
322,455.0,26.6
323,701.0,2.3
324,701.0,1.5
325,437.0,28.5
326,90.0,94.3
327,701.0,1.1
328,701.0,1.5
329,701.0,10.3
330,701.0,1.7
331,268.0,54.6
332,701.0,2.9
333,701.0,7.7
334,571.0,18.2
335,701.0,1.3
336,177.0,76.6
337,169.0,78.8
338,701.0,7.9
339,97.0,93.3
340,630.0,14.5
341,318.0,45.7
342,701.0,4.8
343,561.0,18.9
344,632.0,14.4
345,701.0,5.0
346,701.0,8.4
347,598.0,16.1
348,701.0,1.3
349,701.0,2.7
350,701.0,2.2
351,701.0,7.0
352,640.0,14.0
353,701.0,3.3
354,701.0,3.8
355,477.0,24.8
356,348.0,39.3
357,701.0,1.6
358,317.0,45.8
359,121.0,89.3
360,328.0,44.1
361,233.0,64.5
362,701.0,1.5
363,340.0,40.2
364,701.0,5.7
365,701.0,1.3
366,701.0,6.3
367,637.0,14.3
368,701.0,8.2
369,701.0,8.2
370,480.0,24.4
371,59.0,98.2
372,701.0,10.6
373,701.0,4.4
374,701.0,2.6
375,701.0,5.8
376,701.0,1.5
377,465.0,25.8
378,701.0,2.6
379,701.0,3.2
380,57.0,98.4
381,326.0,44.3
382,701.0,8.4
383,224.0,66.7
384,446.0,27.4
385,308.0,47.1
386,701.0,2.4
387,701.0,9.8
388,701.0,3.3
389,534.0,21.0
390,701.0,5.5
391,701.0,2.4
392,701.0,4.4
393,595.0,16.2
394,391.0,33.2
395,227.0,66.1
396,701.0,2.1
397,381.0,34.8
398,575.0,18.0
399,701.0,2.0
400,440.0,28.0
401,380.0,34.9
402,50.0,99.1
403,701.0,4.8
404,701.0,7.9
405,701.0,2.5
406,701.0,4.1
407,701.0,10.2
408,701.0,3.0
409,603.0,15.7
410,701.0,3.9
411,701.0,2.9
412,701.0,1.6
413,664.0,12.9
414,490.0,23.8
415,360.0,38.2
416,612.0,15.5
417,701.0,4.9
418,530.0,21.2
419,701.0,1.7
420,701.0,2.7
421,104.0,92.5
422,118.0,90.0
423,701.0,8.9
424,701.0,3.0
425,701.0,2.6
426,112.0,91.1
427,588.0,16.6
428,701.0,8.3
429,605.0,15.7
430,403.0,31.7
431,554.0,19.5
432,701.0,2.5
433,367.0,37.5
434,119.0,89.5
435,701.0,9.1
436,701.0,4.5
437,701.0,5.3
438,486.0,24.1
439,100.0,93.0
440,701.0,4.0
441,701.0,1.9
442,701.0,4.8
443,,
444,552.0,19.7
445,701.0,7.6
446,88.0,95.0
447,688.0,11.2
448,701.0,4.6
449,701.0,2.5
450,250.0,59.5
451,665.0,12.8
452,382.0,34.6
453,503.0,22.7
454,701.0,3.1
455,297.0,49.8
456,701.0,1.4
457,701.0,3.7
458,701.0,6.8
459,257.0,58.8
460,431.0,29.1
461,570.0,18.2
462,445.0,27.6
463,701.0,1.1
464,438.0,28.4
465,312.0,46.7
466,67.0,97.5
467,205.0,70.8
468,701.0,7.0
469,159.0,81.0
470,,
471,459.0,26.4
472,413.0,30.9
473,701.0,9.7
474,79.0,96.6
475,652.0,13.5
476,701.0,1.7
477,701.0,1.3
478,701.0,8.9
479,17.0,100.0
480,701.0,10.1
481,363.0,37.7
482,164.0,79.8
483,484.0,24.2
484,701.0,1.3
485,701.0,1.6
486,701.0,2.9
487,514.0,22.0
488,543.0,20.3
489,701.0,1.4
490,701.0,3.7
491,482.0,24.3
492,38.0,99.6
493,281.0,51.3
494,701.0,3.0
495,701.0,2.8
496,701.0,4.4
497,41.0,99.5
498,387.0,34.0
499,701.0,1.9
500,564.0,18.7
501,474.0,25.0
502,217.0,68.1
503,701.0,9.1
504,701.0,2.4
505,255.0,58.9
506,11.0,100.0
507,447.0,27.2
508,701.0,1.0
509,701.0,7.2
510,701.0,7.3
511,93.0,94.1
512,64.0,97.9
513,155.0,81.6
514,701.0,2.5
515,260.0,57.6
516,701.0,4.3
517,701.0,2.3
518,701.0,2.9
519,701.0,5.4
520,187.0,74.7
521,339.0,40.5
522,405.0,31.6
523,194.0,72.8
524,701.0,7.7
525,290.0,50.4
526,95.0,93.6
527,678.0,12.0
528,306.0,48.5
529,551.0,19.8
530,701.0,1.6
531,701.0,6.2
532,259.0,58.4
533,701.0,1.1
534,701.0,3.5
535,20.0,100.0
536,526.0,21.3
537,213.0,69.3
538,701.0,3.7
539,236.0,63.8
540,701.0,4.8
541,701.0,3.6
542,701.0,1.1
543,701.0,1.5
544,273.0,53.1
545,701.0,4.5
546,247.0,60.1
547,76.0,96.8
548,701.0,1.1
549,161.0,80.2
550,701.0,4.3
551,701.0,2.2
552,680.0,11.9
553,586.0,17.0
554,303.0,49.2
555,399.0,32.2
556,701.0,9.3
557,148.0,83.9
558,84.0,95.8
559,516.0,21.9
560,701.0,5.0
561,206.0,70.6
562,334.0,42.2
563,701.0,6.2
564,412.0,30.9
565,701.0,1.8
566,701.0,1.6
567,105.0,92.3
568,582.0,17.4
569,701.0,1.3
570,531.0,21.2
571,304.0,48.6
572,508.0,22.4
573,375.0,35.8
574,500.0,23.1
575,1.0,100.0
576,420.0,30.3
577,410.0,31.1
578,674.0,12.3
579,532.0,21.2
580,701.0,9.3
581,701.0,5.9
582,701.0,7.6
583,701.0,1.4
584,634.0,14.4
585,282.0,51.3
586,,
587,701.0,5.4
588,153.0,82.0
589,701.0,3.8
590,701.0,1.7
591,701.0,3.3
592,701.0,6.5
593,701.0,5.3
594,454.0,26.7
595,60.0,98.2
596,261.0,57.5
597,701.0,3.4
598,528.0,21.2
599,578.0,17.7
600,701.0,1.9
601,701.0,1.8
602,258.0,58.8
603,293.0,50.1
604,172.0,77.9
605,701.0,8.5
606,701.0,1.1
607,701.0,3.0
608,466.0,25.6
609,701.0,7.8
610,315.0,46.2
611,141.0,85.2
612,701.0,5.2
613,48.0,99.3
614,701.0,2.3
615,182.0,75.9
616,701.0,5.8
617,235.0,63.9
618,226.0,66.2
619,700.0,10.8
620,509.0,22.4
621,357.0,38.6
622,701.0,6.4
623,690.0,11.1
624,244.0,60.8
625,130.0,87.9
626,325.0,44.6
627,145.0,84.4
628,70.0,97.4
629,701.0,2.2
630,406.0,31.5
631,701.0,6.2
632,359.0,38.3
633,429.0,29.1
634,136.0,86.8
635,701.0,10.7
636,650.0,13.5
637,,
638,74.0,96.8
639,374.0,36.2
640,251.0,59.3
641,55.0,98.8
642,525.0,21.3
643,701.0,5.8
644,572.0,18.2
645,701.0,5.8
646,701.0,1.7
647,292.0,50.2
648,639.0,14.0
649,347.0,39.3
650,162.0,79.9
651,701.0,2.8
652,366.0,37.5
653,383.0,34.6
654,701.0,1.8
655,125.0,88.7
656,701.0,3.5
657,56.0,98.5
658,701.0,7.7
659,600.0,16.0
660,701.0,2.8
661,687.0,11.2
662,6.0,100.0
663,345.0,39.7
664,18.0,100.0
665,618.0,15.1
666,701.0,2.0
667,45.0,99.4
668,175.0,76.7
669,468.0,25.6
670,456.0,26.5
671,333.0,43.2
672,701.0,3.0
673,701.0,1.4
674,61.0,98.1
675,701.0,3.8
676,424.0,29.6
677,701.0,4.9
678,311.0,46.8
679,701.0,1.6
680,368.0,37.1
681,633.0,14.4
682,677.0,12.1
683,590.0,16.5
684,40.0,99.6
685,701.0,4.0
686,701.0,3.8
687,701.0,1.6
688,701.0,9.9
689,483.0,24.3
690,256.0,58.9
691,457.0,26.4
692,567.0,18.5
693,568.0,18.3
694,663.0,12.9
695,701.0,1.4
696,701.0,7.2
