university_id,sustainability rank,sustainability score
1,52.0,95.1
2,26.0,97.8
3,239.0,62.5
4,428.0,31.3
5,163.0,77.7
6,305.0,50.6
7,701.0,5.9
8,6.0,99.7
9,701.0,3.1
10,701.0,2.1
11,539.0,20.7
12,701.0,1.7
13,339.0,44.1
14,552.0,19.0
15,701.0,1.0
16,701.0,6.1
17,701.0,1.1
18,232.0,63.1
19,701.0,5.1
20,471.0,27.6
21,169.0,76.3
22,701.0,1.0
23,701.0,4.4
24,701.0,1.9
25,210.0,69.3
26,701.0,6.3
27,24.0,98.0
28,56.0,94.9
29,701.0,1.0
30,50.0,95.5
31,701.0,1.1
32,701.0,5.9
33,403.0,34.6
34,701.0,1.0
35,608.0,15.2
36,270.0,56.1
37,701.0,1.0
38,701.0,3.0
39,701.0,3.4
40,444.0,30.5
41,701.0,3.5
42,701.0,1.7
43,701.0,2.5
44,295.0,51.8
45,701.0,1.2
46,189.0,72.5
47,701.0,5.6
48,701.0,1.1
49,449.0,29.9
50,16.0,98.9
51,579.0,17.1
52,136.0,82.1
53,68.0,93.4
54,362.0,40.2
55,701.0,1.0
56,533.0,21.2
57,636.0,12.7
58,83.0,91.4
59,228.0,64.5
60,564.0,18.2
61,701.0,1.1
62,478.0,27.3
63,647.0,11.7
64,294.0,52.1
65,305.0,50.6
66,701.0,1.0
67,490.0,24.8
68,701.0,4.0
69,701.0,6.4
70,,
71,701.0,2.1
72,82.0,91.5
73,701.0,1.6
74,252.0,59.2
75,701.0,1.2
76,189.0,72.5
77,87.0,91.0
78,701.0,1.1
79,701.0,3.8
80,312.0,49.4
81,701.0,4.9
82,701.0,1.5
83,409.0,34.3
84,701.0,3.4
85,549.0,19.2
86,497.0,24.4
87,133.0,82.7
88,545.0,19.9
89,524.0,21.8
90,339.0,44.1
91,701.0,2.6
92,196.0,71.5
93,701.0,7.5
94,701.0,2.5
95,180.0,74.1
96,701.0,1.3
97,701.0,2.4
98,187.0,73.1
99,701.0,1.3
100,432.0,31.0
101,701.0,1.0
102,701.0,1.7
103,274.0,55.5
104,701.0,3.8
105,5.0,99.7
106,259.0,57.7
107,701.0,1.1
108,520.0,22.7
109,701.0,1.8
110,420.0,32.7
111,701.0,6.8
112,701.0,1.3
113,701.0,3.5
114,701.0,1.1
115,194.0,71.8
116,701.0,4.7
117,701.0,7.0
118,701.0,1.0
119,665.0,10.3
120,413.0,33.5
121,701.0,3.4
122,701.0,1.2
123,252.0,59.2
124,239.0,62.5
125,701.0,1.1
126,75.0,92.3
127,15.0,98.9
128,701.0,1.9
129,268.0,56.5
130,701.0,3.1
131,356.0,41.7
132,428.0,31.3
133,89.0,90.6
134,652.0,11.6
135,545.0,19.9
136,701.0,1.0
137,214.0,67.7
138,382.0,37.5
139,581.0,16.9
140,701.0,1.9
141,701.0,1.2
142,49.0,95.6
143,701.0,1.4
144,367.0,39.0
145,336.0,44.4
146,358.0,41.1
147,97.0,88.8
148,701.0,6.4
149,701.0,2.5
150,77.0,92.1
151,701.0,5.8
152,113.0,85.9
153,701.0,1.6
154,217.0,66.8
155,152.0,79.8
156,514.0,23.0
157,125.0,83.9
158,701.0,1.1
159,481.0,26.6
160,701.0,1.8
161,146.0,80.4
162,701.0,1.2
163,514.0,23.0
164,158.0,78.4
165,701.0,3.3
166,531.0,21.4
167,701.0,3.0
168,701.0,1.1
169,275.0,55.2
170,701.0,2.6
171,701.0,1.3
172,701.0,1.2
173,701.0,1.0
174,701.0,2.6
175,425.0,31.6
176,467.0,28.1
177,73.0,92.8
178,701.0,1.0
179,603.0,15.4
180,701.0,1.1
181,432.0,31.0
