university_id,academic reputation rank,academic reputation score
1,22.0,98.5
2,,
3,,
4,,
5,133.0,55.1
6,,
7,,
8,14.0,99.4
9,,
10,,
11,480.0,17.6
12,,
13,501.0,12.7
14,501.0,13.6
15,497.0,16.6
16,,
17,281.0,29.8
18,371.0,22.6
19,139.0,54.1
20,,
21,40.0,91.1
22,,
23,,
24,,
25,,
26,,
27,467.0,18.0
28,447.0,18.7
29,,
30,,
31,273.0,30.9
32,292.0,28.7
33,178.0,43.9
34,3.0,100.0
35,135.0,54.6
36,321.0,25.8
37,487.0,17.1
38,140.0,54.0
39,179.0,43.7
40,,
41,377.0,22.2
42,483.0,17.3
43,39.0,91.8
44,,
45,,
46,,
47,,
48,148.0,51.9
49,,
50,53.0,86.8
51,17.0,99.1
52,147.0,52.0
53,310.0,27.0
54,,
55,,
56,,
57,194.0,42.0
58,313.0,26.4
59,16.0,99.2
60,,
61,,
62,,
63,,
64,74.0,75.5
65,444.0,18.9
66,,
67,500.0,16.5
68,,
69,164.0,48.4
70,10.0,99.9
71,,
72,125.0,58.7
73,,
74,,
75,,
76,122.0,59.7
77,,
78,117.0,60.2
79,,
80,249.0,33.9
81,,
82,,
83,,
84,365.0,22.8
85,105.0,64.3
86,350.0,24.3
87,,
88,138.0,54.5
89,,
90,406.0,20.2
91,200.0,41.2
92,387.0,21.4
93,496.0,16.7
94,352.0,24.2
95,389.0,21.3
96,247.0,34.1
97,,
98,,
99,,
100,472.0,17.8
101,21.0,98.5
102,,
103,,
104,,
105,,
106,,
107,,
108,49.0,88.3
109,492.0,17.0
110,,
111,455.0,18.5
112,,
113,,
114,,
115,294.0,28.6
116,,
117,228.0,36.6
118,,
119,112.0,61.4
120,301.0,28.0
121,167.0,46.5
122,283.0,29.3
123,,
124,,
125,,
126,464.0,18.1
127,,
128,405.0,20.3
129,,
130,336.0,24.9
131,24.0,98.1
132,95.0,68.1
133,299.0,28.3
134,,
135,269.0,31.3
136,451.0,18.6
137,,
138,,
139,113.0,61.1
140,,
141,289.0,28.9
142,,
143,,
144,130.0,56.0
145,,
146,,
147,,
148,,
149,,
150,260.0,32.4
151,501.0,11.7
152,57.0,85.2
153,,
154,,
155,,
156,123.0,59.7
157,184.0,43.4
158,,
159,,
160,111.0,61.5
161,186.0,43.2
162,,
163,,
164,,
165,474.0,17.8
166,,
167,427.0,19.6
168,345.0,24.5
169,,
170,13.0,99.4
171,363.0,23.3
172,,
173,501.0,13.2
174,384.0,21.6
175,2.0,100.0
176,,
177,,
178,28.0,97.1
179,109.0,62.0
180,,
181,101.0,66.3
182,501.0,6.4
183,,
184,361.0,23.4
185,,
186,,
187,,
188,,
189,,
190,248.0,34.0
191,,
192,,
193,413.0,20.0
194,33.0,95.3
195,34.0,94.0
196,,
197,,
198,237.0,34.9
199,287.0,29.0
200,420.0,19.9
201,,
202,15.0,99.3
203,382.0,21.7
204,501.0,9.6
205,,
206,,
207,342.0,24.7
208,262.0,32.0
209,,
210,,
211,335.0,24.9
212,328.0,25.3
213,379.0,21.9
214,229.0,36.5
215,,
216,6.0,100.0
217,,
218,,
219,,
220,357.0,23.7
221,,
222,501.0,5.0
223,96.0,67.1
224,206.0,40.0
225,,
226,,
227,,
228,459.0,18.3
229,366.0,22.7
230,,
231,,
232,190.0,42.8
233,,
234,501.0,16.0
235,501.0,11.2
236,,
237,203.0,40.9
238,327.0,25.3
239,23.0,98.2
240,,
241,311.0,26.9
242,,
243,,
244,205.0,40.6
245,348.0,24.4
246,199.0,41.3
247,,
248,,
249,31.0,95.8
250,,
251,239.0,34.7
252,,
253,87.0,70.0
254,501.0,5.0
255,409.0,20.1
