university_id,international students rank,international students score
1,192.0,70.0
2,122.0,87.8
3,46.0,99.0
4,562.0,18.7
5,237.0,59.7
6,,
7,462.0,26.3
8,150.0,82.6
9,445.0,27.7
10,,
11,,
12,,
13,601.0,3.6
14,441.0,28.4
15,,
16,,
17,281.0,51.0
18,545.0,19.5
19,179.0,74.4
20,468.0,25.9
21,41.0,99.2
22,488.0,24.2
23,477.0,25.3
24,,
25,,
26,497.0,23.5
27,528.0,20.7
28,40.0,99.2
29,,
30,164.0,79.4
31,185.0,72.2
32,47.0,99.0
33,548.0,19.4
34,55.0,98.3
35,589.0,17.0
36,347.0,41.1
37,,
38,599.0,16.2
39,155.0,81.2
40,,
41,,
42,,
43,363.0,38.7
44,370.0,37.6
45,,
46,,
47,,
48,601.0,7.4
49,,
50,601.0,9.7
51,24.0,100.0
52,331.0,43.9
53,601.0,3.6
54,,
55,587.0,17.1
56,,
57,420.0,30.7
58,181.0,73.7
59,394.0,34.3
60,,
61,,
62,,
63,566.0,18.5
64,157.0,80.6
65,,
66,253.0,57.1
67,601.0,8.1
68,,
69,264.0,54.3
70,209.0,65.6
71,557.0,18.8
72,534.0,20.4
73,439.0,28.6
74,,
75,,
76,601.0,9.5
77,,
78,361.0,39.3
79,487.0,24.5
80,601.0,1.1
81,,
82,,
83,,
84,201.0,68.5
85,601.0,15.0
86,,
87,,
88,455.0,26.7
89,,
90,,
91,470.0,25.6
92,177.0,74.6
93,,
94,375.0,36.7
95,21.0,100.0
96,601.0,1.4
97,,
98,257.0,56.3
99,,
100,563.0,18.7
101,14.0,100.0
102,,
103,,
104,582.0,17.5
105,,
106,433.0,29.2
107,,
108,187.0,71.8
109,601.0,5.5
110,403.0,32.5
111,,
112,,
113,4.0,100.0
114,,
115,314.0,46.4
116,,
117,601.0,1.7
118,,
119,75.0,96.0
120,83.0,95.1
121,413.0,31.9
122,61.0,97.6
123,,
124,,
125,,
126,,
127,,
128,369.0,37.7
129,,
130,,
131,52.0,98.9
132,601.0,10.5
133,233.0,60.3
134,,
135,167.0,78.6
136,269.0,53.8
137,99.0,92.4
138,,
139,33.0,99.6
140,,
141,148.0,82.7
142,,
143,,
144,289.0,49.9
145,299.0,48.3
146,182.0,73.6
147,,
148,,
149,305.0,47.8
150,288.0,50.2
151,601.0,7.1
152,112.0,88.9
153,567.0,18.4
154,,
155,,
156,236.0,59.8
157,386.0,35.4
158,283.0,50.8
159,,
160,49.0,99.0
161,343.0,41.8
162,,
163,,
164,,
165,485.0,24.7
166,,
167,601.0,4.9
168,601.0,6.0
169,,
170,18.0,100.0
171,,
172,,
173,601.0,8.9
174,,
175,63.0,97.4
176,,
177,330.0,44.0
178,166.0,78.8
179,120.0,88.0
180,,
181,387.0,35.3
182,219.0,63.7
183,206.0,65.8
184,474.0,25.5
185,134.0,86.0
186,322.0,45.2
187,,
188,,
189,,
190,241.0,59.0
191,,
192,,
193,333.0,43.4
194,53.0,98.8
195,598.0,16.2
196,,
197,594.0,16.9
198,601.0,11.3
199,601.0,1.2
200,601.0,14.8
201,,
202,90.0,94.1
203,95.0,93.4
204,274.0,52.4
205,,
206,,
207,,
208,368.0,37.8
209,593.0,16.9
210,,
211,278.0,51.5
212,601.0,10.0
213,601.0,12.0
214,438.0,28.8
215,432.0,29.3
216,358.0,39.7
217,581.0,17.6
218,297.0,48.7
219,,
220,,
221,530.0,20.5
222,601.0,4.7
223,601.0,2.6
224,162.0,79.8
225,,
226,584.0,17.3
227,,
228,218.0,63.9
229,,
230,,
231,484.0,24.9
232,352.0,40.8
233,,
234,601.0,5.5
235,74.0,96.2
236,,
237,601.0,3.4
238,465.0,26.0
239,427.0,29.7
240,,
241,415.0,31.5
242,,
243,,
244,79.0,95.4
245,601.0,9.7
246,601.0,15.6
247,,
248,,
249,97.0,93.0
250,517.0,21.5
251,,
252,,
253,197.0,69.0
254,601.0,2.4
255,82.0,95.1
256,395.0,34.1
257,329.0,44.1
258,601.0,1.9
259,,
260,,
261,601.0,5.9
262,,
263,,
264,552.0,19.0
265,,
266,248.0,58.0
267,77.0,95.6
268,564.0,18.6
269,152.0,81.8
270,,
271,,
272,292.0,49.2
273,601.0,2.1
274,323.0,45.0
275,595.0,16.7
276,,
277,535.0,20.3
278,342.0,41.8
279,,
280,173.0,75.7
281,,
282,114.0,88.7
283,279.0,51.4
284,466.0,26.0
285,26.0,99.9
286,506.0,23.0
287,601.0,11.0
288,,
289,,
290,486.0,24.5
291,601.0,2.5
292,,
293,601.0,1.9
294,,
295,401.0,32.6
296,524.0,21.1
297,,
298,580.0,17.7
299,244.0,58.8
300,176.0,74.7
301,601.0,5.0
302,,
303,,
304,191.0,70.3
305,73.0,96.3
306,355.0,40.3
307,190.0,70.6
308,426.0,29.8
309,101.0,91.9
310,,
311,507.0,22.9
312,332.0,43.4
313,601.0,12.3
314,,
315,229.0,60.8
316,411.0,32.1
317,186.0,72.0
318,,
319,,
320,586.0,17.1
321,,
322,,
323,,
324,,
325,601.0,10.5
326,544.0,19.6
327,,
328,,
329,,
330,,
331,,
332,440.0,28.4
333,118.0,88.2
334,48.0,99.0
335,398.0,33.4
336,308.0,47.2
337,354.0,40.3
338,,
339,247.0,58.4
340,,
341,,
342,,
343,443.0,28.0
344,346.0,41.3
345,576.0,18.0
346,374.0,36.8
347,,
348,316.0,46.3
349,151.0,82.3
350,,
351,601.0,11.8
352,128.0,86.5
353,304.0,47.9
354,,
355,,
356,,
357,,
358,183.0,73.0
359,306.0,47.7
360,,
361,254.0,57.1
362,89.0,94.3
363,451.0,27.4
364,601.0,9.2
365,,
366,135.0,86.0
367,472.0,25.5
368,235.0,60.1
369,,
370,,
371,321.0,45.3
372,,
373,315.0,46.3
374,,
375,,
376,,
377,200.0,68.5
378,522.0,21.1
379,597.0,16.3
380,,
381,,
382,391.0,35.0
383,220.0,63.6
384,205.0,65.9
385,515.0,22.1
386,601.0,4.8
387,,
388,539.0,20.0
389,,
390,212.0,65.3
391,601.0,14.3
392,,
393,106.0,90.4
394,141.0,84.7
395,362.0,39.1
396,601.0,5.2
397,,
398,,
399,261.0,55.7
400,56.0,98.1
401,,
402,435.0,29.0
403,559.0,18.7
404,376.0,36.7
405,,
406,,
407,,
408,601.0,2.5
409,119.0,88.2
410,,
411,,
412,72.0,96.3
413,601.0,6.1
414,239.0,59.1
415,,
416,,
417,458.0,26.4
418,91.0,94.0
419,,
420,,
421,,
422,463.0,26.2
423,,
424,,
425,20.0,100.0
426,550.0,19.1
427,579.0,17.7
428,,
429,399.0,33.0
430,590.0,17.0
431,,
432,,
433,180.0,74.2
434,601.0,6.8
435,,
436,601.0,10.2
437,309.0,47.2
438,280.0,51.3
439,242.0,59.0
440,,
441,601.0,1.6
442,560.0,18.7
443,601.0,10.8
444,214.0,64.8
445,,
446,,
447,,
448,324.0,44.9
449,163.0,79.4
450,,
451,,
452,489.0,24.1
453,,
454,303.0,48.1
455,482.0,24.9
456,102.0,91.7
457,129.0,86.5
458,,
459,601.0,14.2
460,601.0,3.1
461,382.0,35.8
462,412.0,32.1
463,,
