university_id,citations per faculty rank,citations per faculty score
1,21,98.9
2,601,15.8
3,601,4.9
4,601,7.7
5,384,36.1
6,601,5.8
7,394,34.7
8,49,90.6
9,601,4.8
10,601,15.9
11,601,11.2
12,601,1.2
13,601,1.1
14,601,9.2
15,601,3.7
16,601,2.0
17,27,97.4
18,453,29.1
19,430,30.7
20,601,3.2
21,44,93.5
22,375,37.0
23,601,3.9
24,601,7.0
25,54,90.1
26,601,11.7
27,601,2.7
28,434,30.4
29,601,4.9
30,528,22.5
31,351,39.2
32,217,58.4
33,322,43.9
34,34,96.0
35,204,60.1
36,155,66.7
37,422,31.2
38,410,32.5
39,291,48.2
40,601,13.2
41,267,51.6
42,293,47.7
43,213,58.7
44,601,1.3
45,601,2.1
46,601,11.5
47,601,11.7
48,282,49.9
49,601,1.1
50,22,98.8
51,58,89.7
52,158,66.5
53,274,51.0
54,601,2.2
55,601,2.2
56,601,4.1
57,601,1.3
58,420,31.7
59,59,89.5
60,601,1.2
61,601,7.8
62,601,4.9
63,601,1.7
64,276,50.7
65,601,1.0
66,330,42.1
67,200,60.6
68,601,11.3
69,370,37.5
70,2,100.0
71,601,9.0
72,371,37.4
73,326,43.2
74,601,6.6
75,601,1.2
76,32,96.4
77,601,1.2
78,302,46.8
79,601,4.0
80,222,57.1
81,601,1.3
82,535,22.0
83,554,20.3
84,601,15.4
85,244,54.1
86,601,1.2
87,412,32.1
88,196,61.0
89,601,2.7
90,601,1.4
91,138,70.1
92,533,22.2
93,601,8.2
94,450,29.3
95,601,15.4
96,601,1.9
97,590,16.9
98,531,22.3
99,236,55.2
100,362,38.1
101,64,88.1
102,601,10.6
103,601,4.4
104,601,16.3
105,601,1.3
106,601,2.5
107,601,10.8
108,601,1.9
109,497,24.9
110,601,1.4
111,580,17.6
112,601,3.5
113,601,2.2
114,472,27.3
115,536,21.8
116,601,1.7
117,601,1.7
118,516,23.4
119,317,44.5
120,104,78.7
121,440,30.1
122,511,23.7
123,601,2.5
124,601,1.2
125,601,4.2
126,601,1.6
127,601,11.0
128,601,10.3
129,341,40.8
130,601,4.6
131,186,62.1
132,247,53.9
133,111,76.1
134,463,27.8
135,118,75.0
136,601,3.1
137,601,6.7
138,601,2.9
139,40,94.9
140,601,12.4
141,223,57.1
142,601,15.8
143,601,3.5
144,601,16.0
145,599,16.5
146,474,27.2
147,601,1.9
148,601,6.2
149,601,16.1
150,84,84.6
151,4,100.0
152,24,98.2
153,601,1.0
154,601,6.4
155,601,6.8
156,251,53.3
157,63,88.4
158,429,30.7
159,601,3.0
160,31,96.5
161,210,59.0
162,601,4.6
163,601,1.4
164,601,1.1
165,170,64.6
166,601,2.3
167,601,3.8
168,571,18.3
169,601,2.0
170,108,78.0
171,506,24.1
172,601,7.8
173,601,9.1
174,601,2.8
175,48,92.1
176,601,2.3
177,187,61.8
178,300,46.8
179,179,63.7
180,601,4.4
181,249,53.4
182,601,13.9
183,601,14.9
184,601,5.8
185,299,46.9
186,508,24.0
187,601,7.1
188,601,1.5
189,601,3.4
190,194,61.1
191,601,3.3
192,601,1.3
193,160,66.2
194,218,58.1
195,30,96.6
196,423,31.2
197,601,1.6
198,601,6.1
199,93,81.6
200,61,89.1
201,343,40.4
202,212,58.8
203,601,5.9
204,143,69.7
205,601,1.2
206,601,3.8
207,601,5.9
208,601,15.0
209,601,2.6
210,601,1.1
211,159,66.4
212,265,51.7
213,452,29.1
214,225,56.2
215,304,46.5
216,13,99.9
217,437,30.2
218,354,39.0
219,601,1.8
220,601,8.2
221,157,66.6
222,601,12.2
223,601,6.2
224,250,53.4
225,601,1.3
226,601,5.2
227,601,1.3
228,601,7.6
229,601,3.0
230,601,3.3
231,333,41.7
232,471,27.4
233,601,2.6
234,601,1.8
235,134,70.8
236,601,12.4
237,601,1.8
238,601,15.2
239,33,96.0
240,601,13.8
241,418,31.7
242,449,29.3
243,601,1.5
244,89,82.6
245,601,11.7
246,530,22.4
247,601,8.2
248,601,9.0
249,464,27.7
250,345,40.3
251,500,24.8
252,365,37.8
253,237,55.2
254,19,99.3
255,303,46.7
256,562,19.5
257,404,33.5
258,601,2.2
259,573,18.1
260,601,3.1
261,81,85.4
262,601,1.3
263,601,3.4
264,601,2.4
265,601,5.6
266,312,45.4
267,245,54.0
268,601,10.2
269,598,16.5
270,601,9.9
271,601,12.7
272,156,66.7
273,601,15.5
274,601,13.8
275,476,27.0
276,378,36.6
277,601,1.8
278,601,1.3
279,254,52.9
280,184,62.9
281,534,22.1
282,96,80.6
283,109,77.6
284,601,16.3
285,246,53.9
286,492,25.2
287,150,68.8
288,601,4.0
289,255,52.8
290,601,1.9
291,601,6.4
292,601,3.8
293,601,10.2
294,601,5.5
295,372,37.3
296,435,30.4
297,601,4.0
298,263,51.8
299,601,12.8
300,558,19.8
301,601,9.1
302,601,2.4
303,601,2.7
304,199,60.8
305,165,65.5
306,171,64.2
307,601,4.7
308,417,31.8
309,6,100.0
310,427,30.9
311,185,62.3
312,395,34.6
313,601,1.1
314,601,1.0
315,117,75.0
