university_id,international faculty rank,international faculty score
1,211.0,75.6
2,332.0,38.5
3,306.0,44.5
4,601.0,3.0
5,176.0,88.3
6,601.0,2.3
7,301.0,45.5
8,223.0,71.9
9,601.0,1.1
10,601.0,2.1
11,601.0,1.6
12,601.0,3.3
13,488.0,11.9
14,601.0,4.8
15,601.0,1.2
16,601.0,2.8
17,90.0,99.4
18,601.0,4.9
19,393.0,23.6
20,181.0,86.7
21,44.0,100.0
22,601.0,1.7
23,421.0,18.3
24,601.0,1.1
25,601.0,2.5
26,470.0,13.8
27,529.0,9.2
28,64.0,100.0
29,398.0,22.7
30,375.0,27.8
31,193.0,83.1
32,139.0,94.9
33,601.0,2.6
34,83.0,99.5
35,189.0,83.9
36,361.0,30.5
37,385.0,25.3
38,544.0,8.1
39,156.0,92.2
40,601.0,3.1
41,601.0,2.2
42,601.0,1.6
43,571.0,7.0
44,19.0,100.0
45,298.0,45.7
46,601.0,2.9
47,512.0,10.2
48,601.0,2.9
49,601.0,1.1
50,539.0,8.5
51,121.0,97.1
52,292.0,48.9
53,252.0,61.7
54,601.0,1.6
55,601.0,2.8
56,10.0,100.0
57,477.0,13.4
58,151.0,93.3
59,299.0,45.6
60,601.0,4.4
61,,
62,601.0,1.3
63,460.0,14.8
64,163.0,91.3
65,,
66,601.0,4.6
67,327.0,40.1
68,601.0,1.2
69,78.0,99.8
70,374.0,28.1
71,432.0,17.3
72,601.0,5.1
73,371.0,28.4
74,593.0,6.0
75,601.0,1.3
76,278.0,52.0
77,601.0,1.4
78,561.0,7.2
79,601.0,1.3
80,601.0,1.2
81,,
82,601.0,1.0
83,436.0,16.7
84,455.0,15.2
85,601.0,2.3
86,601.0,2.9
87,601.0,1.8
88,187.0,85.0
89,601.0,1.1
90,601.0,1.1
91,333.0,37.6
92,390.0,24.2
93,601.0,1.3
94,439.0,16.5
95,48.0,100.0
96,601.0,1.1
97,601.0,2.8
98,601.0,1.9
99,601.0,1.5
100,559.0,7.3
101,47.0,100.0
102,601.0,1.9
103,601.0,3.7
104,601.0,2.8
105,558.0,7.4
106,601.0,1.1
107,601.0,1.9
108,275.0,52.8
109,320.0,41.7
110,521.0,9.6
111,601.0,3.2
112,601.0,1.3
113,4.0,100.0
114,601.0,1.6
115,135.0,95.4
116,601.0,1.0
117,601.0,1.6
118,601.0,1.8
119,191.0,83.7
120,124.0,97.0
121,533.0,8.9
122,99.0,99.1
123,601.0,2.7
124,601.0,1.8
125,601.0,1.2
126,601.0,2.3
127,601.0,1.2
128,443.0,16.0
129,353.0,32.9
130,601.0,1.6
131,26.0,100.0
132,490.0,11.8
133,49.0,100.0
134,601.0,1.4
135,62.0,100.0
136,596.0,5.9
137,238.0,66.9
138,601.0,3.6
139,31.0,100.0
140,601.0,2.1
141,110.0,98.7
142,601.0,2.4
143,,
144,445.0,16.0
145,346.0,34.6
146,237.0,67.0
147,458.0,14.9
148,601.0,4.8
149,399.0,22.4
150,38.0,100.0
151,599.0,5.7
152,21.0,100.0
153,465.0,14.4
154,519.0,9.6
155,601.0,1.3
156,51.0,100.0
157,130.0,96.0
158,397.0,22.8
159,601.0,2.6
160,16.0,100.0
161,116.0,98.3
162,601.0,5.5
163,502.0,10.8
164,,
165,448.0,15.6
166,601.0,1.0
167,601.0,3.6
168,336.0,37.1
169,601.0,1.2
170,85.0,99.5
171,601.0,4.2
172,,
173,246.0,63.3
174,601.0,2.9
175,57.0,100.0
176,601.0,1.3
177,,
178,173.0,89.1
179,466.0,14.4
180,601.0,1.0
181,183.0,86.3
182,575.0,6.9
183,33.0,100.0
184,601.0,2.0
185,367.0,29.0
186,232.0,69.7
187,601.0,1.4
188,601.0,1.0
189,,
190,195.0,81.9
191,601.0,1.4
192,601.0,1.8
193,214.0,73.9
194,146.0,94.0
195,601.0,2.1
196,,
197,601.0,1.1
198,601.0,1.7
199,601.0,1.3
200,277.0,52.6
201,601.0,2.3
202,113.0,98.6
203,522.0,9.5
204,601.0,1.8
205,601.0,1.0
206,601.0,1.7
207,601.0,1.2
208,419.0,18.6
209,2.0,100.0
210,601.0,1.3
211,384.0,25.5
212,534.0,8.9
213,573.0,7.0
214,244.0,63.6
215,365.0,29.7
216,136.0,95.4
217,376.0,27.6
218,67.0,100.0
219,601.0,1.3
220,601.0,2.5
221,403.0,21.8
222,601.0,1.2
223,601.0,2.6
224,342.0,35.7
225,543.0,8.3
226,471.0,13.8
227,601.0,2.8
228,46.0,100.0
229,601.0,1.2
230,415.0,19.7
231,601.0,2.5
232,405.0,21.4
233,601.0,2.1
234,601.0,1.2
235,18.0,100.0
236,601.0,1.3
237,212.0,74.7
238,430.0,17.5
239,452.0,15.3
240,601.0,1.7
241,469.0,14.1
242,,
243,601.0,1.9
244,140.0,94.6
245,601.0,2.5
246,531.0,9.0
247,601.0,1.3
248,601.0,1.3
249,461.0,14.6
250,601.0,4.6
251,601.0,1.1
252,601.0,1.3
253,155.0,92.4
254,579.0,6.7
255,233.0,68.2
256,386.0,25.2
257,408.0,20.8
258,601.0,1.9
259,601.0,3.4
260,601.0,1.6
261,601.0,2.7
262,601.0,2.0
263,,
264,601.0,1.3
265,601.0,3.3
266,,
267,98.0,99.1
268,601.0,1.2
269,451.0,15.3
270,523.0,9.5
271,597.0,5.9
272,601.0,2.6
273,601.0,1.9
274,227.0,70.7
275,601.0,2.7
276,484.0,12.9
277,601.0,5.4
278,312.0,43.5
279,601.0,1.9
280,282.0,51.3
281,601.0,2.0
282,118.0,97.8
283,270.0,55.8
284,310.0,43.8
285,94.0,99.2
286,563.0,7.2
287,556.0,7.7
288,601.0,1.2
289,601.0,1.2
290,601.0,1.3
291,501.0,11.0
292,601.0,1.1
293,601.0,3.1
294,601.0,2.7
295,179.0,87.3
296,601.0,3.4
297,601.0,1.0
298,323.0,40.9
299,165.0,90.6
300,225.0,71.4
301,601.0,1.3
302,601.0,4.9
303,601.0,4.1
304,400.0,21.9
305,157.0,92.2
306,74.0,99.8
307,588.0,6.3
308,266.0,56.7
309,45.0,100.0
310,,
311,377.0,27.5
312,250.0,62.7
313,601.0,1.2
314,601.0,1.2
315,255.0,59.1
316,601.0,3.9
317,359.0,31.7
318,601.0,1.6
319,601.0,1.1
320,586.0,6.4
321,601.0,1.8
322,601.0,2.0
323,601.0,2.1
324,601.0,5.5
325,601.0,2.7
326,582.0,6.6
327,601.0,2.3
328,498.0,11.2
329,601.0,1.9
330,80.0,99.7
331,601.0,4.3
332,230.0,70.4
333,257.0,58.7
334,76.0,99.8
335,345.0,34.7
336,601.0,5.6
337,601.0,1.7
338,601.0,2.3
339,207.0,77.2
340,601.0,1.4
341,601.0,2.3
342,,
343,473.0,13.7
344,245.0,63.4
345,516.0,10.0
346,601.0,2.0
347,601.0,1.8
348,150.0,93.3
349,304.0,44.7
350,504.0,10.5
351,329.0,39.5
352,352.0,32.9
353,601.0,4.2
354,601.0,1.0
355,601.0,2.0
356,499.0,11.1
357,,
358,153.0,92.9
359,422.0,18.1
360,,
361,463.0,14.5
362,34.0,100.0
363,528.0,9.3
364,289.0,49.4
365,601.0,2.9
366,229.0,70.5
367,220.0,72.7
368,601.0,4.4
369,601.0,1.4
370,475.0,13.6
371,363.0,30.0
372,601.0,2.4
373,258.0,58.4
374,541.0,8.3
375,601.0,1.0
376,601.0,1.3
377,517.0,9.9
378,11.0,100.0
379,601.0,2.0
380,601.0,3.4
381,295.0,46.1
382,546.0,8.1
383,73.0,99.8
384,271.0,55.4
385,601.0,5.0
386,600.0,5.7
387,442.0,16.1
388,601.0,5.3
389,601.0,2.2
390,152.0,92.9
391,601.0,2.4
392,217.0,73.5
393,109.0,98.7
394,265.0,56.9
395,206.0,77.4
396,601.0,3.4
397,601.0,1.1
398,601.0,1.5
399,235.0,68.0
400,234.0,68.1
401,601.0,1.1
