university_id,employer reputation rank,employer reputation score
1,50,91.4
2,501,3.7
3,501,3.3
4,446,20.6
5,197,47.2
6,501,6.1
7,501,3.4
8,46,92.2
9,501,1.3
10,501,12.1
11,180,49.1
12,501,4.7
13,467,19.8
14,278,35.3
15,284,34.3
16,437,21.2
17,129,60.5
18,451,20.4
19,115,64.9
20,501,12.3
21,53,91.1
22,501,8.6
23,501,1.7
24,501,7.9
25,501,2.0
26,501,7.2
27,63,84.3
28,501,8.0
29,501,4.1
30,501,6.4
31,111,65.9
32,269,36.0
33,501,16.3
34,3,100.0
35,291,33.5
36,501,15.7
37,490,18.5
38,127,60.7
39,65,83.8
40,501,10.3
41,501,5.6
42,501,3.7
43,44,92.6
44,453,20.3
45,322,30.3
46,501,17.1
47,501,9.0
48,501,15.0
49,501,1.9
50,60,85.8
51,34,94.9
52,487,18.6
53,393,24.3
54,501,5.3
55,501,3.4
56,501,13.9
57,79,76.9
58,224,41.8
59,28,96.5
60,331,29.3
61,501,1.7
62,501,7.2
63,394,24.3
64,64,84.1
65,176,49.7
66,501,2.1
67,417,22.6
68,405,23.6
69,324,30.1
70,14,98.9
71,501,11.5
72,153,54.3
73,501,12.9
74,501,3.2
75,501,2.5
76,501,17.7
77,501,3.7
78,90,72.7
79,501,2.8
80,501,14.8
81,501,2.5
82,501,5.4
83,501,11.0
84,370,25.8
85,341,28.2
86,125,60.9
87,501,5.0
88,501,14.5
89,320,30.5
90,501,11.2
91,501,16.8
92,315,31.3
93,501,5.5
94,303,32.1
95,501,10.2
96,193,47.6
97,426,22.2
98,501,15.9
99,501,1.6
100,501,7.0
101,10,99.7
102,501,6.5
103,302,32.1
104,501,7.1
105,501,16.3
106,501,4.0
107,501,2.5
108,37,94.0
109,501,15.2
110,501,2.1
111,501,6.1
112,501,5.6
113,484,18.8
114,501,10.2
115,246,38.1
116,501,11.5
117,118,63.2
118,501,3.9
119,155,53.5
120,501,6.8
121,73,79.1
122,481,19.1
123,501,14.5
124,501,14.5
125,501,4.6
126,485,18.7
127,501,2.0
128,264,36.4
129,314,31.5
130,217,44.1
131,119,62.9
132,210,44.7
133,128,60.7
134,501,6.5
135,411,23.4
136,237,39.2
137,501,3.1
138,501,2.9
139,175,49.9
140,501,6.0
141,318,30.7
142,501,4.8
143,501,3.0
144,108,66.6
145,414,23.1
146,501,3.5
147,493,18.4
148,501,4.1
149,501,5.3
150,227,41.2
151,501,6.6
152,172,50.1
153,501,13.8
154,501,11.8
155,483,18.8
156,238,39.2
157,207,45.8
158,501,2.9
159,501,9.8
160,328,29.4
161,234,40.0
162,501,2.8
163,396,24.2
164,501,10.3
165,231,40.3
166,501,5.6
167,348,27.5
168,501,8.5
169,441,21.0
170,16,98.6
171,157,52.7
172,381,25.2
173,501,3.9
174,501,17.8
175,2,100.0
176,501,16.9
177,501,6.3
178,30,95.4
179,139,57.2
180,501,9.9
181,351,27.4
182,501,7.9
183,501,6.2
184,501,15.3
185,501,6.4
186,501,11.1
187,173,50.1
188,501,9.1
189,501,4.4
190,202,47.0
191,501,4.0
192,501,8.0
193,501,10.6
194,22,97.7
195,62,85.2
196,501,2.5
197,501,6.8
198,150,55.1
199,179,49.3
200,501,5.0
