university_id,faculty student rank,faculty student score
1,245,62.2
2,601,5.2
3,601,5.7
4,429,36.3
5,157,76.2
6,556,27.2
7,600,23.9
8,71,92.9
9,531,28.9
10,187,70.0
11,601,15.0
12,601,17.5
13,143,78.9
14,173,72.4
15,601,11.5
16,309,51.0
17,601,4.6
18,601,23.5
19,321,48.5
20,485,31.8
21,601,16.8
22,601,11.0
23,601,7.8
24,601,4.0
25,601,5.5
26,601,14.4
27,504,30.7
28,601,12.3
29,553,27.4
30,601,7.9
31,601,22.2
32,458,33.5
33,58,96.3
34,8,100.0
35,476,32.4
36,40,99.1
37,601,11.5
38,151,77.8
39,398,39.1
40,242,62.4
41,601,7.1
42,601,10.3
43,461,33.4
44,450,34.4
45,503,30.7
46,601,17.8
47,551,27.5
48,601,5.4
49,601,7.1
50,192,68.9
51,601,17.9
52,426,36.5
53,437,35.4
54,601,22.1
55,332,46.5
56,576,25.6
57,46,98.3
58,601,18.8
59,98,87.3
60,601,4.0
61,438,35.4
62,601,21.9
63,483,31.9
64,268,58.3
65,601,3.3
66,518,29.6
67,510,30.0
68,601,13.7
69,601,10.5
70,172,72.6
71,472,32.6
72,84,90.6
73,601,12.0
74,385,40.8
75,601,17.9
76,478,32.3
77,601,16.0
78,115,83.9
79,292,53.8
80,601,4.8
81,213,66.4
82,225,64.6
83,601,6.3
84,601,11.5
85,403,38.2
86,322,48.3
87,601,6.1
88,117,83.8
89,431,35.9
90,601,5.2
91,601,13.7
92,601,6.1
93,432,35.7
94,182,70.8
95,601,23.8
96,330,46.8
97,555,27.3
98,601,14.6
99,601,21.7
100,598,24.0
101,34,99.5
102,601,22.5
103,601,10.4
104,601,11.9
105,601,10.0
106,362,42.8
107,236,62.8
108,158,76.0
109,356,43.5
110,520,29.5
111,601,2.3
112,601,2.7
113,601,16.3
114,601,1.8
115,424,36.7
116,326,47.7
117,545,27.7
118,601,3.2
119,264,59.4
120,601,16.2
121,119,83.2
122,413,37.4
123,601,12.7
124,498,31.2
125,601,16.6
126,601,22.6
127,601,16.9
