university_id,international Research Network rank,international Research Network score
1,161.0,90.0
2,601.0,6.7
3,601.0,14.0
4,601.0,44.2
5,224.0,86.0
6,250.0,84.4
7,479.0,68.0
8,170.0,89.6
9,601.0,39.0
10,601.0,26.5
11,496.0,66.7
12,601.0,5.4
13,601.0,1.8
14,601.0,33.0
15,601.0,13.2
16,601.0,2.1
17,225.0,86.0
18,601.0,40.0
19,268.0,83.2
20,601.0,8.2
21,17.0,98.2
22,446.0,71.2
23,601.0,12.2
24,601.0,56.6
25,601.0,51.0
26,601.0,27.2
27,601.0,6.4
28,440.0,71.8
29,601.0,26.1
30,595.0,57.9
31,195.0,88.2
32,205.0,87.4
33,152.0,90.3
34,3.0,99.9
35,65.0,95.4
36,201.0,87.7
37,305.0,81.0
38,429.0,72.8
39,39.0,96.9
40,601.0,40.6
41,221.0,86.5
42,266.0,83.3
43,393.0,75.0
44,601.0,4.3
45,601.0,12.2
46,601.0,36.8
47,601.0,57.0
48,191.0,88.4
49,601.0,5.3
50,505.0,65.2
51,30.0,97.6
52,184.0,89.0
53,601.0,54.4
54,601.0,22.1
55,601.0,11.2
56,601.0,41.0
57,601.0,35.3
58,322.0,80.0
59,354.0,77.5
60,601.0,5.3
61,601.0,23.3
62,601.0,53.8
63,601.0,5.8
64,92.0,93.9
65,,
66,601.0,25.3
67,252.0,84.4
68,316.0,80.4
69,463.0,69.7
70,340.0,78.5
71,418.0,73.6
72,499.0,66.5
73,310.0,80.8
74,521.0,63.9
75,601.0,3.3
76,400.0,74.9
77,601.0,1.8
78,582.0,58.8
79,563.0,60.6
80,134.0,91.3
81,601.0,2.8
82,601.0,31.1
83,251.0,84.4
84,241.0,85.0
85,31.0,97.6
86,601.0,14.5
87,601.0,54.2
88,25.0,97.9
89,601.0,29.9
90,601.0,20.1
91,301.0,81.1
92,560.0,60.8
93,127.0,91.7
94,297.0,81.7
95,601.0,17.9
96,601.0,41.1
97,601.0,29.6
98,601.0,48.9
99,601.0,49.2
100,177.0,89.4
101,20.0,98.1
102,277.0,82.6
103,601.0,26.0
104,584.0,58.6
105,601.0,20.2
106,601.0,52.0
107,601.0,39.0
108,533.0,63.0
109,442.0,71.4
110,601.0,3.6
111,601.0,57.2
112,601.0,38.1
113,601.0,5.8
114,601.0,45.0
115,370.0,76.3
116,601.0,15.8
117,601.0,34.5
118,431.0,72.7
119,79.0,94.7
120,227.0,85.9
121,480.0,68.0
122,258.0,84.1
123,601.0,16.3
124,,
125,601.0,14.6
126,601.0,42.1
127,576.0,59.3
128,437.0,72.2
