university_id,employment outcomes rank,employment outcomes score
1,18.0,98.0
2,701.0,8.7
3,609.0,14.0
4,701.0,11.5
5,205.0,36.0
6,689.0,12.6
7,701.0,11.7
8,17.0,98.3
9,670.0,12.8
10,701.0,8.3
11,365.0,23.0
12,701.0,12.4
13,443.0,18.8
14,672.0,12.8
15,210.0,35.6
16,465.0,18.0
17,30.0,93.3
18,189.0,38.4
19,327.0,25.4
20,701.0,8.0
21,25.0,95.5
22,701.0,7.6
23,701.0,8.6
24,701.0,6.4
25,701.0,9.9
26,280.0,28.6
27,190.0,38.4
28,638.0,13.4
29,701.0,4.5
30,384.0,21.6
31,446.0,18.8
32,408.0,20.5
33,232.0,33.1
34,3.0,100.0
35,156.0,45.1
36,358.0,23.6
37,494.0,17.1
38,665.0,12.9
39,349.0,24.1
40,701.0,5.1
41,652.0,13.2
42,679.0,12.7
43,12.0,99.7
44,701.0,8.3
45,577.0,14.5
46,517.0,16.2
47,601.0,14.1
48,345.0,24.2
49,701.0,7.1
50,174.0,41.8
51,31.0,93.3
52,328.0,25.3
53,250.0,30.7
54,675.0,12.7
55,701.0,12.0
56,499.0,17.0
57,701.0,11.5
58,353.0,24.0
59,46.0,82.6
60,701.0,9.9
61,701.0,7.8
62,701.0,6.3
63,701.0,6.6
64,181.0,39.6
65,266.0,29.8
66,561.0,14.9
67,511.0,16.6
68,701.0,8.1
69,149.0,47.0
70,27.0,94.6
71,701.0,9.5
72,509.0,16.6
73,701.0,11.2
74,147.0,47.4
75,701.0,9.1
76,356.0,23.7
77,698.0,12.5
78,304.0,26.8
79,233.0,32.8
80,701.0,7.1
81,701.0,6.7
82,701.0,7.2
83,287.0,28.0
84,575.0,14.6
85,172.0,41.9
86,582.0,14.4
87,701.0,6.9
88,173.0,41.8
89,288.0,28.0
90,701.0,3.9
91,292.0,27.7
92,119.0,53.2
93,701.0,7.0
94,198.0,37.0
95,427.0,19.6
96,213.0,35.3
97,410.0,20.4
98,256.0,30.2
99,701.0,6.5
100,607.0,14.1
101,45.0,83.0
102,701.0,5.5
103,701.0,9.7
104,581.0,14.5
105,540.0,15.5
106,701.0,5.5
107,701.0,8.1
108,311.0,26.2
109,346.0,24.2
110,701.0,7.8
111,701.0,5.8
112,701.0,7.5
113,195.0,37.3
114,701.0,5.7
115,360.0,23.5
116,608.0,14.0
117,214.0,35.2
118,467.0,17.8
119,332.0,24.9
120,251.0,30.6
121,336.0,24.8
122,157.0,44.9
123,701.0,8.4
124,615.0,13.8
125,701.0,3.8
126,368.0,22.5
