university_id,overall rank,overall score
1,13,89.3
2,879,
3,916,
4,852,
5,142,52.1
6,733,
7,513,22.8
8,11,90.3
9,1101,
10,631,
11,405,27.6
12,1293,
13,658,
14,496,23.4
15,683,
16,833,
17,114,57.4
18,632,
19,156,50.5
20,923,
21,19,86.7
22,846,
23,1025,
24,1372,
25,454,25.5
26,773,
27,484,23.9
28,461,25.1
29,1010,
30,649,
31,212,44.2
32,208,44.6
33,223,42.5
34,3,98.9
35,143,52.0
36,167,49.6
37,577,20.6
38,197,46.2
39,110,58.6
40,723,
41,473,24.6
42,535,22.1
43,69,67.9
44,583,20.3
45,622,
46,1006,
47,659,
48,276,37.0
49,1486,
50,56,72.2
51,14,87.9
52,193,46.7
53,395,28.2
54,1382,
55,1085,
56,709,
57,230,41.6
58,277,37.0
59,17,87.0
60,1126,
61,1171,
62,1201,
63,795,
64,55,72.4
65,584,20.3
66,812,
67,315,33.5
68,654,
69,241,40.5
70,18,87.0
71,634,
72,178,48.5
73,564,21.0
74,894,
75,1222,
76,141,52.1
77,1317,
78,147,51.9
79,772,
80,336,32.3
81,1113,
82,714,
83,627,
84,402,27.9
85,196,46.4
86,346,31.5
87,851,
88,117,56.9
89,689,
90,1117,
91,245,39.8
92,354,31.1
93,629,
94,279,36.9
95,514,22.8
96,407,27.6
97,668,
98,787,
99,536,22.0
100,509,23.0
101,6,97.8
102,840,
103,838,
104,955,
105,926,
106,1047,
107,915,
108,95,61.0
109,588,20.2
110,1019,
111,950,
112,1231,
113,604,
114,747,
115,293,35.7
116,963,
117,339,32.2
118,1086,
119,104,59.7
120,218,43.1
121,164,49.7
122,239,40.6
123,1353,
124,1081,
125,1476,
126,834,
127,986,
128,485,23.9
129,490,23.7
130,706,
131,27,84.5
132,133,53.2
133,130,54.0
134,996,
135,122,56.2
136,569,20.8
137,872,
138,1404,
139,72,66.9
140,1154,
141,233,41.3
142,859,
143,1330,
144,137,52.6
145,551,21.4
146,656,
147,988,
148,1152,
149,780,
150,184,47.8
151,330,32.6
152,60,71.1
153,642,
154,806,
155,764,
156,92,61.6
157,109,58.7
158,731,
159,1034,
160,70,67.7
161,191,46.8
162,1102,
163,794,
164,1123,
165,460,25.2
166,1389,
167,477,24.4
168,519,22.7
169,745,
170,9,92.4
171,338,32.2
172,807,
173,580,20.5
174,938,
175,2,99.2
176,1139,
177,653,
178,35,81.5
179,93,61.4
180,1046,
181,105,59.4
182,562,21.1
183,643,
184,705,
185,720,
186,735,
187,749,
188,1242,
189,1385,
190,177,48.5
191,995,
192,1454,
193,494,23.5
194,32,82.2
195,58,71.8
196,1134,
197,1121,
198,304,34.3
199,278,36.9
200,334,32.5
201,650,
202,21,86.3
203,419,26.9
204,498,23.4
205,885,
206,977,
207,575,20.7
208,469,24.7
209,675,
210,1453,
211,313,33.7
212,283,36.5
213,495,23.5
214,209,44.5
215,566,20.9
216,10,90.4
217,603,
218,567,20.9
219,1452,
220,561,21.1
221,502,23.2
222,788,
223,211,44.3
224,152,51.3
225,1056,
226,1090,
227,868,
228,392,28.3
229,557,21.2
230,1151,
231,673,
232,426,26.7
233,1450,
234,648,
235,254,38.9
236,1074,
237,238,40.9
238,360,30.8
239,25,84.9
240,1250,
241,261,38.4
242,1198,
243,1329,
244,123,55.7
245,478,24.3
246,287,36.1
247,1064,
248,1143,
249,39,79.5
250,873,
251,409,27.4
252,796,
253,85,62.8
254,376,29.5
255,377,29.5
256,247,39.7
257,342,32.1
258,349,31.4
259,670,
260,927,
261,475,24.4
262,837,
263,1170,
264,1063,
265,542,21.8
266,57,72.0
267,381,29.2
268,742,
269,393,28.2
270,882,
271,901,
272,524,22.6
273,420,26.8
274,437,26.0
275,730,
276,762,
277,841,
278,623,
279,829,
280,269,37.5
281,1269,
282,78,65.1
283,99,60.7
284,213,44.1
285,40,79.3
286,228,41.8
287,264,37.9
288,1393,
289,362,30.7
290,881,
291,199,46.0
292,1140,
293,374,29.9
294,1204,
295,641,
296,325,32.8
297,800,
298,387,28.4
299,289,36.0
300,506,23.1
301,368,30.2
302,1138,
303,715,
304,106,59.3
305,31,83.7
306,243,40.1
307,540,21.9
308,445,25.9
309,1,100.0
310,428,26.5
311,205,45.1
312,413,27.2
313,518,22.7
314,818,
315,296,35.4
316,166,49.7
317,399,28.1
318,1075,
319,982,
320,579,20.5
321,1380,
322,804,
323,1055,
324,1150,
325,262,38.1
326,236,41.1
327,411,27.2
328,652,
329,560,21.1
330,869,
331,1319,
332,216,43.5
333,531,22.2
334,145,51.9
335,755,
336,297,35.3
337,1180,
338,367,30.3
339,433,26.2
340,985,
341,1449,
342,345,31.6
343,91,61.6
344,33,81.7
345,619,
346,317,33.4
347,1135,
348,50,74.4
349,814,
350,999,
351,412,27.2
352,158,50.4
353,333,32.5
354,1310,
355,510,23.0
356,1004,
357,687,
358,582,20.4
359,944,
360,981,
361,59,71.7
362,140,52.4
363,660,
364,421,26.8
365,1332,
366,185,47.6
367,369,30.1
368,611,
369,946,
370,1013,
371,48,76.2
372,522,22.6
373,180,48.1
374,1032,
375,1033,
376,1323,
377,280,36.8
378,591,20.1
379,708,
380,1163,
381,726,
382,384,29.0
383,5,98.1
384,414,27.1
385,616,
386,463,24.9
387,681,
388,601,19.8
389,1091,
390,323,33.0
391,260,38.5
392,669,
393,148,51.8
394,37,80.0
395,249,39.6
396,394,28.2
397,811,
398,799,
399,422,26.7
400,310,33.9
401,984,
402,447,25.8
403,1009,
404,201,45.9
405,960,
406,798,
407,964,
408,854,
409,15,87.8
410,529,22.3
411,920,
412,23,85.9
413,138,52.6
414,379,29.5
415,850,
416,1193,
417,328,32.7
418,235,41.2
419,725,
420,898,
421,1312,
422,1042,
423,597,19.9
424,776,
425,959,
426,159,50.2
427,474,24.5
428,520,22.7
429,665,
430,482,24.0
431,1021,
432,610,
433,44,77.8
434,385,28.6
435,825,
436,508,23.0
437,423,26.7
438,347,31.5
439,206,45.0
440,998,
441,149,51.7
442,853,
443,292,35.7
444,97,60.9
445,455,25.5
446,719,
447,1161,
448,125,55.0
449,153,50.9
450,397,28.1
451,1061,
452,480,24.2
453,1374,
454,190,46.8
455,935,
456,286,36.1
457,139,52.5
458,504,23.1
459,203,45.2
460,86,62.8
461,176,48.7
462,503,23.2
463,770,
464,88,62.2
465,934,
466,298,34.9
467,651,
468,1008,
469,90,61.8
470,116,57.1
471,756,
472,365,30.3
473,1137,
474,173,48.8
475,113,58.0
476,344,31.9
477,263,38.0
478,458,25.2
479,600,19.8
480,29,84.3
481,432,26.2
482,621,
483,693,
484,1044,
485,792,
486,1130,
487,316,33.4
488,253,39.0
489,308,33.9
490,842,
491,970,
492,129,54.2
493,816,
494,489,23.7
495,1107,
496,1073,
497,1149,
498,487,24.0
499,1043,
500,1259,
501,165,49.7
502,157,50.5
503,1208,
504,862,
505,179,48.5
506,1094,
507,1100,
508,1402,
509,874,
510,765,
511,67,68.6
512,195,46.6
513,194,46.7
514,388,28.3
515,1065,
516,1104,
517,497,23.4
518,1111,
519,270,37.5
520,438,26.0
521,126,55.0
522,624,
523,259,38.6
524,224,42.4
525,220,42.7
526,108,58.8
527,598,19.9
528,486,23.9
529,979,
530,115,57.2
531,1118,
532,79,64.7
533,443,25.9
534,1030,
535,744,
536,425,26.7
537,322,33.2
538,884,
539,186,47.6
540,20,86.7
541,1115,
542,1394,
543,1192,
544,73,66.4
545,273,37.3
546,51,74.3
547,306,34.0
548,183,47.9
549,363,30.6
550,890,
551,820,
552,992,
553,892,
554,370,30.0
555,168,49.4
556,52,73.7
557,258,38.7
558,821,
559,227,41.9
560,182,48.0
561,625,
562,1018,
563,375,29.7
564,1343,
565,647,
566,692,
567,340,32.2
568,255,38.8
569,28,84.5
570,312,33.8
571,198,46.1
572,716,
573,400,28.0
574,677,
575,928,
576,1237,
577,847,
578,1252,
579,537,22.0
580,242,40.3
581,605,
582,1078,
583,738,
584,903,
585,1069,
586,401,27.9
587,1462,
588,813,
589,66,68.7
590,80,63.9
591,1390,
592,240,40.6
593,712,
594,107,58.8
595,275,37.1
596,408,27.4
597,1400,
598,359,30.8
599,1287,
600,704,
601,637,
602,499,23.4
603,305,34.3
604,364,30.6
605,268,37.5
606,453,25.6
607,661,
608,1203,
609,614,
610,380,29.4
611,450,25.7
612,766,
613,418,27.0
614,877,
615,1284,
616,743,
617,965,
618,1066,
619,406,27.6
620,161,50.2
621,337,32.2
622,523,22.6
623,863,
624,917,
625,1267,
626,1035,
627,210,44.4
628,544,21.7
629,1461,
630,366,30.3
631,132,53.7
632,465,24.9
633,1469,
634,592,20.0
635,839,
636,688,
637,301,34.6
638,918,
639,1031,
640,1080,
641,170,48.9
642,783,
643,237,40.9
644,1397,
645,664,
646,234,41.3
647,1120,
648,81,63.5
649,46,76.3
650,84,63.0
651,639,
652,674,
653,154,50.5
654,972,
655,150,51.7
656,808,
657,962,
658,1076,
659,1351,
660,1472,
661,36,80.4
662,1361,
663,778,
664,187,47.6
665,121,56.3
666,361,30.7
667,613,
668,1003,
669,131,53.7
670,1189,
671,696,
672,969,
673,435,26.2
674,954,
675,952,
676,626,
677,1167,
678,910,
679,904,
680,232,41.4
681,252,39.2
682,680,
683,679,
684,1326,
685,978,
686,500,23.2
687,761,
