university_id,sustainability rank,sustainability score
1,58.0,94.7
2,701.0,1.0
3,701.0,1.0
4,701.0,1.9
5,50.0,95.5
6,373.0,38.4
7,548.0,19.7
8,137.0,81.7
9,701.0,1.1
10,701.0,5.0
11,232.0,63.1
12,701.0,1.0
13,,
14,701.0,2.5
15,701.0,5.6
16,701.0,1.0
17,8.0,99.6
18,596.0,15.9
19,294.0,52.1
20,701.0,1.0
21,10.0,99.6
22,362.0,40.2
23,701.0,1.0
24,701.0,1.2
25,689.0,8.9
26,603.0,15.4
27,701.0,1.1
28,678.0,9.6
29,701.0,1.1
30,701.0,3.4
31,231.0,63.4
32,21.0,98.1
33,91.0,90.5
34,26.0,97.8
35,18.0,98.4
36,115.0,85.7
37,365.0,39.6
38,438.0,30.7
39,17.0,98.8
40,701.0,3.1
41,336.0,44.4
42,243.0,61.9
43,49.0,95.6
44,,
45,484.0,26.3
46,636.0,12.7
47,295.0,51.8
48,77.0,92.1
49,701.0,1.4
50,621.0,14.2
51,92.0,90.4
52,213.0,68.2
53,485.0,26.1
54,701.0,1.1
55,701.0,4.1
56,701.0,2.8
57,701.0,5.1
58,252.0,59.2
59,212.0,68.8
60,701.0,1.3
61,701.0,1.0
62,701.0,1.9
63,,
64,141.0,81.3
65,,
66,416.0,33.2
67,103.0,88.4
68,301.0,50.9
69,66.0,93.6
70,155.0,79.3
71,506.0,23.7
72,502.0,24.1
73,335.0,45.0
74,701.0,2.3
75,701.0,1.0
76,367.0,39.0
77,701.0,1.0
78,471.0,27.6
79,701.0,4.1
80,403.0,34.6
81,701.0,1.6
82,701.0,4.9
83,379.0,37.8
84,207.0,69.9
85,101.0,88.5
86,444.0,30.5
87,616.0,14.7
88,80.0,91.8
89,701.0,1.9
90,695.0,8.4
91,67.0,93.5
92,144.0,80.8
93,533.0,21.2
94,305.0,50.6
95,701.0,3.8
96,370.0,38.7
97,544.0,20.1
98,514.0,23.0
99,695.0,8.4
100,291.0,53.1
101,61.0,94.4
102,449.0,29.9
103,438.0,30.7
104,462.0,28.6
105,701.0,1.2
106,701.0,1.4
107,701.0,1.9
108,555.0,18.8
109,397.0,35.5
110,701.0,1.0
111,695.0,8.4
112,584.0,16.7
113,701.0,1.0
114,528.0,21.6
115,46.0,96.1
116,520.0,22.7
117,428.0,31.3
118,506.0,23.7
119,169.0,76.3
120,35.0,97.2
121,163.0,77.7
122,58.0,94.7
123,701.0,3.5
124,701.0,1.2
125,701.0,3.4
126,701.0,4.1
127,275.0,55.2
128,449.0,29.9
129,389.0,36.3
130,701.0,5.2
131,32.0,97.3
132,38.0,96.8
133,132.0,82.9
134,617.0,14.5
135,277.0,54.9
136,701.0,1.9
137,701.0,1.1
138,701.0,1.9
139,204.0,70.1
140,701.0,6.2
141,283.0,54.3
142,701.0,4.0
143,701.0,1.2
144,116.0,85.5
145,456.0,29.1
146,656.0,11.0
147,701.0,1.0
148,506.0,23.7
149,685.0,9.2
150,305.0,50.6
151,701.0,2.1
152,432.0,31.0
153,701.0,1.1
154,316.0,48.4
155,425.0,31.6
156,149.0,80.2
157,53.0,95.0
158,701.0,5.6
159,701.0,1.1
160,136.0,82.1
161,89.0,90.6
162,701.0,1.0
163,634.0,13.1
164,701.0,3.4
165,701.0,2.5
166,701.0,2.2
167,647.0,11.7
168,598.0,15.8
169,584.0,16.7
170,74.0,92.5
171,120.0,84.8
172,701.0,3.4
173,524.0,21.8
174,490.0,24.8
175,33.0,97.3
176,701.0,2.1
177,701.0,6.4
178,3.0,99.9
179,113.0,85.9
180,701.0,1.2
181,12.0,99.4
182,701.0,1.3
183,701.0,1.1
184,667.0,10.2
185,701.0,4.1
186,560.0,18.4
187,701.0,4.9
188,701.0,1.2
189,701.0,1.1
190,312.0,49.4
191,701.0,2.4
192,701.0,1.6
193,305.0,50.6
194,75.0,92.3
195,163.0,77.7
196,701.0,7.2
197,701.0,1.6
198,259.0,57.7
199,524.0,21.8
200,95.0,89.1
201,469.0,27.8
202,2.0,99.9
203,701.0,3.0
204,701.0,2.7
205,701.0,1.0
206,701.0,2.6
207,701.0,2.1
208,393.0,35.8
209,701.0,1.1
210,,
211,411.0,33.8
212,339.0,44.1
213,373.0,38.4
214,117.0,85.4
215,400.0,34.9
216,1.0,100.0
217,644.0,11.8
218,701.0,5.2
219,701.0,3.8
220,564.0,18.2
221,424.0,31.8
222,701.0,1.1
223,113.0,85.9
224,196.0,71.5
225,701.0,1.0
226,701.0,2.5
227,701.0,1.0
228,701.0,4.0
229,432.0,31.0
230,701.0,1.2
231,323.0,47.2
232,614.0,14.9
233,701.0,1.0
234,701.0,1.2
235,701.0,4.3
236,639.0,12.4
237,351.0,42.3
238,471.0,27.6
239,271.0,55.8
240,701.0,3.5
241,299.0,51.2
242,598.0,15.8
243,701.0,1.0
244,24.0,98.0
245,658.0,10.9
246,196.0,71.5
247,701.0,3.9
248,345.0,42.6
249,20.0,98.3
250,701.0,3.2
251,432.0,31.0
252,669.0,9.8
253,14.0,99.1
254,586.0,16.5
255,112.0,87.3
256,438.0,30.7
257,235.0,62.8
258,456.0,29.1
259,701.0,7.0
260,345.0,42.6
261,608.0,15.2
262,617.0,14.5
263,701.0,2.2
264,701.0,5.9
265,701.0,1.4
266,53.0,95.0
267,226.0,64.8
268,360.0,40.8
269,540.0,20.5
270,701.0,4.4
271,673.0,9.7
272,358.0,41.1
273,287.0,53.7
274,137.0,81.7
275,438.0,30.7
276,478.0,27.3
277,701.0,1.0
278,701.0,1.0
279,701.0,1.8
280,255.0,58.6
281,701.0,1.0
282,30.0,97.6
283,215.0,67.4
284,351.0,42.3
285,142.0,81.1
286,160.0,78.2
287,40.0,96.4
288,701.0,1.0
289,560.0,18.4
290,647.0,11.7
291,362.0,40.2
292,701.0,1.6
293,514.0,23.0
294,701.0,1.1
295,701.0,1.9
296,235.0,62.8
297,478.0,27.3
298,320.0,47.5
299,89.0,90.6
300,187.0,73.1
301,438.0,30.7
302,701.0,1.0
303,521.0,22.5
304,288.0,53.4
305,64.0,94.2
306,69.0,93.3
307,179.0,74.3
308,432.0,31.0
309,51.0,95.2
310,,
311,292.0,52.8
312,299.0,51.2
313,701.0,1.0
314,701.0,2.1
315,123.0,84.3
316,23.0,98.1
317,97.0,88.8
318,701.0,2.7
319,669.0,9.8
320,688.0,9.0
321,701.0,1.0
322,288.0,53.4
323,701.0,1.8
324,701.0,2.0
325,150.0,80.0
326,331.0,46.0
327,635.0,12.9
328,413.0,33.5
329,701.0,1.1
330,701.0,1.1
331,701.0,3.9
332,225.0,65.4
333,647.0,11.7
334,207.0,69.9
335,497.0,24.4
336,217.0,66.8
337,701.0,1.1
338,123.0,84.3
339,506.0,23.7
340,701.0,1.0
341,701.0,1.7
342,210.0,69.3
343,567.0,18.0
344,126.0,83.7
345,471.0,27.6
346,391.0,36.1
347,456.0,29.1
348,341.0,43.8
349,701.0,2.9
350,701.0,4.9
351,194.0,71.8
352,511.0,23.2
353,413.0,33.5
354,701.0,1.1
355,336.0,44.4
356,701.0,1.3
357,471.0,27.6
358,701.0,1.6
359,701.0,1.5
360,701.0,1.3
361,171.0,75.8
362,43.0,96.2
363,612.0,15.0
364,309.0,49.7
365,701.0,4.6
366,552.0,19.0
367,497.0,24.4
368,400.0,34.9
369,683.0,9.4
370,701.0,1.9
371,162.0,78.0
372,279.0,54.6
373,33.0,97.3
374,701.0,1.0
375,574.0,17.2
376,701.0,7.7
377,333.0,45.6
378,701.0,1.0
379,701.0,2.3
380,701.0,4.1
381,701.0,6.8
382,370.0,38.7
383,63.0,94.4
384,409.0,34.3
385,447.0,30.2
386,283.0,54.3
387,701.0,1.0
388,531.0,21.4
389,701.0,1.1
390,94.0,89.8
391,232.0,63.1
392,701.0,2.5
393,316.0,48.4
394,120.0,84.8
395,146.0,80.4
396,667.0,10.2
397,701.0,7.0
398,490.0,24.8
399,701.0,4.2
400,323.0,47.2
401,701.0,1.0
402,243.0,61.9
403,701.0,1.9
404,268.0,56.5
405,701.0,3.8
406,701.0,3.7
407,685.0,9.2
408,701.0,1.0
409,357.0,41.4
410,603.0,15.4
411,,
412,64.0,94.2
413,528.0,21.6
414,92.0,90.4
415,701.0,7.5
416,701.0,1.2
417,100.0,88.7
418,342.0,43.5
419,514.0,23.0
420,701.0,3.7
421,701.0,1.1
422,701.0,1.0
423,598.0,15.8
424,701.0,1.2
425,,
426,84.0,91.3
427,382.0,37.5
428,327.0,46.6
429,549.0,19.2
430,701.0,1.6
431,701.0,1.1
432,425.0,31.6
433,297.0,51.5
434,521.0,22.5
435,309.0,49.7
436,536.0,20.9
437,701.0,6.8
438,56.0,94.9
439,22.0,98.1
440,701.0,1.4
441,277.0,54.9
442,701.0,1.6
443,223.0,65.7
444,201.0,70.4
445,481.0,26.6
446,631.0,13.4
447,640.0,12.3
448,567.0,18.0
449,57.0,94.8
450,655.0,11.1
451,701.0,1.0
452,271.0,55.8
453,701.0,1.0
454,204.0,70.1
455,701.0,5.9
456,487.0,25.8
457,214.0,67.7
458,621.0,14.2
459,171.0,75.8
460,44.0,96.1
461,175.0,75.1
462,460.0,28.9
463,642.0,12.0
464,345.0,42.6
465,701.0,3.3
466,61.0,94.4
467,263.0,57.4
468,579.0,17.1
469,72.0,93.1
470,15.0,98.9
471,608.0,15.2
472,701.0,3.0
473,701.0,1.7
474,204.0,70.1
475,177.0,74.8
476,235.0,62.8
477,323.0,47.2
478,581.0,16.9
479,453.0,29.4
480,5.0,99.7
481,449.0,29.9
482,701.0,4.1
483,701.0,3.0
484,701.0,1.3
485,701.0,3.0
486,701.0,1.5
487,514.0,23.0
488,167.0,77.3
489,248.0,61.0
490,701.0,1.9
491,701.0,1.9
492,232.0,63.1
493,701.0,1.1
494,701.0,3.5
495,701.0,1.2
496,701.0,1.3
497,601.0,15.6
498,453.0,29.4
499,624.0,14.0
500,701.0,1.3
501,163.0,77.7
502,83.0,91.4
503,701.0,1.2
504,614.0,14.9
505,193.0,72.0
506,701.0,1.4
507,701.0,1.3
508,701.0,1.1
509,701.0,1.0
510,701.0,1.1
511,239.0,62.5
512,336.0,44.4
513,549.0,19.2
514,228.0,64.5
515,545.0,19.9
516,661.0,10.6
517,701.0,7.0
518,678.0,9.6
519,263.0,57.4
520,691.0,8.7
521,201.0,70.4
522,701.0,3.2
523,215.0,67.4
524,416.0,33.2
525,177.0,74.8
526,128.0,83.5
527,701.0,1.0
528,701.0,1.3
529,701.0,2.2
530,133.0,82.7
531,701.0,6.2
532,255.0,58.6
533,524.0,21.8
534,701.0,1.4
535,533.0,21.2
536,318.0,47.8
537,239.0,62.5
538,701.0,1.2
539,223.0,65.7
540,7.0,99.7
541,603.0,15.4
542,701.0,1.0
543,701.0,3.7
544,201.0,70.4
545,301.0,50.9
546,339.0,44.1
547,182.0,73.6
548,82.0,91.5
549,379.0,37.8
550,469.0,27.8
551,701.0,2.3
552,701.0,3.0
553,701.0,2.7
554,471.0,27.6
555,26.0,97.8
556,323.0,47.2
557,36.0,97.1
558,200.0,70.7
559,309.0,49.7
560,279.0,54.6
561,701.0,1.1
562,701.0,3.8
563,642.0,12.0
564,701.0,2.1
565,701.0,1.1
566,701.0,2.6
567,118.0,85.2
568,403.0,34.6
569,122.0,84.6
570,633.0,13.2
571,382.0,37.5
572,370.0,38.7
573,701.0,5.1
574,701.0,1.6
575,701.0,1.0
576,701.0,1.5
577,701.0,3.0
578,701.0,1.0
579,564.0,18.2
580,460.0,28.9
581,334.0,45.3
582,701.0,3.9
583,701.0,1.4
584,701.0,1.3
585,701.0,1.0
586,295.0,51.8
587,701.0,1.0
588,701.0,4.9
589,68.0,93.4
590,255.0,58.6
591,701.0,2.6
592,399.0,35.2
593,701.0,3.0
594,108.0,87.4
595,480.0,27.1
596,196.0,71.5
597,701.0,1.0
598,142.0,81.1
599,701.0,1.0
600,393.0,35.8
601,701.0,1.1
602,456.0,29.1
603,403.0,34.6
604,586.0,16.5
605,108.0,87.4
606,701.0,1.5
607,678.0,9.6
608,701.0,1.8
609,701.0,2.7
610,301.0,50.9
611,438.0,30.7
612,701.0,6.1
613,588.0,16.3
614,536.0,20.9
615,701.0,4.1
616,413.0,33.5
617,701.0,1.7
618,701.0,1.1
619,327.0,46.6
620,497.0,24.4
621,393.0,35.8
622,701.0,1.2
623,644.0,11.8
624,701.0,2.5
625,701.0,4.1
626,514.0,23.0
627,416.0,33.2
628,612.0,15.0
629,701.0,1.0
630,701.0,4.4
631,180.0,74.1
632,592.0,16.1
633,701.0,1.1
634,701.0,1.8
635,701.0,1.7
636,701.0,3.8
637,701.0,6.9
638,701.0,1.3
639,701.0,1.0
640,701.0,2.4
641,137.0,81.7
642,701.0,3.1
643,217.0,66.8
644,701.0,1.4
645,701.0,2.6
646,444.0,30.5
647,,
648,173.0,75.6
649,103.0,88.4
650,146.0,80.4
651,574.0,17.2
652,222.0,66.0
653,268.0,56.5
654,701.0,3.4
655,60.0,94.6
656,701.0,2.9
657,312.0,49.4
658,701.0,1.3
659,701.0,1.1
660,701.0,1.0
661,351.0,42.3
662,701.0,1.8
663,504.0,23.9
664,701.0,5.9
665,382.0,37.5
666,463.0,28.4
667,701.0,1.0
668,701.0,6.1
669,80.0,91.8
670,539.0,20.7
671,330.0,46.3
672,701.0,1.2
673,344.0,43.2
674,701.0,7.9
675,701.0,1.8
676,701.0,1.4
677,652.0,11.6
678,701.0,1.7
679,701.0,2.4
680,274.0,55.5
681,263.0,57.4
682,419.0,32.9
683,636.0,12.7
684,701.0,1.2
685,701.0,1.2
686,701.0,6.9
687,549.0,19.2
688,627.0,13.7
689,701.0,1.3
690,701.0,5.0
691,545.0,19.9
692,701.0,1.1
693,701.0,1.3
694,400.0,34.9
695,377.0,38.1
696,701.0,2.2
697,86.0,91.2
698,592.0,16.1
699,701.0,1.0
700,701.0,2.7
701,701.0,3.1
702,701.0,1.0
703,524.0,21.8
704,701.0,1.4
705,133.0,82.7
706,701.0,3.2
707,488.0,25.6
708,701.0,4.1
709,108.0,87.4
710,701.0,5.1
711,345.0,42.6
712,581.0,16.9
713,701.0,2.5
714,391.0,36.1
