university_id,overall rank,overall score,academic reputation rank,academic reputation score,employer reputation rank,employer reputation score,faculty student rank,faculty student score,citations per faculty rank,citations per faculty score,international faculty rank,international faculty score,international students rank,international students score,international Research Network rank,international Research Network score,employment outcomes rank,employment outcomes score,sustainability rank,sustainability score
1,21,88.3,23,98.4,37,93.9,246,61.3,21,98.9,211.0,75.6,209.0,66.1,,,,,,
2,878,,501,4.6,501,4.1,601,6.2,601,15.8,332.0,38.5,129.0,86.8,,,,,,
3,855,,501,5.9,501,4.8,601,7.3,601,4.9,306.0,44.5,37.0,99.5,,,,,,
4,798,,501,10.6,501,16.8,471,32.8,601,7.7,601.0,3.0,444.0,27.6,,,,,,
5,113,57.3,131,56.6,162,52.5,167,74.1,384,36.1,176.0,88.3,270.0,53.2,,,,,,
6,802,,501,16.3,501,5.6,582,25.0,601,5.8,601.0,2.3,601.0,3.6,,,,,,
7,532,,501,14.6,501,3.6,512,30.0,394,34.7,301.0,45.5,478.0,24.7,,,,,,
8,10,94.5,16,99.2,39,93.5,57,95.5,49,90.6,223.0,71.9,140.0,84.9,,,,,,
9,896,,501,6.6,501,1.5,549,27.4,601,4.8,601.0,1.1,330.0,43.1,,,,,,
10,531,,501,11.4,501,10.5,231,64.1,601,15.9,601.0,2.1,596.0,16.2,,,,,,
11,715,,431,19.7,242,39.0,601,9.1,601,11.2,601.0,1.6,601.0,14.3,,,,,,
12,1086,,501,5.7,501,4.0,601,20.8,601,1.2,601.0,3.3,601.0,5.3,,,,,,
13,470,25.2,501,14.7,459,19.8,132,80.9,601,1.1,488.0,11.9,601.0,3.8,,,,,,
14,414,27.4,501,15.5,357,27.7,174,73.2,601,9.2,601.0,4.8,411.0,32.1,,,,,,
15,825,,461,18.5,329,29.3,601,12.5,601,3.7,601.0,1.2,601.0,3.1,,,,,,
16,737,,501,5.7,370,26.6,287,53.6,601,2.0,601.0,2.8,601.0,5.2,,,,,,
17,171,47.5,272,30.8,112,63.9,601,5.5,27,97.4,90.0,99.4,231.0,60.4,,,,,,
18,495,24.1,377,22.3,426,21.6,514,29.8,453,29.1,601.0,4.9,564.0,18.1,,,,,,
19,160,49.3,136,55.7,99,68.6,363,43.3,430,30.7,393.0,23.6,154.0,80.3,,,,,,
20,722,,501,5.3,501,16.2,518,29.7,601,3.2,181.0,86.7,407.0,32.4,,,,,,
21,43,77.7,41,90.4,32,94.4,601,15.2,44,93.5,44.0,100.0,30.0,99.8,,,,,,
22,690,,501,13.5,501,9.0,601,13.0,375,37.0,601.0,1.7,532.0,20.8,,,,,,
23,1026,,501,6.8,501,2.0,601,10.0,601,3.9,421.0,18.3,465.0,25.9,,,,,,
24,1285,,501,6.4,501,5.6,601,4.8,601,7.0,601.0,1.1,601.0,3.2,,,,,,
25,521,,501,7.3,501,2.1,601,6.3,54,90.1,601.0,2.5,601.0,3.2,,,,,,
26,883,,501,12.1,501,7.8,601,15.7,601,11.7,470.0,13.8,557.0,19.1,,,,,,
27,533,,501,16.5,79,78.2,531,28.7,601,2.7,529.0,9.2,506.0,22.8,,,,,,
28,439,26.5,486,17.5,501,10.9,601,11.6,434,30.4,64.0,100.0,47.0,98.9,,,,,,
29,1006,,501,3.3,501,3.9,522,29.4,601,4.9,398.0,22.7,601.0,1.9,,,,,,
30,740,,501,9.1,501,8.1,601,9.9,528,22.5,375.0,27.8,161.0,78.5,,,,,,
31,232,40.1,268,31.3,113,63.8,567,26.0,351,39.2,193.0,83.1,170.0,75.8,,,,,,
