university_id,academic reputation rank,academic reputation score
726,1.0,100.0
175,2.0,100.0
34,3.0,100.0
383,4.0,100.0
309,5.0,100.0
216,6.0,100.0
480,7.0,100.0
697,8.0,100.0
1129,9.0,99.9
70,10.0,99.9
412,11.0,99.7
170,13.0,99.4
8,14.0,99.4
202,15.0,99.3
59,16.0,99.2
51,17.0,99.1
344,18.0,98.9
1047,19.0,98.7
649,20.0,98.6
101,21.0,98.5
1,22.0,98.5
239,23.0,98.2
131,24.0,98.1
1087,25.0,98.0
830,26.0,97.9
540,27.0,97.4
178,28.0,97.1
409,29.0,97.0
1040,30.0,96.1
249,31.0,95.8
1123,32.0,95.6
194,33.0,95.3
195,34.0,94.0
1076,35.0,93.3
902,36.0,92.9
305,37.0,92.3
845,38.0,91.9
43,39.0,91.8
21,40.0,91.1
831,41.0,90.3
361,42.0,90.1
985,43.0,90.0
979,44.0,89.8
665,45.0,89.8
926,46.0,89.0
285,47.0,88.9
460,48.0,88.6
108,49.0,88.3
266,50.0,88.2
799,51.0,87.7
829,52.0,87.4
50,53.0,86.8
569,54.0,86.7
1073,55.0,85.9
753,56.0,85.6
152,57.0,85.2
371,58.0,85.1
1051,59.0,84.9
348,60.0,84.7
394,61.0,83.8
1092,62.0,83.4
546,63.0,82.5
793,64.0,82.3
743,65.0,80.9
464,66.0,80.6
661,67.0,80.4
590,68.0,80.1
653,69.0,79.6
893,70.0,78.4
899,71.0,77.3
908,72.0,75.8
718,73.0,75.5
64,74.0,75.5
532,75.0,75.2
1122,76.0,74.9
511,77.0,74.3
589,78.0,74.1
1037,79.0,73.9
556,80.0,73.3
343,81.0,73.3
1094,82.0,73.0
594,83.0,72.8
813,84.0,70.7
1118,85.0,70.6
316,86.0,70.2
253,87.0,70.0
475,88.0,69.3
433,89.0,69.3
631,90.0,69.2
820,91.0,69.2
444,92.0,68.8
727,93.0,68.7
695,94.0,68.3
132,95.0,68.1
223,96.0,67.1
952,97.0,67.0
648,98.0,66.6
786,99.0,66.4
833,100.0,66.3
181,101.0,66.3
526,102.0,66.0
530,103.0,65.3
650,104.0,64.4
85,105.0,64.3
283,106.0,63.6
769,107.0,63.5
525,108.0,62.3
179,109.0,62.0
1108,110.0,61.5
160,111.0,61.5
119,112.0,61.4
139,113.0,61.1
559,114.0,60.8
864,115.0,60.7
544,116.0,60.2
78,117.0,60.2
919,118.0,60.1
1144,119.0,60.0
888,120.0,60.0
655,121.0,59.9
76,122.0,59.7
156,123.0,59.7
1052,124.0,59.4
72,125.0,58.7
404,126.0,58.6
470,127.0,58.1
282,128.0,58.0
1133,129.0,57.1
144,130.0,56.0
1071,131.0,55.5
291,132.0,55.3
5,133.0,55.1
967,134.0,55.1
35,135.0,54.6
501,136.0,54.6
756,137.0,54.6
88,138.0,54.5
19,139.0,54.1
38,140.0,54.0
413,141.0,53.9
620,142.0,53.8
426,143.0,53.7
641,144.0,53.1
439,145.0,53.0
334,146.0,52.6
52,147.0,52.0
48,148.0,51.9
304,149.0,51.9
293,150.0,51.3
705,151.0,50.9
492,152.0,50.9
592,153.0,50.6
457,154.0,50.6
352,155.0,50.5
441,156.0,50.4
560,157.0,50.2
1060,158.0,49.7
646,159.0,49.5
1138,160.0,49.5
474,161.0,49.2
680,162.0,49.0
311,163.0,48.7
69,164.0,48.4
843,165.0,48.0
885,166.0,47.4
121,167.0,46.5
1034,168.0,46.2
1016,169.0,46.2
771,170.0,46.0
284,171.0,45.6
469,172.0,45.3
461,173.0,45.1
477,174.0,44.9
296,175.0,44.7
571,176.0,44.3
280,177.0,44.2
33,178.0,43.9
39,179.0,43.7
325,180.0,43.6
1096,181.0,43.6
373,182.0,43.4
823,183.0,43.4
157,184.0,43.4
502,185.0,43.3
161,186.0,43.2
326,187.0,43.1
724,188.0,43.0
505,189.0,42.9
232,190.0,42.8
999,191.0,42.6
555,192.0,42.6
57,194.0,42.0
1006,196.0,41.7
915,197.0,41.7
539,198.0,41.7
246,199.0,41.3
91,200.0,41.2
346,201.0,41.2
286,202.0,41.0
237,203.0,40.9
454,204.0,40.7
244,205.0,40.6
224,206.0,40.0
449,208.0,39.7
1100,209.0,39.6
995,210.0,39.6
762,211.0,39.4
519,212.0,39.2
1013,213.0,38.9
1120,214.0,38.8
1046,215.0,38.6
1017,216.0,38.3
932,217.0,38.3
840,218.0,38.3
512,219.0,38.2
362,220.0,37.6
256,221.0,37.6
681,222.0,37.5
955,223.0,37.4
714,224.0,37.3
391,225.0,37.2
488,226.0,37.0
287,227.0,36.9
117,228.0,36.6
214,229.0,36.5
930,230.0,36.3
393,231.0,36.1
827,232.0,35.9
557,233.0,35.6
1064,234.0,35.4
1091,235.0,35.1
975,236.0,35.0
198,237.0,34.9
514,238.0,34.8
251,239.0,34.7
1007,240.0,34.6
327,241.0,34.6
258,242.0,34.5
598,243.0,34.4
332,244.0,34.4
721,245.0,34.3
993,246.0,34.1
96,247.0,34.1
190,248.0,34.0
80,249.0,33.9
886,250.0,33.7
1001,251.0,33.6
336,252.0,33.5
789,253.0,33.5
956,254.0,33.4
664,255.0,33.3
1104,256.0,33.0
548,257.0,33.0
944,258.0,32.9
602,259.0,32.7
150,260.0,32.4
366,261.0,32.3
208,262.0,32.0
972,263.0,31.8
931,264.0,31.8
669,265.0,31.6
822,266.0,31.5
570,267.0,31.4
818,268.0,31.3
135,269.0,31.3
338,270.0,31.2
459,271.0,31.0
673,272.0,31.0
31,273.0,30.9
443,274.0,30.9
273,275.0,30.8
537,276.0,30.6
448,277.0,30.4
1128,278.0,30.2
710,279.0,30.0
1014,280.0,30.0
17,281.0,29.8
122,283.0,29.3
1072,284.0,29.3
603,285.0,29.2
873,286.0,29.0
199,287.0,29.0
306,288.0,28.9
141,289.0,28.9
437,290.0,28.8
377,291.0,28.8
32,292.0,28.7
751,293.0,28.6
115,294.0,28.6
945,295.0,28.6
914,296.0,28.6
521,297.0,28.4
1140,298.0,28.4
133,299.0,28.3
844,300.0,28.3
120,301.0,28.0
364,302.0,27.9
801,304.0,27.7
759,305.0,27.7
857,306.0,27.7
694,307.0,27.5
257,308.0,27.2
384,309.0,27.1
53,310.0,27.0
241,311.0,26.9
386,312.0,26.8
58,313.0,26.4
946,314.0,26.3
994,315.0,26.2
905,316.0,26.2
573,317.0,26.1
651,318.0,26.0
874,319.0,26.0
897,320.0,25.9
36,321.0,25.8
969,322.0,25.6
671,323.0,25.5
524,324.0,25.5
747,325.0,25.5
353,326.0,25.4
