university_id,employer reputation rank,employer reputation score
740,1.0,100.0
665,2.0,100.0
556,3.0,100.0
702,4.0,100.0
645,5.0,100.0
201,6.0,100.0
640,8.0,99.9
571,9.0,99.8
415,10.0,99.7
190,11.0,99.6
134,12.0,99.6
711,13.0,99.1
374,14.0,99.0
508,16.0,98.6
564,17.0,98.5
311,19.0,98.3
342,20.0,97.5
626,21.0,97.4
147,22.0,97.3
253,23.0,97.3
706,24.0,96.9
514,25.0,96.8
485,26.0,96.6
291,27.0,96.5
144,28.0,96.4
570,29.0,95.9
562,30.0,95.8
83,31.0,95.4
674,32.0,95.3
94,33.0,94.9
198,34.0,94.1
595,35.0,94.0
695,36.0,93.6
663,37.0,93.2
466,38.0,92.7
533,39.0,92.5
142,40.0,92.0
187,41.0,91.7
38,42.0,91.5
247,43.0,91.3
322,44.0,91.2
528,45.0,91.1
157,46.0,90.9
469,47.0,90.9
690,48.0,90.9
424,49.0,90.8
586,50.0,90.4
492,51.0,90.2
717,52.0,89.8
590,54.0,89.6
93,55.0,88.7
612,56.0,88.3
302,57.0,87.9
468,58.0,87.7
475,59.0,87.5
733,60.0,87.0
671,62.0,85.3
622,63.0,85.0
81,65.0,84.6
211,66.0,83.4
344,67.0,82.9
558,68.0,82.8
518,69.0,82.8
567,70.0,82.6
572,71.0,82.2
623,73.0,81.1
462,74.0,81.0
734,75.0,80.7
427,76.0,80.0
115,77.0,79.6
174,78.0,78.8
284,79.0,78.3
496,80.0,78.2
418,81.0,78.1
646,82.0,78.1
447,83.0,77.8
599,84.0,77.6
394,85.0,77.5
501,86.0,76.8
426,87.0,76.4
345,88.0,76.3
361,89.0,75.6
68,90.0,75.3
606,91.0,75.0
267,92.0,74.4
285,93.0,74.2
385,94.0,72.6
461,95.0,72.4
525,96.0,72.4
668,97.0,71.6
216,98.0,69.4
88,99.0,68.8
682,100.0,67.8
460,101.0,67.7
560,102.0,67.4
19,103.0,66.8
724,104.0,66.1
245,105.0,65.6
103,107.0,64.5
139,108.0,64.0
402,109.0,63.7
312,110.0,63.7
377,111.0,63.6
359,112.0,63.6
594,113.0,63.5
513,114.0,63.2
489,115.0,63.2
617,116.0,63.1
298,117.0,62.7
569,118.0,62.5
573,119.0,62.2
602,120.0,61.1
515,121.0,61.1
452,122.0,60.9
308,124.0,60.8
82,125.0,60.7
250,126.0,60.7
182,127.0,60.6
299,128.0,60.5
120,129.0,60.3
55,130.0,60.2
703,131.0,60.0
397,132.0,59.9
670,133.0,59.8
124,134.0,58.6
355,135.0,58.6
648,136.0,58.1
226,137.0,58.1
656,138.0,58.1
89,139.0,57.5
641,140.0,57.0
691,141.0,55.9
214,142.0,55.7
228,143.0,55.6
743,144.0,55.5
610,145.0,55.4
386,146.0,55.1
539,147.0,54.6
581,148.0,54.1
16,149.0,53.9
240,150.0,53.7
264,151.0,53.6
24,152.0,53.5
666,153.0,53.4
244,154.0,53.3
87,155.0,53.1
318,156.0,53.0
314,157.0,52.9
412,158.0,52.9
548,159.0,52.8
320,160.0,52.7
265,161.0,52.7
476,162.0,52.7
414,163.0,52.4
99,164.0,52.3
530,165.0,52.1
520,166.0,51.9
718,167.0,51.7
233,168.0,51.6
90,169.0,50.9
234,170.0,50.4
498,171.0,50.2
76,172.0,50.1
544,173.0,50.0
22,174.0,49.9
114,175.0,49.7
132,176.0,49.7
229,177.0,49.6
305,178.0,49.5
439,179.0,49.3
110,180.0,49.0
279,181.0,48.9
730,182.0,48.9
295,183.0,48.5
235,184.0,48.4
49,185.0,47.7
