university_id,overall rank,overall score
309,1,100.0
175,2,98.8
383,3,98.5
34,4,98.4
726,5,97.6
409,6,97.0
101,7,97.0
170,8,95.0
1047,9,93.6
8,10,93.2
59,12,91.3
1040,13,90.6
239,14,90.1
1087,15,89.5
661,16,89.2
70,17,89.2
1129,18,89.0
979,19,88.4
1,20,87.2
131,21,87.0
412,22,86.7
480,23,85.3
569,24,85.1
344,25,84.4
718,26,83.8
216,27,82.7
194,28,82.3
830,29,82.2
1123,30,82.1
305,31,81.9
371,32,81.8
51,33,81.6
348,34,81.5
202,35,81.5
649,36,81.4
285,37,81.2
831,38,80.6
249,39,80.3
152,40,79.8
540,41,79.6
50,42,79.3
433,43,79.3
697,44,78.7
21,45,78.0
546,46,77.4
178,47,77.0
394,49,76.4
266,50,74.8
926,51,74.8
556,52,74.6
845,53,74.5
160,54,73.6
343,55,72.5
908,56,72.3
985,57,71.6
793,58,71.1
902,59,70.4
361,60,70.1
813,61,70.0
64,62,70.0
544,63,69.6
511,64,69.1
464,65,69.0
833,66,69.0
108,67,68.9
590,68,68.2
814,69,68.1
589,70,67.9
724,71,67.7
195,72,67.4
695,73,67.0
532,74,66.9
899,75,66.8
1092,76,66.0
43,77,65.7
705,78,65.0
475,79,64.9
1073,80,64.7
1094,81,64.6
594,82,64.1
753,83,63.7
156,84,63.7
829,85,63.6
1118,86,62.8
1051,87,62.7
444,88,62.3
1034,89,62.1
139,90,61.7
650,91,61.1
282,92,60.9
1122,93,60.8
413,94,60.7
253,95,60.1
119,96,59.5
771,97,59.5
648,98,59.1
78,99,58.9
1100,100,58.8
88,101,58.7
727,102,58.2
132,103,58.2
135,104,58.0
1076,105,58.0
930,106,57.8
530,107,57.8
179,108,57.2
1071,109,57.0
756,110,56.9
664,111,56.6
72,112,56.3
526,113,56.3
1144,114,56.2
460,115,56.1
157,116,55.9
5,117,55.9
743,118,55.8
502,119,55.8
1128,120,55.7
799,121,54.9
39,122,54.8
352,123,54.7
224,124,54.6
133,125,54.5
334,126,54.5
492,127,54.5
181,128,54.3
283,129,54.2
620,130,54.2
665,131,54.1
820,132,54.1
76,133,53.9
470,134,53.7
501,135,53.5
521,136,53.3
469,137,53.2
448,138,52.7
952,139,52.4
769,140,52.0
38,141,51.9
1016,142,51.9
426,143,51.6
144,144,51.6
457,145,51.4
244,146,51.2
304,147,51.1
524,148,51.1
888,149,50.9
57,150,50.8
631,151,50.6
454,152,50.4
967,153,50.1
995,154,50.0
36,155,49.5
972,156,49.5
121,157,49.4
19,158,49.3
1108,159,48.9
801,160,48.8
35,161,48.6
555,162,48.4
449,163,48.2
864,164,47.9
641,165,47.9
885,166,47.8
653,167,47.5
1037,168,47.5
284,169,47.2
539,170,47.1
893,171,46.8
441,172,46.7
17,173,46.7
513,174,46.5
571,175,46.5
568,176,46.2
646,177,45.9
655,178,45.8
366,179,45.7
393,180,45.7
1054,181,45.6
474,182,45.6
33,183,45.6
316,184,45.5
1017,185,45.4
85,186,45.4
818,187,45.4
1060,188,45.3
52,189,45.2
362,190,44.6
505,191,44.6
789,192,44.5
150,193,44.4
512,194,44.3
669,195,44.2
560,196,44.2
1138,197,44.1
241,199,43.9
256,200,43.6
592,201,43.3
762,203,43.0
1091,204,43.0
643,205,42.8
404,206,42.8
1001,207,42.7
190,208,42.6
784,209,42.6
525,210,42.5
1104,211,42.5
332,212,42.4
627,213,42.4
915,214,42.3
1133,215,42.2
680,216,42.2
865,217,42.0
439,218,42.0
373,219,41.8
291,220,41.6
32,221,41.6
161,222,41.5
955,223,41.5
223,224,41.4
286,225,41.4
786,226,41.2
637,227,41.2
311,228,40.7
956,229,40.4
910,230,40.3
477,231,40.2
931,232,40.0
873,233,39.9
570,234,39.9
932,235,39.5
280,236,39.5
459,237,39.4
461,238,39.4
1109,239,39.4
821,240,39.2
120,241,39.2
548,242,39.0
559,243,38.9
603,244,38.9
1052,245,38.9
214,246,38.8
882,247,38.8
237,248,38.7
326,249,38.7
993,250,38.6
523,251,38.5
759,252,38.4
91,253,38.3
377,254,38.3
391,255,38.3
31,256,38.1
1006,257,38.1
228,258,38.1
809,259,38.0
437,260,37.9
721,261,37.9
840,262,37.8
246,263,37.8
199,264,37.6
203,265,37.6
141,266,37.5
740,267,37.3
1013,268,37.3
1064,269,37.3
874,270,37.2
353,271,37.2
299,272,37.2
346,273,37.2
488,274,37.1
691,275,36.9
69,276,36.9
1085,277,36.8
909,278,36.7
545,279,36.6
395,280,36.5
336,281,36.3
418,282,36.3
1005,283,36.3
399,284,36.1
996,285,36.1
817,286,36.1
325,287,36.1
557,287,36.2
1088,288,36.0
823,289,36.0
151,290,36.0
946,291,35.8
122,292,35.7
198,293,35.6
400,294,35.6
921,295,35.5
456,296,35.4
950,297,35.4
94,298,35.4
238,299,35.4
306,300,35.2
919,301,35.2
976,302,35.1
115,303,35.0
235,304,34.9
1033,305,34.7
595,306,34.6
707,307,34.4
466,308,34.3
573,309,34.3
728,310,34.3
604,311,34.3
822,312,34.1
610,313,34.1
1007,315,34.1
580,316,33.9
287,317,33.8
296,318,33.8
1096,319,33.8
605,320,33.7
537,321,33.7
936,322,33.4
313,323,33.3
48,324,33.2
681,325,33.1
58,326,33.1
935,327,33.0
843,328,32.9
802,329,32.9
621,330,32.5
732,331,32.3
673,332,32.2
293,333,32.1
301,334,32.0
519,335,31.9
1046,336,31.9
832,337,31.9
427,338,31.8
1120,339,31.7
1077,340,31.6
1110,341,31.6
315,342,31.5
563,343,31.4
886,344,31.4
884,345,31.3
686,346,31.2
974,347,31.1
1117,348,31.1
417,349,31.1
1048,350,31.0
402,351,31.0
443,352,30.9
632,353,30.9
533,354,30.8
766,355,30.7
837,356,30.7
211,357,30.7
182,358,30.6
628,359,30.5
390,360,30.5
925,361,30.4
257,362,30.3
245,363,30.2
117,364,30.2
487,365,30.2
1086,366,30.2
1072,367,30.2
549,368,30.1
86,369,29.9
472,370,29.9
554,371,29.9
878,372,29.9
905,373,29.9
351,374,29.9
706,375,29.8
200,376,29.8
567,377,29.8
795,378,29.7
434,379,29.7
971,380,29.6
298,381,29.6
579,382,29.5
258,383,29.5
630,384,29.3
806,385,29.3
320,386,29.3
975,387,29.3
977,388,29.2
255,389,29.2
1027,390,29.1
729,391,29.1
14,392,29.0
782,393,29.0
67,394,29.0
989,395,29.0
666,397,28.7
779,398,28.6
1139,399,28.6
965,400,28.4
167,401,28.4
1142,403,28.3
999,404,28.2
528,405,28.1
750,406,28.0
396,407,28.0
1029,408,27.9
53,409,27.9
863,410,27.8
1134,411,27.8
476,412,27.7
547,413,27.7
96,414,27.7
969,415,27.6
986,416,27.5
317,417,27.5
613,418,27.5
80,419,27.5
876,420,27.4
754,421,27.4
963,422,27.3
168,423,27.3
897,424,27.3
267,425,27.2
489,426,27.2
193,427,27.2
436,428,27.1
1067,429,27.1
937,430,27.1
970,431,27.1
622,432,27.0
308,433,26.9
819,434,26.8
232,435,26.8
869,436,26.6
527,437,26.6
384,438,26.5
751,439,26.5
379,440,26.5
939,441,26.4
1143,442,26.4
254,443,26.3
667,444,26.3
261,445,26.3
713,446,26.3
95,447,26.3
364,448,26.3
765,449,26.2
933,450,26.2
760,451,26.2
13,452,26.2
619,453,26.1
212,454,26.0
173,455,26.0
92,456,25.9
269,457,25.7
990,458,25.7
694,459,25.7
598,460,25.6
810,461,25.5
204,462,25.5
478,463,25.5
808,464,25.5
28,465,25.4
327,466,25.4
917,467,25.3
234,468,25.3
213,470,25.3
274,471,25.2
388,472,25.2
367,473,25.1
438,474,25.1
482,475,25.0
338,476,25.0
1090,477,24.9
481,478,24.9
1039,479,24.9
273,480,24.9
780,481,24.8
574,482,24.8
586,483,24.8
153,484,24.8
862,485,24.8
596,486,24.7
358,487,24.7
10,488,24.6
1140,489,24.6
514,490,24.5
1111,491,24.5
992,492,24.5
450,493,24.5
222,494,24.4
1089,495,24.4
714,496,24.4
1024,497,24.3
790,498,24.3
25,499,24.2
944,500,24.2
