university_id,overall rank,overall score,academic reputation rank,academic reputation score,employer reputation rank,employer reputation score,faculty student rank,faculty student score,citations per faculty rank,citations per faculty score,international faculty rank,international faculty score,international students rank,international students score,international Research Network rank,international Research Network score,employment outcomes rank,employment outcomes score,sustainability rank,sustainability score
1,93,60.8,75,76.7,97,69.8,473,32.6,162,67.7,523.0,25.3,421.0,31.0,44.0,96.8,282.0,44.8,,
2,162,48.4,191,43.3,268,36.1,343,45.0,270,48.6,183.0,88.1,147.0,82.1,187.0,88.9,511.0,23.7,,
3,339,31.7,233,36.6,363,26.3,534,28.4,436,29.4,389.0,43.3,601.0,11.8,210.0,87.1,174.0,63.8,,
4,735,,501,12.4,501,11.0,601,23.3,468,26.4,601.0,6.6,601.0,8.3,317.0,80.4,473.0,26.1,,
5,291,35.8,297,28.8,305,32.1,259,60.3,382,36.3,505.0,27.3,601.0,4.9,192.0,88.4,447.0,28.3,,
6,298,35.4,367,22.7,303,32.1,182,70.8,548,20.8,278.0,66.9,468.0,25.3,297.0,81.7,247.0,50.3,,
7,901,,501,10.8,456,20.2,601,20.0,601,2.4,428.0,36.8,601.0,14.3,601.0,13.7,601.0,11.4,,
8,15,89.5,26,98.0,24,97.2,129,81.1,149,70.1,98.0,98.9,38.0,99.5,15.0,98.7,219.0,54.3,,
9,1015,,501,4.8,498,18.0,601,7.5,601,2.2,445.0,34.7,555.0,18.4,601.0,26.7,339.0,38.1,,
10,532,,374,22.2,133,58.5,442,35.1,601,4.8,601.0,2.0,601.0,11.5,527.0,63.5,601.0,17.2,,
11,1190,,501,6.5,501,3.2,601,9.7,521,22.4,601.0,5.5,601.0,4.3,601.0,50.0,601.0,4.0,,
12,1136,,501,9.3,340,28.3,601,12.9,601,2.5,601.0,10.8,601.0,1.3,601.0,18.2,601.0,4.3,,
13,454,26.0,347,24.5,273,35.7,601,3.6,251,51.2,563.0,21.5,601.0,9.1,218.0,86.6,228.0,53.8,,
14,420,27.4,390,21.3,501,15.6,285,54.4,591,17.4,407.0,39.3,562.0,17.9,114.0,92.5,601.0,11.2,,
15,1338,,501,4.1,501,2.1,601,4.9,601,1.8,601.0,4.1,601.0,1.6,601.0,8.3,601.0,5.6,,
16,523,,501,7.7,501,5.1,128,81.3,601,1.4,601.0,7.5,244.0,58.7,601.0,12.4,601.0,4.6,,
17,1289,,501,6.2,501,9.9,601,3.8,601,3.4,601.0,13.1,601.0,7.9,601.0,26.0,601.0,15.1,,
18,611,,377,21.9,180,49.1,601,15.0,601,10.9,601.0,4.8,553.0,18.9,496.0,66.7,489.0,25.0,,
19,309,34.3,315,26.9,299,32.6,74,92.6,601,1.9,601.0,7.8,576.0,17.2,455.0,70.6,482.0,25.5,,
20,371,29.9,501,16.0,402,23.9,601,9.6,47,94.5,601.0,1.1,601.0,2.5,601.0,35.6,601.0,18.4,,
21,96,59.5,122,58.7,155,53.5,264,59.4,284,46.9,199.0,85.3,61.0,97.8,79.0,94.7,376.0,33.7,,
22,657,,501,8.8,484,18.8,601,16.3,601,2.3,4.0,100.0,3.0,100.0,601.0,5.8,155.0,66.8,,
23,1349,,501,8.2,501,3.0,601,9.8,601,3.2,601.0,6.1,601.0,1.6,601.0,50.1,601.0,10.4,,
24,1013,,501,6.6,501,6.4,601,13.5,601,4.4,601.0,3.5,542.0,19.7,591.0,58.0,601.0,9.4,,
25,508,,501,13.1,501,6.3,601,18.4,152,68.9,601.0,4.8,601.0,8.1,117.0,92.4,601.0,8.0,,
26,987,,501,2.2,501,1.8,597,24.0,496,24.5,601.0,8.5,601.0,4.5,601.0,55.1,601.0,10.5,,
27,146,51.2,215,39.6,325,30.0,492,31.5,103,82.2,154.0,93.3,86.0,94.5,186.0,88.9,448.0,28.3,,
28,474,25.1,501,12.0,501,11.7,601,21.9,329,42.5,259.0,69.9,280.0,52.3,264.0,83.5,490.0,24.9,,
29,923,,501,4.1,501,2.0,257,60.4,601,1.3,,,,,601.0,12.0,601.0,3.9,,
30,117,55.9,129,57.4,197,47.2,157,76.2,455,27.6,176.0,89.5,266.0,53.7,224.0,86.0,601.0,19.3,,
31,1340,,501,7.9,501,4.6,601,3.2,601,3.4,601.0,10.8,601.0,1.4,601.0,32.1,601.0,4.4,,
32,111,56.6,265,31.8,501,12.6,63,94.3,36,96.4,282.0,66.0,572.0,17.4,461.0,70.1,289.0,44.3,,
33,176,46.2,471,18.3,458,20.2,90,89.1,172,65.8,366.0,47.8,220.0,64.6,433.0,72.5,319.0,40.9,,
34,876,,501,4.5,501,12.3,485,31.8,601,3.6,227.0,77.0,478.0,24.1,601.0,8.2,601.0,11.7,,
35,429,27.1,501,7.9,501,8.2,4,100.0,601,11.6,601.0,4.0,601.0,10.0,384.0,75.4,601.0,4.6,,
36,1102,,501,10.1,501,14.2,601,6.3,601,14.7,601.0,15.2,601.0,6.0,447.0,71.2,601.0,18.0,,
37,886,,501,6.2,501,12.3,601,12.3,601,4.5,332.0,55.0,365.0,37.8,601.0,8.0,73.0,89.3,,
38,948,,501,10.5,501,8.6,601,8.0,601,2.0,172.0,90.4,514.0,21.7,601.0,24.2,601.0,1.0,,
39,999,,408,20.5,491,18.5,601,9.3,601,1.8,601.0,5.3,601.0,1.3,601.0,43.9,378.0,33.6,,
40,177,45.9,149,51.3,100,69.0,449,34.4,279,47.7,601.0,17.7,552.0,19.1,601.0,35.8,601.0,5.5,,
41,1240,,501,5.1,501,2.3,601,5.7,601,10.0,601.0,4.4,601.0,2.6,601.0,13.4,601.0,6.1,,
42,1284,,501,5.7,501,3.0,601,3.3,601,9.0,601.0,6.9,601.0,2.1,601.0,25.9,601.0,4.3,,
43,550,,501,15.7,231,40.3,601,2.3,304,44.5,466.0,30.8,495.0,22.8,601.0,29.1,288.0,44.5,,
44,736,,501,12.9,501,9.0,551,27.5,536,21.2,601.0,15.7,601.0,4.4,601.0,57.0,601.0,17.0,,
45,1310,,501,9.6,501,3.0,601,7.3,601,3.7,,,,,601.0,22.5,601.0,5.5,,
46,643,,327,26.0,501,8.8,601,21.0,601,7.2,601.0,7.0,344.0,40.2,471.0,68.9,601.0,11.0,,
47,828,,450,19.1,284,34.3,601,11.5,601,4.1,601.0,2.2,601.0,3.0,601.0,13.2,117.0,76.3,,
48,1043,,501,5.9,501,9.8,601,20.6,601,3.5,601.0,8.2,601.0,1.8,601.0,21.3,601.0,19.4,,
49,617,,394,21.2,264,36.4,601,16.7,601,10.4,460.0,31.4,408.0,32.8,437.0,72.2,601.0,3.0,,
50,102,58.2,105,64.8,162,51.0,559,27.1,153,68.7,204.0,84.7,198.0,70.2,155.0,90.2,488.0,25.0,,
51,424,27.3,353,23.9,501,8.8,601,21.8,204,59.3,601.0,6.1,601.0,3.8,551.0,61.6,510.0,23.7,,
52,54,73.6,130,57.3,328,29.4,93,88.6,25,98.1,16.0,100.0,15.0,100.0,601.0,55.1,198.0,57.2,,
53,70,67.9,70,79.6,35,94.9,200,67.8,355,39.4,388.0,43.6,272.0,53.0,126.0,91.8,310.0,41.9,,
54,588,,501,12.8,501,8.6,601,11.0,196,61.0,601.0,4.6,601.0,12.3,446.0,71.2,601.0,3.1,,
55,1119,,501,6.1,501,9.9,601,18.7,601,1.5,601.0,5.5,601.0,2.4,601.0,11.3,601.0,16.2,,
56,711,,501,14.6,501,4.5,601,10.9,328,42.5,,,601.0,1.1,601.0,51.3,537.0,22.6,,
57,1008,,501,10.3,501,17.1,601,17.8,601,9.9,601.0,9.8,601.0,11.0,601.0,36.8,601.0,16.6,,
58,119,55.8,210,40.1,501,15.3,22,99.9,221,55.6,212.0,82.4,258.0,55.1,243.0,84.9,132.0,71.0,,
59,312,34.1,293,29.2,415,23.0,601,11.3,156,68.3,292.0,63.7,601.0,16.0,334.0,79.0,398.0,31.3,,
60,628,,384,21.7,159,52.1,601,18.8,601,7.6,601.0,7.8,601.0,6.0,601.0,25.9,143.0,69.1,,
61,783,,496,17.0,132,58.5,601,4.0,601,5.2,420.0,37.8,601.0,4.8,601.0,14.1,601.0,17.6,,
