name,overall rank,overall score,academic reputation rank,academic reputation score,employer reputation rank,employer reputation score,faculty student rank,faculty student score,citations per faculty rank,citations per faculty score,international faculty rank,international faculty score,international students rank,international students score,international Research Network rank,international Research Network score,employment outcomes rank,employment outcomes score,sustainability rank,sustainability score
Massachusetts Institute of Technology (MIT),1,100,4,100,2,100,16,100,4,100,56,100,128,88.2,58,94.3,4,100,51,95.2
University of Cambridge,2,99.2,3,100,4,100,14,100,68,92.3,64,100,85,95.8,7,99.9,6,100,=33,97.3
University of Oxford,3,98.9,2,100,5,100,8,100,73,90.6,110,98.2,60,98.2,1,100,3,100,=26,97.8
Harvard University,4,98.3,1,100,1,100,44,98.3,1,100,210,84.6,223,66.8,5,100,1,100,39,96.7
Stanford University,5,98.1,5,100,3,100,11,100,8,99.9,78,99.9,284,51.2,44,95.8,2,100,63,94.4
Imperial College London,6,97.8,23,98.3,12,99.4,42,98.5,58,94,61,100,14,100,35,96.7,45,83,=61,94.4
ETH Zurich,7,93.3,19,98.8,62,83.6,177,72.1,21,98.9,22,100,56,98.5,42,96,52,79.1,=103,88.4
National University of Singapore (NUS),8,92.7,15,99.4,54,88.6,157,76.5,64,93.2,33,100,154,81.9,165,76.3,7,100,=106,88.1
UCL,9,92.4,13,99.5,22,97.9,43,98.4,131,74.3,96,99.1,15,100,2,100,126,51.6,74,92.5
"University of California, Berkeley (UCB)",10,90.4,6,100,6,100,656,20.5,7,99.9,172,92.2,235,63.9,66,92.4,15,98.7,1,100
University of Chicago,11,90.3,17,99.1,38,95.4,72,92.5,122,78.5,225,81.2,145,84.4,236,61.4,17,98.3,=137,81.7
University of Pennsylvania,12,89.4,29,96.4,52,89.1,24,99.9,153,68.4,140,96,208,70.3,129,83.3,5,100,=3,99.9
Cornell University,13,89.3,26,98.1,47,90.5,297,52.9,18,99.1,283,68.7,234,64,144,79.9,18,98,=58,94.7
