name,overall rank,overall score,academic reputation rank,academic reputation score,employer reputation rank,employer reputation score,faculty student rank,faculty student score,citations per faculty rank,citations per faculty score,international faculty rank,international faculty score,international students rank,international students score,international Research Network rank,international Research Network score,employment outcomes rank,employment outcomes score,sustainability rank,sustainability score
Massachusetts Institute of Technology (MIT),1,100,5,100,4,100,12,100,6,100,45,100,105,91.4,n/a,n/a,n/a,n/a,n/a,n/a
University of Oxford,2,99.5,3,100,3,100,5,100,34,96,83,99.5,52,98.5,n/a,n/a,n/a,n/a,n/a,n/a
Stanford University,3,98.7,4,100,5,100,9,100,10,99.9,73,99.8,208,67,n/a,n/a,n/a,n/a,n/a,n/a
University of Cambridge,4,98.7,2,100,2,100,10,100,48,92.1,57,100,64,97.7,n/a,n/a,n/a,n/a,n/a,n/a
Harvard University,5,98,1,100,1,100,37,99.1,3,100,188,84.2,196,70.1,n/a,n/a,n/a,n/a,n/a,n/a
California Institute of Technology (Caltech),6,97.4,29,96.7,52,89.9,2,100,7,100,89,99.4,125,87.7,n/a,n/a,n/a,n/a,n/a,n/a
Imperial College London,7,97.3,22,98.4,9,99.8,27,99.8,64,88.1,47,100,10,100,n/a,n/a,n/a,n/a,n/a,n/a
ETH Zurich,8,95.4,18,98.7,30,95.3,134,80.4,15,99.8,22,100,58,98.2,n/a,n/a,n/a,n/a,n/a,n/a
UCL,9,95.4,14,99.4,13,98.9,38,99,108,78,85,99.5,12,100,n/a,n/a,n/a,n/a,n/a,n/a
University of Chicago,10,94.5,16,99.2,39,93.5,57,95.5,49,90.6,223,71.9,140,84.9,n/a,n/a,n/a,n/a,n/a,n/a
National University of Singapore (NUS),11,93.9,12,99.6,26,97.1,99,86.8,50,90.6,29,100,194,70.3,n/a,n/a,n/a,n/a,n/a,n/a
"Nanyang Technological University, Singapore (NTU Singapore)",12,90.8,39,91.1,62,85,91,89.5,37,95.5,27,100,198,69.6,n/a,n/a,n/a,n/a,n/a,n/a
University of Pennsylvania,13,90.7,30,96.2,38,93.8,15,100,123,74,145,94.1,240,58.1,n/a,n/a,n/a,n/a,n/a,n/a
EPFL,14,90.2,65,82.4,71,79.7,59,94.8,14,99.8,14,100,9,100,n/a,n/a,n/a,n/a,n/a,n/a
Yale University,15,90.2,9,99.9,6,100,1,100,206,59.9,177,87.9,197,69.8,n/a,n/a,n/a,n/a,n/a,n/a
The University of Edinburgh,16,89.9,25,98,25,97.3,119,83.5,145,69.5,91,99.3,34,99.6,n/a,n/a,n/a,n/a,n/a,n/a
Tsinghua University,17,89,21,98.6,23,97.6,82,90.6,33,96,452,15.3,461,26.3,n/a,n/a,n/a,n/a,n/a,n/a
Peking University,18,88.8,15,99.4,18,98.2,120,83.5,59,89.5,299,45.6,365,38.5,n/a,n/a,n/a,n/a,n/a,n/a
Columbia University,19,88.7,11,99.6,16,98.4,14,100,233,55.6,276,52.7,55,98.4,n/a,n/a,n/a,n/a,n/a,n/a
Princeton University,20,88.6,10,99.9,12,99.2,197,68.7,2,100,374,28.1,218,63.2,n/a,n/a,n/a,n/a,n/a,n/a
Cornell University,21,88.3,23,98.4,37,93.9,246,61.3,21,98.9,211,75.6,209,66.1,n/a,n/a,n/a,n/a,n/a,n/a
The University of Hong Kong,22,86.3,26,97.9,92,73.1,111,85.4,186,62.1,26,100,48,98.9,n/a,n/a,n/a,n/a,n/a,n/a
The University of Tokyo,23,86.2,7,100,10,99.6,70,92.4,103,79,601+,3.3,438,28.5,n/a,n/a,n/a,n/a,n/a,n/a
University of Michigan-Ann Arbor,24,86.2,20,98.6,43,93,85,90.2,136,70.5,245,63.4,390,34.9,n/a,n/a,n/a,n/a,n/a,n/a
Johns Hopkins University,25,85.9,51,87.6,167,51.6,6,100,57,89.9,272,55.1,102,91.7,n/a,n/a,n/a,n/a,n/a,n/a
University of Toronto,26,85.3,13,99.5,17,98.2,193,69.4,212,58.8,113,98.6,87,94.9,n/a,n/a,n/a,n/a,n/a,n/a
McGill University,27,84,37,92.5,32,94.4,171,73.3,165,65.5,157,92.2,74,96.6,n/a,n/a,n/a,n/a,n/a,n/a
Australian National University (ANU),28,84,34,94.6,75,79.3,354,44.4,38,95.4,39,100,49,98.8,n/a,n/a,n/a,n/a,n/a,n/a
The University of Manchester,29,84,32,95.2,19,98,178,72.5,218,58.1,146,94,39,99.3,n/a,n/a,n/a,n/a,n/a,n/a
Northwestern University,30,82.8,58,84.4,84,74.7,35,99.3,74,87.1,363,30,290,49.6,n/a,n/a,n/a,n/a,n/a,n/a
Fudan University,31,82.6,56,84.8,53,89.1,74,91.5,132,71.1,150,93.3,316,45.5,n/a,n/a,n/a,n/a,n/a,n/a
"University of California, Berkeley (UCB)",32,82.5,6,100,7,100,601+,23.3,13,99.9,136,95.4,261,55.3,n/a,n/a,n/a,n/a,n/a,n/a
Kyoto University,33,82.3,19,98.7,20,97.8,55,96,202,60.3,601+,5.4,507,22.7,n/a,n/a,n/a,n/a,n/a,n/a
The Hong Kong University of Science and Technology,34,82.2,60,84.2,124,60.7,223,64.8,24,98.2,21,100,116,89.2,n/a,n/a,n/a,n/a,n/a,n/a
King's College London,35,82,47,88.9,60,86.2,121,83.4,246,53.9,94,99.2,20,100,n/a,n/a,n/a,n/a,n/a,n/a
Seoul National University,36,81.7,24,98.3,27,96.5,117,83.9,119,75,601+,4,601+,8.9,n/a,n/a,n/a,n/a,n/a,n/a
The University of Melbourne,37,81.4,17,98.9,24,97.3,601+,19.9,58,89.7,121,97.1,28,99.9,n/a,n/a,n/a,n/a,n/a,n/a
The University of Sydney,38,80.4,28,96.8,29,95.4,601+,20.9,68,87.9,60,100,13,100,n/a,n/a,n/a,n/a,n/a,n/a
The Chinese University of Hong Kong (CUHK),39,80.3,49,88.8,141,56.7,236,62.6,88,83.2,55,100,101,91.8,n/a,n/a,n/a,n/a,n/a,n/a
"University of California, Los Angeles (UCLA)",40,79.7,8,100,8,99.9,371,42.5,51,90.5,369,28.9,453,26.7,n/a,n/a,n/a,n/a,n/a,n/a
KAIST - Korea Advanced Institute of Science & Technology,41,79.1,52,87.5,65,83.1,176,73.1,22,98.8,539,8.5,601+,12,n/a,n/a,n/a,n/a,n/a,n/a
New York University (NYU),42,78.9,31,95.9,14,98.6,54,96.6,464,27.7,461,14.6,77,95.6,n/a,n/a,n/a,n/a,n/a,n/a
The University of New South Wales (UNSW Sydney),43,77.7,41,90.4,32,94.4,601+,15.2,44,93.5,44,100,30,99.8,n/a,n/a,n/a,n/a,n/a,n/a
Université PSL,44,77.6,76,75.8,28,95.9,21,99.9,239,55.1,262,57.5,190,70.5,n/a,n/a,n/a,n/a,n/a,n/a
Zhejiang University,45,77.4,88,71.2,47,91.5,96,88,149,69,114,98.5,221,63,n/a,n/a,n/a,n/a,n/a,n/a
University of British Columbia,46,77.1,27,97.6,34,94.2,294,52.7,300,46.8,173,89.1,156,79,n/a,n/a,n/a,n/a,n/a,n/a
The University of Queensland,47,76.6,50,88.2,70,80.2,576,25.4,60,89.4,32,100,19,100,n/a,n/a,n/a,n/a,n/a,n/a
"University of California, San Diego (UCSD)",48,76.1,40,91,120,61.1,235,62.6,106,78.4,331,39.2,225,61.8,n/a,n/a,n/a,n/a,n/a,n/a
Institut Polytechnique de Paris,49,75.9,181,44.8,15,98.6,32,99.6,49,91.6,142,94.3,61,98.1,n/a,n/a,n/a,n/a,n/a,n/a
The London School of Economics and Political Science (LSE),50,75.8,83,72.4,11,99.2,348,45,70,87.8,30,100,5,100,n/a,n/a,n/a,n/a,n/a,n/a
Shanghai Jiao Tong University,51,75.6,63,83.4,59,86.7,276,55.2,36,95.6,387,25,379,36.3,n/a,n/a,n/a,n/a,n/a,n/a
Technical University of Munich,52,75.6,57,84.5,21,97.6,64,94.5,473,27.2,265,56.9,106,91.2,n/a,n/a,n/a,n/a,n/a,n/a
Duke University,53,75.2,53,86.9,66,81.8,13,100,312,45.4,n/a,n/a,245,57.4,n/a,n/a,n/a,n/a,n/a,n/a
Carnegie Mellon University,54,74.6,82,72.7,82,75,279,55,12,99.9,347,34.6,44,99.1,n/a,n/a,n/a,n/a,n/a,n/a
City University of Hong Kong,55,74.6,119,59.4,286,33,87,89.7,31,96.5,16,100,26,99.9,n/a,n/a,n/a,n/a,n/a,n/a
University of Amsterdam,56,73.8,64,83.1,148,55.6,461,33.6,18,99.5,175,88.7,181,72.9,n/a,n/a,n/a,n/a,n/a,n/a
Tokyo Institute of Technology (Tokyo Tech),57,73.5,78,74.6,48,91.1,97,87.6,131,71.1,473,13.7,380,36.2,n/a,n/a,n/a,n/a,n/a,n/a
Delft University of Technology,58,73.1,84,71.9,55,87.9,378,41.8,69,87.8,61,100,134,85.9,n/a,n/a,n/a,n/a,n/a,n/a
Monash University,59,72.2,48,88.9,58,87.2,601+,13.9,124,73.9,42,100,17,100,n/a,n/a,n/a,n/a,n/a,n/a
Brown University,60,71.3,128,58.1,145,56.3,123,83.2,42,94.5,203,78.2,268,54,n/a,n/a,n/a,n/a,n/a,n/a
The University of Warwick,61,71.2,81,73.1,49,90.8,300,52.1,192,61.4,102,99,38,99.4,n/a,n/a,n/a,n/a,n/a,n/a
University of Bristol,62,71,77,74.7,63,84.3,207,67.5,276,50.7,163,91.3,144,83.6,n/a,n/a,n/a,n/a,n/a,n/a
Universität Heidelberg,63,70.8,68,80.1,209,45.7,31,99.7,298,47,339,36.6,264,54.7,n/a,n/a,n/a,n/a,n/a,n/a
Ludwig-Maximilians-Universität München,64,70.1,36,92.8,80,77.5,295,52.7,281,50,291,49.1,368,38,n/a,n/a,n/a,n/a,n/a,n/a
Universiti Malaya (UM),65,69.8,72,76.9,46,91.7,155,76.5,285,49.6,311,43.6,333,42.6,n/a,n/a,n/a,n/a,n/a,n/a
The Hong Kong Polytechnic University,66,69.1,98,67.1,223,42.9,140,79.2,178,63.8,41,100,151,81.3,n/a,n/a,n/a,n/a,n/a,n/a
University of Texas at Austin,67,68.4,35,93.6,61,86.1,601+,9.5,30,96.6,601+,2.1,601+,15.4,n/a,n/a,n/a,n/a,n/a,n/a
National Taiwan University (NTU),68,68.2,38,92.3,57,87.4,385,40.8,213,58.7,571,7,354,39.2,n/a,n/a,n/a,n/a,n/a,n/a
Universidad de Buenos Aires (UBA),69,67.9,44,90.2,40,93.4,146,78.2,601+,1.9,275,52.8,186,71.1,n/a,n/a,n/a,n/a,n/a,n/a
KU Leuven,70,67.2,59,84.4,146,56.1,601+,8.1,29,96.9,167,90.3,342,41.4,n/a,n/a,n/a,n/a,n/a,n/a
University of Zurich,71,67.2,120,59.3,158,52.8,53,96.6,251,53.3,51,100,242,57.8,n/a,n/a,n/a,n/a,n/a,n/a
Sorbonne University,72,67.1,43,90.2,192,47.4,420,37.4,113,75.4,463,14.5,266,54.2,n/a,n/a,n/a,n/a,n/a,n/a
University of Glasgow,73,66.8,79,74.4,88,74,256,59.6,356,38.7,131,95.8,63,97.9,n/a,n/a,n/a,n/a,n/a,n/a
Korea University,74,66.3,70,77.6,50,90.4,89,89.5,431,30.6,601+,4.3,391,34,n/a,n/a,n/a,n/a,n/a,n/a
Osaka University,75,66.2,67,80.6,69,80.6,142,79.1,323,43.4,555,7.7,601+,15.1,n/a,n/a,n/a,n/a,n/a,n/a
University of Wisconsin-Madison,76,66.2,62,83.4,159,52.8,194,69.2,216,58.4,549,8.1,445,27.5,n/a,n/a,n/a,n/a,n/a,n/a
University of Southampton,77,65.7,147,51.5,126,60.1,255,59.8,82,85.4,117,97.9,73,96.9,n/a,n/a,n/a,n/a,n/a,n/a
Lomonosov Moscow State University,78,65.6,69,79.5,81,76.5,28,99.8,601+,5.9,560,7.3,124,87.8,n/a,n/a,n/a,n/a,n/a,n/a
University of Copenhagen,79,65.5,80,73.5,216,44.2,17,100,469,27.5,161,91.7,464,25.9,n/a,n/a,n/a,n/a,n/a,n/a
Yonsei University,80,65.5,85,71.6,44,92.6,88,89.6,397,34.4,568,7.1,323,44.1,n/a,n/a,n/a,n/a,n/a,n/a
Pohang University of Science And Technology (POSTECH),81,65.4,184,44.3,110,64.1,18,100,17,99.7,429,17.6,601+,3,n/a,n/a,n/a,n/a,n/a,n/a
Durham University,82,65.2,127,58.3,54,88.6,436,35.8,96,80.6,118,97.8,103,91.5,n/a,n/a,n/a,n/a,n/a,n/a
Tohoku University,83,65.2,86,71.4,89,73.8,42,98.4,334,41.3,601+,3.6,593,16.5,n/a,n/a,n/a,n/a,n/a,n/a
University of Illinois at Urbana-Champaign,84,65.2,54,86.4,115,63.5,601+,9.8,43,93.8,552,8,239,58.1,n/a,n/a,n/a,n/a,n/a,n/a
The University of Auckland,85,65,61,83.8,139,57.3,599,23.7,238,55.1,88,99.5,92,94.3,n/a,n/a,n/a,n/a,n/a,n/a
University of Washington,86,65,55,85.4,156,53,601+,12.2,8,100,435,17,361,38.8,n/a,n/a,n/a,n/a,n/a,n/a
Université Paris-Saclay,87,64.9,138,55.5,19,98.1,36,99.2,306,46.2,388,24.7,308,46.5,n/a,n/a,n/a,n/a,n/a,n/a
Lund University,88,63.8,90,70.5,140,57.2,296,52.6,237,55.2,155,92.4,203,68.3,n/a,n/a,n/a,n/a,n/a,n/a
Georgia Institute of Technology,89,63.5,94,67.8,74,79.4,601+,6.9,5,100,226,71.3,216,64.1,n/a,n/a,n/a,n/a,n/a,n/a
KTH Royal Institute of Technology,90,63.2,165,47.3,110,64.1,191,69.8,107,78.2,123,97,223,62.7,n/a,n/a,n/a,n/a,n/a,n/a
University of Birmingham,91,62.9,103,65.5,85,74.6,301,51.9,294,47.4,162,91.6,108,90,n/a,n/a,n/a,n/a,n/a,n/a
University of St Andrews,92,62.8,169,46.7,108,64.7,203,67.6,144,69.7,97,99.1,32,99.7,n/a,n/a,n/a,n/a,n/a,n/a
University of Leeds,93,62.6,89,70.6,73,79.5,357,44,325,43.4,190,83.9,113,89.4,n/a,n/a,n/a,n/a,n/a,n/a
The University of Western Australia,94,62.5,125,58.5,133,58.1,601+,20.4,40,94.9,31,100,25,99.9,n/a,n/a,n/a,n/a,n/a,n/a
Rice University,95,62.3,209,40,327,29.4,149,78,46,93.1,174,89.1,121,88.5,n/a,n/a,n/a,n/a,n/a,n/a
The University of Sheffield,96,61.6,116,60.4,134,57.9,210,66.8,317,44.5,191,83.7,60,98.1,n/a,n/a,n/a,n/a,n/a,n/a
Pennsylvania State University,97,61.5,75,75.9,91,73.2,478,32.5,121,74.4,514,10,405,32.6,n/a,n/a,n/a,n/a,n/a,n/a
Sungkyunkwan University (SKKU),98,60.5,113,61.5,98,68.8,110,85.4,302,46.8,561,7.2,364,38.5,n/a,n/a,n/a,n/a,n/a,n/a
University of Science and Technology of China,99,60.1,145,52.4,501+,14.4,118,83.6,11,99.9,540,8.4,601+,6.4,n/a,n/a,n/a,n/a,n/a,n/a
Technical University of Denmark,100,59.9,265,32.1,320,30,20,100,118,75,62,100,165,76.6,n/a,n/a,n/a,n/a,n/a,n/a
University of North Carolina at Chapel Hill,101,59.6,100,66.3,194,47.2,133,80.9,247,53.9,490,11.8,601+,11.1,n/a,n/a,n/a,n/a,n/a,n/a
"Trinity College Dublin, The University of Dublin",102,59.5,93,68.2,177,48.9,544,27.7,211,58.9,71,99.9,93,94.2,n/a,n/a,n/a,n/a,n/a,n/a
University of Oslo,103,59,138,55.4,501+,16.3,107,85.5,196,61,187,85,435,29,n/a,n/a,n/a,n/a,n/a,n/a
University of Nottingham,104,58.9,122,59.1,87,74.2,359,43.5,272,51,168,90.3,143,83.6,n/a,n/a,n/a,n/a,n/a,n/a
University of Helsinki,105,58.5,97,67.2,205,45.8,199,68.5,283,49.6,267,56.5,601+,6.2,n/a,n/a,n/a,n/a,n/a,n/a
Universidad Nacional Autónoma de México  (UNAM),106,58.3,33,94.6,42,93.2,308,49.9,601+,3,601+,2.9,601+,3.5,n/a,n/a,n/a,n/a,n/a,n/a
University of Geneva,107,58.3,163,48.7,396,24.4,332,47.4,87,83.7,36,100,68,97.3,n/a,n/a,n/a,n/a,n/a,n/a
Washington University in St. Louis,108,58,202,41.3,501+,16.3,24,99.9,195,61,201,79,200,68.6,n/a,n/a,n/a,n/a,n/a,n/a
The University of Adelaide,109,57.9,144,53.3,238,39.8,601+,21.9,55,90.1,69,100,33,99.7,n/a,n/a,n/a,n/a,n/a,n/a
"University of California, Davis",110,57.9,99,66.9,191,47.2,517,29.7,162,65.9,211,76.4,212,64.8,n/a,n/a,n/a,n/a,n/a,n/a
King Abdulaziz University (KAU),111,57.7,201,41.3,103,65.7,196,68.9,176,63.8,84,99.5,253,56.3,n/a,n/a,n/a,n/a,n/a,n/a
Utrecht University,112,57.5,102,66.1,276,34.4,419,37.4,91,82.2,300,45.5,482,24.4,n/a,n/a,n/a,n/a,n/a,n/a
Université de Montréal,113,57.3,131,56.6,162,52.5,167,74.1,384,36.1,176,88.3,270,53.2,n/a,n/a,n/a,n/a,n/a,n/a
Aalto University,114,57,175,45.7,207,45.8,327,47.7,63,88.4,130,96,370,37.5,n/a,n/a,n/a,n/a,n/a,n/a
Boston University,115,57,109,62,130,58.9,382,41,179,63.7,466,14.4,127,87.6,n/a,n/a,n/a,n/a,n/a,n/a
Leiden University,116,57,92,69.3,296,32.3,593,24.1,125,73.5,204,78.1,301,47.3,n/a,n/a,n/a,n/a,n/a,n/a
University of Southern California,117,57,132,56.2,121,60.9,424,37.1,110,77.5,395,23.4,148,81.7,n/a,n/a,n/a,n/a,n/a,n/a
Purdue University,118,56.9,107,63.3,83,74.9,601+,14.8,109,77.6,270,55.8,287,50.6,n/a,n/a,n/a,n/a,n/a,n/a
Queen Mary University of London,119,56.7,154,50.7,240,39.4,303,51.5,205,60,76,99.8,36,99.5,n/a,n/a,n/a,n/a,n/a,n/a
