university_id,overall rank,overall score,academic reputation rank,academic reputation score,employer reputation rank,employer reputation score,faculty student rank,faculty student score,citations per faculty rank,citations per faculty score,international faculty rank,international faculty score,international students rank,international students score,international Research Network rank,international Research Network score,employment outcomes rank,employment outcomes score,sustainability rank,sustainability score
1,97,61.5,75,75.9,91,73.2,478,32.5,121,74.4,514.0,10.0,405.0,32.6,,,,,,
2,154,50.4,189,43.2,256,37.2,282,54.4,278,50.2,160.0,91.8,177.0,74.0,,,,,,
3,312,33.7,222,37.8,349,28.1,467,33.0,392,35.2,381.0,26.5,601.0,12.4,,,,,,
4,641,,501,13.1,501,12.9,527,29.1,445,29.4,601.0,2.3,601.0,12.4,,,,,,
5,298,34.9,303,27.8,346,28.5,248,61.1,357,38.5,491.0,11.8,601.0,5.1,,,,,,
6,314,33.7,348,24.2,337,28.9,237,62.5,450,29.3,439.0,16.5,383.0,36.0,,,,,,
7,890,,501,11.1,482,18.4,601,18.8,601,2.6,410.0,20.7,492.0,23.7,,,,,,
8,16,89.9,25,98.0,25,97.3,119,83.5,145,69.5,91.0,99.3,34.0,99.6,,,,,,
9,1007,,501,4.9,501,12.4,601,7.7,601,2.0,420.0,18.6,553.0,19.5,,,,,,
10,511,,324,26.0,156,53.0,497,31.0,601,5.9,601.0,1.2,601.0,11.3,,,,,,
11,981,,501,6.9,501,3.8,601,11.2,457,28.7,601.0,1.7,601.0,5.1,,,,,,
12,1135,,501,9.0,325,29.6,601,12.2,601,2.4,601.0,3.9,601.0,1.3,,,,,,
13,483,24.6,345,24.5,363,27.4,601,3.6,265,51.7,534.0,8.9,601.0,9.7,,,,,,
14,427,27.0,384,21.8,501,15.0,281,54.5,553,20.3,453.0,15.2,551.0,19.6,,,,,,
15,1273,,501,4.1,501,2.2,601,5.5,601,1.8,601.0,1.5,601.0,1.7,,,,,,
16,563,,501,5.9,501,5.4,136,80.2,601,1.4,601.0,1.8,366.0,38.2,,,,,,
17,1243,,501,5.5,501,8.3,601,4.5,601,3.0,601.0,2.9,601.0,7.4,,,,,,
18,715,,431,19.7,242,39.0,601,9.1,601,11.2,601.0,1.6,601.0,14.3,,,,,,
19,307,34.1,309,27.4,349,28.1,65,94.1,601,1.9,601.0,2.3,590.0,16.5,,,,,,
20,401,28.0,501,14.8,466,19.3,601,10.3,62,88.8,601.0,1.0,601.0,2.6,,,,,,
21,96,61.6,116,60.4,134,57.9,210,66.8,317,44.5,191.0,83.7,60.0,98.1,,,,,,
22,605,,501,7.6,501,15.5,601,17.7,601,2.2,4.0,100.0,2.0,100.0,,,,,,
23,1138,,501,8.2,501,3.1,601,10.6,601,3.3,601.0,2.0,601.0,1.6,,,,,,
24,1005,,501,5.4,501,7.1,601,17.4,601,3.5,601.0,1.3,530.0,20.9,,,,,,
25,640,,501,12.1,501,6.1,589,24.4,309,45.7,,,601.0,2.4,,,,,,
26,977,,501,2.4,501,1.8,601,22.1,439,30.2,601.0,2.9,601.0,5.9,,,,,,
27,134,54.0,204,41.2,283,33.2,402,39.2,89,82.6,140.0,94.6,72.0,97.1,,,,,,
28,458,25.6,501,11.8,501,12.0,558,26.7,340,41.0,236.0,67.8,278.0,52.4,,,,,,
29,915,,501,4.3,501,1.8,302,51.9,601,1.6,,,,,,,,,,
30,113,57.3,131,56.6,162,52.5,167,74.1,384,36.1,176.0,88.3,270.0,53.2,,,,,,
31,1275,,501,7.6,501,5.7,601,3.7,601,3.0,601.0,3.3,601.0,1.4,,,,,,
32,132,54.6,257,32.8,501,12.4,50,97.2,83,85.3,279.0,51.8,559.0,18.5,,,,,,
33,162,48.2,450,19.0,425,21.7,103,86.3,112,75.9,321.0,41.3,176.0,74.1,,,,,,
34,722,,501,5.3,501,16.2,518,29.7,601,3.2,181.0,86.7,407.0,32.4,,,,,,
35,418,27.4,501,8.3,501,8.5,4,100.0,601,12.7,601.0,1.5,601.0,10.6,,,,,,
36,900,,501,10.8,501,15.2,601,6.7,579,17.7,601.0,5.7,601.0,7.6,,,,,,
37,876,,501,4.9,501,10.2,601,15.6,601,6.7,263.0,57.2,350.0,40.1,,,,,,
38,942,,501,11.2,501,8.4,601,8.4,601,1.9,129.0,96.0,335.0,42.0,,,,,,
39,990,,398,20.7,501,15.3,601,12.2,601,1.6,601.0,2.1,601.0,1.4,,,,,,
40,181,46.1,149,51.2,128,59.3,414,37.8,252,53.0,562.0,7.2,542.0,20.4,,,,,,
41,1049,,501,4.8,501,2.4,601,6.1,601,13.8,601.0,1.7,601.0,3.6,,,,,,
42,1238,,501,5.7,501,3.5,601,3.1,601,7.6,601.0,1.9,601.0,1.7,,,,,,
43,423,27.2,490,17.2,179,48.3,601,2.2,170,64.6,448.0,15.6,486.0,24.1,,,,,,
44,741,,501,13.7,501,9.8,410,38.2,601,11.7,512.0,10.2,601.0,6.4,,,,,,
45,1118,,501,9.8,501,3.2,601,9.4,601,3.5,,,,,,,,,,
46,698,,329,25.7,501,10.6,601,18.9,601,8.5,601.0,1.9,404.0,32.9,,,,,,
47,825,,461,18.5,329,29.3,601,12.5,601,3.7,601.0,1.2,601.0,3.1,,,,,,
48,1035,,501,5.7,501,9.3,548,27.5,601,3.0,601.0,2.6,601.0,1.6,,,,,,
49,619,,393,21.1,321,29.9,601,13.4,601,10.3,443.0,16.0,359.0,38.9,,,,,,
50,110,57.9,99,66.9,191,47.2,517,29.7,162,65.9,211.0,76.4,212.0,64.8,,,,,,
51,410,27.8,330,25.7,501,8.4,601,23.5,221,57.7,601.0,2.0,601.0,4.0,,,,,,
52,55,74.6,119,59.4,286,33.0,87,89.7,31,96.5,16.0,100.0,26.0,99.9,,,,,,
53,65,69.8,72,76.9,46,91.7,155,76.5,285,49.6,311.0,43.6,333.0,42.6,,,,,,
54,690,,501,13.5,501,9.0,601,13.0,375,37.0,601.0,1.7,532.0,20.8,,,,,,
